HR	NL	SL	Positive	Negative	Anger	Anticipation	Disgust	Fear	Joy	Sadness	Surprise	Trust
natrag	_	osupel	0	0	0	0	0	0	0	0	0	0
abak, ra?unaljka	telraam	abak	0	0	0	0	0	0	0	0	0	1
napustiti	in de steek laten	opustiti, zapustiti, prekiniti, prenehati	0	1	0	0	0	1	0	1	0	0
napušten	verlaten	opuš?en, zapuš?en, prekinjen, zavržen	0	1	1	0	0	1	0	1	0	0
napuštanje	verlatenheid	opustitev, zapustitev	0	1	1	0	0	1	0	1	1	0
smanjiti se, jenjavati, popustiti	_	popustiti	0	0	0	0	0	0	0	0	0	0
smanjenje, jenjavanje, popuštanje	_	popuš?anje	0	0	0	0	0	0	0	0	0	0
Abba	abba	Abba	1	0	0	0	0	0	0	0	0	0
opat	abt	opat	0	0	0	0	0	0	0	0	0	1
skratiti	_	okrajšati	0	0	0	0	0	0	0	0	0	0
skra?enica, kratica	_	okrajšava	0	0	0	0	0	0	0	0	0	0
trbuh, abdomen	_	trebuh	0	0	0	0	0	0	0	0	0	0
trbušni	_	trebušen	0	0	0	0	0	0	0	0	0	0
otmica	ontvoering	ugrabitev	0	1	0	0	0	1	0	1	1	0
nenormalan, poreme?en, abnormalan	afwijkend, abnormaal	napa?en	0	1	0	0	0	0	0	0	0	0
aberacija, odstupanje	afwijking	aberacija, odstopanje	0	1	0	0	1	0	0	0	0	0
mirovanje, odgoda	_	odlog	0	0	0	0	0	0	0	0	0	0
osje?ati ga?enje, zgražati se, gnušati se, groziti se	verafschuwen	prezirati	0	1	1	0	1	1	0	0	0	0
odvratan, oduran, grozan, gnjusan	weerzinwekkend	zoprn, gnusen	0	1	1	0	1	1	0	0	0	0
pridržavati se, držati se	_	prenesti	0	0	0	0	0	0	0	0	0	0
sposobnost, mogu?nost	mogelijkheid, vaardigheid	sposobnost, zmožnost	1	0	0	0	0	0	0	0	0	0
bijedan, prezren, ponižen	verachtelijk	beden, obupen, ponižen	0	1	0	0	1	0	0	0	0	0
amputacija, ablacija, odstranjenje	_	ablacija, odstranitev	0	0	0	0	0	0	0	0	0	0
u plamenu, goru?i	_	goreti	0	0	0	0	0	0	0	0	0	0
nenormalan, abnormalan	abnormaal	nenormalen, neobi?ajen, nenavaden	0	1	0	0	1	0	0	0	0	0
na brodu, ukrcan	_	na krovu	0	0	0	0	0	0	0	0	0	0
prebivalište, dom	_	prebivališ?e, dom	0	0	0	0	0	0	0	0	0	0
ukinuti	afschaffen	ukiniti, odpraviti, razveljaviti	0	1	1	0	0	0	0	0	0	0
ukidanje	afschaffing	ukinitev, razveljavitev	0	1	0	0	0	0	0	0	0	0
odvratan, gnusan, užasan	afschuwelijk	gnusen, odvraten, grozen	0	1	0	0	1	1	0	0	0	0
?udovište, spodoba, monstrum	gruwel	gnusoba, ogabnost, gamad, golazen, gamat	0	1	1	0	1	1	0	0	0	0
iskonski, uro?eni?ki, izvorni	_	aboridžinski, staroselski	0	0	0	0	0	0	0	0	0	0
prekinuti, pobaciti	afgelasten, aborteren	prekiniti, splaviti	0	1	0	0	0	0	0	0	0	0
