HR;Positive;Negative;Anger;Anticipation;Disgust;Fear;Joy;Sadness;Surprise;Trust
abak;0;0;0;0;0;0;0;0;0;1
ra?unaljka;0;0;0;0;0;0;0;0;0;1
napustiti;0;1;0;0;0;1;0;1;0;0
napušten;0;1;1;0;0;1;0;1;0;0
napuštanje;0;1;1;0;0;1;0;1;1;0
Abba;1;0;0;0;0;0;0;0;0;0
opat;0;0;0;0;0;0;0;0;0;1
otmica;0;1;0;0;0;1;0;1;1;0
nenormalan;0;1;0;0;0;0;0;0;0;0
poreme?en;0;1;0;0;0;0;0;0;0;0
abnormalan;0;1;0;0;0;0;0;0;0;0
aberacija;0;1;0;0;1;0;0;0;0;0
odstupanje;0;1;0;0;1;0;0;0;0;0
osje?ati ga?enje;0;1;1;0;1;1;0;0;0;0
zgražati se;0;1;1;0;1;1;0;0;0;0
gnušati se;0;1;1;0;1;1;0;0;0;0
groziti se;0;1;1;0;1;1;0;0;0;0
odvratan;0;1;1;0;1;1;0;0;0;0
oduran;0;1;1;0;1;1;0;0;0;0
grozan;0;1;1;0;1;1;0;0;0;0
gnjusan;0;1;1;0;1;1;0;0;0;0
sposobnost;1;0;0;0;0;0;0;0;0;0
mogu?nost;1;0;0;0;0;0;0;0;0;0
bijedan;0;1;0;0;1;0;0;0;0;0
prezren;0;1;0;0;1;0;0;0;0;0
ponižen;0;1;0;0;1;0;0;0;0;0
nenormalan;0;1;0;0;1;0;0;0;0;0
abnormalan;0;1;0;0;1;0;0;0;0;0
ukinuti;0;1;1;0;0;0;0;0;0;0
ukidanje;0;1;0;0;0;0;0;0;0;0
odvratan;0;1;0;0;1;1;0;0;0;0
gnusan;0;1;0;0;1;1;0;0;0;0
užasan;0;1;0;0;1;1;0;0;0;0
?udovište;0;1;1;0;1;1;0;0;0;0
spodoba;0;1;1;0;1;1;0;0;0;0
monstrum;0;1;1;0;1;1;0;0;0;0
prekinuti;0;1;0;0;0;0;0;0;0;0
pobaciti;0;1;0;0;0;0;0;0;0;0
abortus;0;1;0;0;1;1;0;1;0;0
poba?aj;0;1;0;0;1;1;0;1;0;0
neuspio;0;1;0;0;0;0;0;1;0;0
jalov;0;1;0;0;0;0;0;1;0;0
gore naveden;1;0;0;0;0;0;0;0;0;0
ranije naveden;1;0;0;0;0;0;0;0;0;0
gore spomenut;1;0;0;0;0;0;0;0;0;0
ranije spomenut;1;0;0;0;0;0;0;0;0;0
abrazija;0;1;0;0;0;0;0;0;0;0
ogrebotina;0;1;0;0;0;0;0;0;0;0
istrošenost;0;1;0;0;0;0;0;0;0;0
ukinuti;0;1;0;0;0;0;0;0;0;0
opozvati;0;1;0;0;0;0;0;0;0;0
nagao;0;0;0;0;0;0;0;0;1;0
iznenadan;0;0;0;0;0;0;0;0;1;0
gnojni ?ir;0;1;0;0;0;0;0;1;0;0
gnojna upala;0;1;0;0;0;0;0;1;0;0
apsces;0;1;0;0;0;0;0;1;0;0
odsutnost;0;1;0;0;0;1;0;1;0;0
izostanak;0;1;0;0;0;1;0;1;0;0
nedostatak;0;1;0;0;0;1;0;1;0;0
izbivanje;0;1;0;0;0;1;0;1;0;0
