"FROM","avg_cli","rci_sd","n_articles"
"hkm.hr",71.4269704814442,30.4927010680164,1100
"laudato.hr",71.4774269954081,30.6706455609819,230
"novizivot.net",109.009698005676,32.1390468340497,137
"djos.hr",69.1016518205013,20.8777489316782,116
"slobodnadalmacija.hr",91.497802923787,39.7551322446134,115
"VJERA U NAMA †",90.4668705462725,22.7065620204992,114
"pulherissimus",64.2639571267794,27.6846958111485,109
"net.hr",78.2863335441699,33.1248070661636,89
"LaudatoTV",35.5732475503715,14.017244864767,88
"index.hr",119.021345307569,36.2833509511835,84
"bitno.net",83.9646376465586,33.7436467643218,82
"vecernji.hr",93.9186487548927,33.314050025451,82
"direktno.hr",101.569823486383,28.6269982824386,79
"dnevno.hr",111.834670876096,31.9867654188556,74
"novilist.hr",85.9876973836167,33.8384667012101,74
"24sata.hr",106.060703393768,35.5266789706924,73
"narod.hr",99.9931618211549,27.6937181137238,67
"prigorski.hr",76.532479963797,28.0785140922755,64
"crovijesti.com",95.4295735813486,35.2196243820877,59
"forum.hr",102.061591318591,32.3601250103981,59
"smn.hr",71.3459448994754,31.1490421223122,59
"tportal.hr",108.463635506064,37.5069926659816,59
"Radio Marija Hrvatska",49.048639341178,33.4303258563839,58
"glas-slavonije.hr",83.6175716654771,34.1962436877969,56
"Bitno.net",84.1854208062918,41.4160617345672,55
"hrt.hr",77.8490448603372,38.0488754462258,55
"jutarnji.hr",105.662061543098,31.3401399867426,54
"Zagrebačka nadbiskupija",47.4877425033193,31.5071699098099,51
"glasistre.hr",100.830516280551,37.275287085394,51
"biskupija-varazdinska.hr",66.3149941179568,32.117561326878,48
