"platform","FROM","total_posts","total_interactions","total_reach"
"web","novizivot.net",6782,3404252,42241140
"web","hkm.hr",55087,2986089,41080542
"web","dnevno.hr",3634,2980574,55489845
"web","index.hr",4303,2071834,71284584
"web","24sata.hr",3270,971429,28731111
"web","vecernji.hr",4098,945747,31588701
"web","slobodnadalmacija.hr",5949,872923,28694499
"web","bitno.net",4261,787274,12781494
"web","jutarnji.hr",2828,743462,29739897
"web","laudato.hr",11512,685687,8550486
"web","telegram.hr",1435,637206,12459948
"web","dnevnik.hr",2079,564700,15146586
"web","caritas.hr",171,447069,7056738
"web","net.hr",3879,408042,20720772
"web","narod.hr",3991,359402,6687228
"web","dalmatinskiportal.hr",1919,356175,9374376
"web","zagreb.info",1505,264963,5145372
"web","dalmacijadanas.hr",2105,257794,4485600
"web","novilist.hr",3824,235060,5825022
"web","rtl.hr",487,233693,5451405
"youtube","pulherissimus",6031,1620448,18017818
"youtube","Добровољци",340,775777,19930670
"youtube","Pod Smokvom",1522,589626,3889465
"youtube","Majko Marijo",333,266210,9386044
"youtube","Hrana za dušu",1476,177424,3976961
"youtube","BOŽANSKA LJUBAV",152,144742,1244769
"youtube","LaudatoTV",3537,143208,5642997
"youtube","budiFRAjer",152,118891,3397741
"youtube","Stopama Padre Pija",404,103281,1007332
"youtube","Nova Eva",666,93953,4123158
"youtube","Bog Je Tu",87,83104,3128452
"youtube","BIBLIJA na dlanu - Dario Kovačević",62,78158,923960
"youtube","Dijete Vjere",903,77612,1858783
"youtube","Hrana za dušu TV",327,73222,2661492
"youtube","Župa Šurkovac",442,70885,1315864
"youtube","Božiji blagoslov",129,65782,1822114
"youtube","Atma",132,60582,1377117
"youtube","Duhovna Obnova",318,58259,1120081
"youtube","KATOLIČKA OBITELJ",72,49649,1473601
"youtube","Miletić Marin",41,49013,540902
"facebook","Laudato",1636,720991,42049631
"facebook","Bitno.net",3552,595434,51445569
"facebook","Miletić Marin",123,448774,18274407
"facebook","Kapljice ljubavi Božje",1840,383278,21352333
"facebook","VJERA",1172,320460,16481614
"facebook","Zagrebačka nadbiskupija",2202,281662,12766185
"facebook","VJERA U NAMA †",5180,249123,18151290
"facebook","Gospa",857,209117,11019978
"facebook","Radio Marija Hrvatska",2959,151195,8979233
"facebook","Kraljica Mira",1244,126499,18876855
"facebook","Index.hr",222,125004,17552956
"facebook","24sata",452,124136,45587972
"facebook","Slobodna Dalmacija",750,118144,18405019
"facebook","Velimir Bujanec",55,115598,5521570
"facebook","RTL Danas",533,107870,14630113
"facebook","Telegram.hr",208,103946,8135534
"facebook","DNEVNIK.hr",494,102280,25847181
"facebook","Sisačka biskupija",510,101515,4126735
"facebook","Svjedočanstva & Vjera",2274,92986,8998071
"facebook","Dalija Orešković",22,91007,3845160
