"dominant_topic","total_angry","total_love","total_reactions","angry_ratio","love_ratio"
"BIOETIKA_I_KULTURNI_RATOVI",0,35,181266,0,0.000193086403407148
"CRKVENE_FINANCIJE_I_IMOVINA",0,0,546,0,0
"CRKVENO_UPRAVLJANJE_I_STRUKTURA",11,64,405045,2.71574763297905e-05,0.00015800713500969
"DIGITALNA_EVANGELIZACIJA_I_MLADI",0,0,23596,0,0
"DUHOVNOST_I_LITURGIJA",7,44,1213374,5.76903741138346e-06,3.62625208715532e-05
"GLOBALNA_CRKVA_I_MISIJE",0,0,1268,0,0
"KARITAS_I_SOCIJALNA_PRAVDA",0,0,25929,0,0
"MEDIJI_UMJETNOST_I_KULTURA",0,0,17709,0,0
"Nema Teme",0,0,10422,0,0
"ODNOS_S_DRUGIM_RELIGIJAMA_I_POGLEDIMA",0,0,1486,0,0
"PAPE_I_VATIKAN",0,0,71943,0,0
"POLITIKA_I_ODNOS_S_DRZAVOM",0,0,72780,0,0
"POVIJEST_I_NACIONALNI_IDENTITET",0,0,73208,0,0
"TEOLOGIJA_I_DOKTRINA",0,0,42009,0,0
"UNUTARCRKVENI_PRIJEPORI_I_IDEOLOGIJE",0,0,129,0,0
"ZLOSTAVLJANJE_I_KRIZA_POVJERENJA",0,0,3276,0,0
"ZNANOST_I_VJERA",0,0,146,0,0
