"item1","item2","correlation"
"CRKVENO_UPRAVLJANJE_I_STRUKTURA","BIOETIKA_I_KULTURNI_RATOVI",0.054069236116169
"CRKVENO_UPRAVLJANJE_I_STRUKTURA","POVIJEST_I_NACIONALNI_IDENTITET",0.0386979968460172
"BIOETIKA_I_KULTURNI_RATOVI","POVIJEST_I_NACIONALNI_IDENTITET",0.288207439364908
"CRKVENO_UPRAVLJANJE_I_STRUKTURA","DUHOVNOST_I_LITURGIJA",-0.00542757872526718
"BIOETIKA_I_KULTURNI_RATOVI","DUHOVNOST_I_LITURGIJA",0.203092188553336
"POVIJEST_I_NACIONALNI_IDENTITET","DUHOVNOST_I_LITURGIJA",0.139240799471104
"CRKVENO_UPRAVLJANJE_I_STRUKTURA","PAPE_I_VATIKAN",0.070734864062942
"BIOETIKA_I_KULTURNI_RATOVI","PAPE_I_VATIKAN",0.0484942180965289
"POVIJEST_I_NACIONALNI_IDENTITET","PAPE_I_VATIKAN",0.0951985169983955
"DUHOVNOST_I_LITURGIJA","PAPE_I_VATIKAN",-0.0620966657888608
"CRKVENO_UPRAVLJANJE_I_STRUKTURA","MEDIJI_UMJETNOST_I_KULTURA",0.0614133061291834
"BIOETIKA_I_KULTURNI_RATOVI","MEDIJI_UMJETNOST_I_KULTURA",0.119377800623059
"POVIJEST_I_NACIONALNI_IDENTITET","MEDIJI_UMJETNOST_I_KULTURA",0.158611629693787
"DUHOVNOST_I_LITURGIJA","MEDIJI_UMJETNOST_I_KULTURA",0.0447767728419938
"PAPE_I_VATIKAN","MEDIJI_UMJETNOST_I_KULTURA",0.0124001538297858
"CRKVENO_UPRAVLJANJE_I_STRUKTURA","ODNOS_S_DRUGIM_RELIGIJAMA_I_POGLEDIMA",0.052697627391741
"BIOETIKA_I_KULTURNI_RATOVI","ODNOS_S_DRUGIM_RELIGIJAMA_I_POGLEDIMA",0.0762724069513877
"POVIJEST_I_NACIONALNI_IDENTITET","ODNOS_S_DRUGIM_RELIGIJAMA_I_POGLEDIMA",0.101668640900883
"DUHOVNOST_I_LITURGIJA","ODNOS_S_DRUGIM_RELIGIJAMA_I_POGLEDIMA",0.0364158681702088
"PAPE_I_VATIKAN","ODNOS_S_DRUGIM_RELIGIJAMA_I_POGLEDIMA",0.120177724629495
