"dominant_topic","avg_interactions","total_articles"
"DIGITALNA_EVANGELIZACIJA_I_MLADI",186.905511811024,128
"BIOETIKA_I_KULTURNI_RATOVI",155.505550811272,1199
"TEOLOGIJA_I_DOKTRINA",141.731543624161,321
"DUHOVNOST_I_LITURGIJA",126.323943661972,9957
"POLITIKA_I_ODNOS_S_DRZAVOM",122.745393634841,616
"ZLOSTAVLJANJE_I_KRIZA_POVJERENJA",121.703703703704,27
"PAPE_I_VATIKAN",116.393258426966,637
"POVIJEST_I_NACIONALNI_IDENTITET",83.5502824858757,922
"KARITAS_I_SOCIJALNA_PRAVDA",72.4419889502762,364
"CRKVENO_UPRAVLJANJE_I_STRUKTURA",72.1783383312754,5771
"UNUTARCRKVENI_PRIJEPORI_I_IDEOLOGIJE",64.5,2
"GLOBALNA_CRKVA_I_MISIJE",41.25,33
"MEDIJI_UMJETNOST_I_KULTURA",37.4314928425358,492
"CRKVENE_FINANCIJE_I_IMOVINA",29.2105263157895,21
"ODNOS_S_DRUGIM_RELIGIJAMA_I_POGLEDIMA",23.8461538461538,69
"ZNANOST_I_VJERA",8.22222222222222,21
