"frame_1","frame_2","pair_label_hr","catholic_subcategory","n","n_both","pct_both","lift","phi","p_value"
"FAITH_DEFENCE","CONSPIRACY","Obrana vjere i Zavjera","Catholic Aligned",13304,0,0,0,-0.00897464591979505,0.629442840849511
"FAITH_DEFENCE","CONSPIRACY","Obrana vjere i Zavjera","Official Church",67290,2,0.00297220983801456,6.3433257918552,0.0115935715067809,0.0400223997338931
"FAITH_DEFENCE","FOREIGN_THREAT","Obrana vjere i Vanjska prijetnja","Catholic Aligned",13304,14,0.105231509320505,3.12300469483568,0.0398200338406109,0.000158775617553503
"FAITH_DEFENCE","FOREIGN_THREAT","Obrana vjere i Vanjska prijetnja","Official Church",67290,25,0.037152622975182,8.25595547746881,0.0490925878423825,0.000000000000000971746582028529
"FAITH_DEFENCE","INSTITUTIONAL_DISTRUST","Obrana vjere i Institucionalno nepovjerenje","Catholic Aligned",13304,29,0.217979555021046,2.08459044737411,0.0371524044574164,0.000152826252617347
"FAITH_DEFENCE","INSTITUTIONAL_DISTRUST","Obrana vjere i Institucionalno nepovjerenje","Official Church",67290,53,0.078763560707386,6.06214155314787,0.0589743514992759,0.0000000000000000000000000187921594372834
"FAITH_DEFENCE","TRADITIONAL_VALUES","Obrana vjere i Tradicionalne vrijednosti","Catholic Aligned",13304,138,1.03728202044498,1.11912808134006,0.0333933034145838,0.00000537260961145968
"FAITH_DEFENCE","TRADITIONAL_VALUES","Obrana vjere i Tradicionalne vrijednosti","Official Church",67290,219,0.325456977262595,1.20589266355581,0.0253770379561181,0.000000000000000285820785084348
"MORAL_DECAY","FOREIGN_THREAT","Moralno propadanje i Vanjska prijetnja","Catholic Aligned",13304,48,0.360793746241732,3.71050062752754,0.0872420634052974,0.00000000000000265075600082256
"MORAL_DECAY","FOREIGN_THREAT","Moralno propadanje i Vanjska prijetnja","Official Church",67290,95,0.141179967305692,6.75765244637262,0.0844435333771017,0.000000000000000000000000000000000000000000000000896250757673209
"TRADITIONAL_VALUES","MORAL_DECAY","Tradicionalne vrijednosti i Moralno propadanje","Catholic Aligned",13304,392,2.94648226097414,1.10162414090871,0.0488841277083638,0.000000000124145304898395
"TRADITIONAL_VALUES","MORAL_DECAY","Tradicionalne vrijednosti i Moralno propadanje","Official Church",67290,982,1.45935503046515,1.16471840650043,0.0440090328382451,0.000000000000000000000000000000000000000902040157401864
