"file","bytes","rows"
"mapa-platform-volume.csv",1003,49
"mapa-platform-interactions.csv",735,31
"mapa-platform-shares.csv",2999,49
"mapa-top-sources.csv",2808,60
"mapa-actor-map.csv",2600,55
"evolucija-monthly-volume.csv",10893,435
"evolucija-interaction-shares.csv",20206,558
"evolucija-concentration.csv",224,6
"evolucija-annual-rhythm.csv",156,12
"teme-top-terms.csv",392,25
"teme-topic-trends.csv",2194,36
"teme-topic-intensity.csv",1973,16
"teme-topic-interactions.csv",850,16
"teme-facebook-reactions.csv",921,17
"teme-actors.csv",2106,50
"teme-network.csv",9433,120
"diskurs-emotion-tonality.csv",3826,61
"diskurs-source-conflict.csv",1621,30
"diskurs-topic-network.csv",11551,118
"dogadjaji-volume-anomalies.csv",76831,1764
"dogadjaji-conflict-anomalies.csv",102590,1764
"dogadjaji-easter-window.csv",1593,28
"dogadjaji-stepinac-terms.csv",1834,48
