"year","SOURCE_TYPE","total_interactions"
2021,"web",8097961
2021,"youtube",326695
2021,"facebook",566302
2021,"twitter",2964
2022,"web",6810854
2022,"youtube",642714
2022,"facebook",476911
2022,"twitter",5585
2023,"web",4740330
2023,"youtube",1105182
2023,"facebook",547471
2023,"twitter",1922
2023,"tiktok",54691
2024,"web",2715176
2024,"youtube",1522101
2024,"facebook",814363
2024,"twitter",6007
2024,"instagram",215240
2024,"tiktok",67824
2025,"web",4493667
2025,"youtube",3366728
2025,"facebook",4467362
2025,"twitter",26308
2025,"instagram",470690
2025,"tiktok",145624
2026,"web",1046637
2026,"youtube",45532
2026,"facebook",1396155
2026,"twitter",5444
2026,"instagram",53515
2026,"tiktok",68927
