"dominant_topic","lemma","n"
"BIOETIKA_I_KULTURNI_RATOVI","Bog",1795
"BIOETIKA_I_KULTURNI_RATOVI","Isus",1154
"BIOETIKA_I_KULTURNI_RATOVI","Hrvatska",627
"BIOETIKA_I_KULTURNI_RATOVI","Marija",521
"BIOETIKA_I_KULTURNI_RATOVI","Josip",447
"BIOETIKA_I_KULTURNI_RATOVI","Franjo",437
"BIOETIKA_I_KULTURNI_RATOVI","Ivan",422
"BIOETIKA_I_KULTURNI_RATOVI","Krist",406
"BIOETIKA_I_KULTURNI_RATOVI","Zagreb",342
"BIOETIKA_I_KULTURNI_RATOVI","Nikola",326
"CRKVENO_UPRAVLJANJE_I_STRUKTURA","Bog",4005
"CRKVENO_UPRAVLJANJE_I_STRUKTURA","Isus",2827
"CRKVENO_UPRAVLJANJE_I_STRUKTURA","Hrvatska",2630
"CRKVENO_UPRAVLJANJE_I_STRUKTURA","Franjo",2436
"CRKVENO_UPRAVLJANJE_I_STRUKTURA","Ivan",2406
"CRKVENO_UPRAVLJANJE_I_STRUKTURA","Josip",2391
"CRKVENO_UPRAVLJANJE_I_STRUKTURA","Marija",2200
"CRKVENO_UPRAVLJANJE_I_STRUKTURA","Zagreb",2119
"CRKVENO_UPRAVLJANJE_I_STRUKTURA","Krist",1857
"CRKVENO_UPRAVLJANJE_I_STRUKTURA","Ivana",1287
"DUHOVNOST_I_LITURGIJA","Bog",15363
"DUHOVNOST_I_LITURGIJA","Isus",12972
"DUHOVNOST_I_LITURGIJA","Marija",5731
"DUHOVNOST_I_LITURGIJA","Krist",5667
"DUHOVNOST_I_LITURGIJA","Gospa",4433
"DUHOVNOST_I_LITURGIJA","Ivan",3076
"DUHOVNOST_I_LITURGIJA","Hrvatska",3062
"DUHOVNOST_I_LITURGIJA","Franjo",2684
"DUHOVNOST_I_LITURGIJA","Josip",2621
"DUHOVNOST_I_LITURGIJA","Božić",2286
"PAPE_I_VATIKAN","Franjo",1776
"PAPE_I_VATIKAN","Vatikan",1572
"PAPE_I_VATIKAN","papa",1004
"PAPE_I_VATIKAN","Petra",231
"PAPE_I_VATIKAN","Rim",225
"PAPE_I_VATIKAN","Benedikt",200
"PAPE_I_VATIKAN","Vatican",165
"PAPE_I_VATIKAN","Lav",151
"PAPE_I_VATIKAN","Ukrajina",148
"PAPE_I_VATIKAN","News",145
"POVIJEST_I_NACIONALNI_IDENTITET","Hrvatska",1122
"POVIJEST_I_NACIONALNI_IDENTITET","Bog",552
"POVIJEST_I_NACIONALNI_IDENTITET","Zagreb",535
"POVIJEST_I_NACIONALNI_IDENTITET","Vukovar",454
"POVIJEST_I_NACIONALNI_IDENTITET","Hrvat",425
"POVIJEST_I_NACIONALNI_IDENTITET","Isus",422
"POVIJEST_I_NACIONALNI_IDENTITET","Franjo",365
"POVIJEST_I_NACIONALNI_IDENTITET","Ukrajina",264
"POVIJEST_I_NACIONALNI_IDENTITET","Ivan",256
"POVIJEST_I_NACIONALNI_IDENTITET","papa",255
