"topic","n","p10","p25","median","p75","p90"
"BIOETIKA_I_KULTURNI_RATOVI",13040,2.5706940874036,4.31932132659492,7.69230769230769,13.7741046831956,23.5294117647059
"CRKVENE_FINANCIJE_I_IMOVINA",2283,0.848896434634975,1.50603775981419,2.9673590504451,5.59703440714248,10.7296192179913
"CRKVENO_UPRAVLJANJE_I_STRUKTURA",16268,3.36700336700337,7.6530612244898,19.3704600484261,39.3215480172002,65.7894736842105
"DIGITALNA_EVANGELIZACIJA_I_MLADI",4031,0.986193293885602,1.6750418760469,3.14465408805031,6.71140939597315,16.6666666666667
"DUHOVNOST_I_LITURGIJA",18486,5.97416178374525,11.7647058823529,22.7272727272727,40.1234567901235,64.5161290322581
"GLOBALNA_CRKVA_I_MISIJE",2958,0.966619493991322,1.74672889483867,3.26797385620915,6.29355006560789,12.6702833031947
"KARITAS_I_SOCIJALNA_PRAVDA",6754,1.25360452574347,2.14132762312634,4.0650406504065,8.8686334691381,19.6078431372549
"MEDIJI_UMJETNOST_I_KULTURA",4933,1.16686114352392,2.09205020920502,4.40528634361234,10.6382978723404,24.3733062330623
"ODNOS_S_DRUGIM_RELIGIJAMA_I_POGLEDIMA",1775,0.933184218961216,1.69348131578193,3.54609929078014,8.59850949310936,18.6662956134553
"PAPE_I_VATIKAN",4600,1.33801941030857,2.49324777756605,6.5359477124183,16.3227295580237,30.7760081328364
"POLITIKA_I_ODNOS_S_DRZAVOM",7616,1.41043723554302,2.29885057471264,4.31810059511786,9.25925925925926,18.9663390199376
"POVIJEST_I_NACIONALNI_IDENTITET",13404,2.42718446601942,3.74531835205992,6.34249471458774,10.989010989011,18.7573381218176
"TEOLOGIJA_I_DOKTRINA",6548,1.25470514429109,2.07900207900208,3.83141762452107,7.60559596627542,15.8730158730159
"UNUTARCRKVENI_PRIJEPORI_I_IDEOLOGIJE",499,0.593471810089021,1.1191945306648,2.18340611353712,3.82410575882542,6.7889165268699
"ZLOSTAVLJANJE_I_KRIZA_POVJERENJA",2595,0.863856409062208,1.44352238215054,2.54452926208651,5.66576784797124,15.1613644571391
"ZNANOST_I_VJERA",1326,0.688705560823089,1.14449241286392,2.08550800278358,4.20119050886804,7.78221899224806
