"year","topic","total_mentions","share"
2021,"BIOETIKA_I_KULTURNI_RATOVI",13232,0.112223089188181
2021,"CRKVENO_UPRAVLJANJE_I_STRUKTURA",30945,0.262450385045968
2021,"DUHOVNOST_I_LITURGIJA",34515,0.292728228788547
2021,"KARITAS_I_SOCIJALNA_PRAVDA",6031,0.0511500491908946
2021,"POLITIKA_I_ODNOS_S_DRZAVOM",6423,0.0544746751704719
2021,"POVIJEST_I_NACIONALNI_IDENTITET",11127,0.0943701869253995
2022,"BIOETIKA_I_KULTURNI_RATOVI",11282,0.10867931798478
2022,"CRKVENO_UPRAVLJANJE_I_STRUKTURA",28799,0.277420287062903
2022,"DUHOVNOST_I_LITURGIJA",31265,0.301175223966863
2022,"KARITAS_I_SOCIJALNA_PRAVDA",4066,0.0391677102398613
2022,"POLITIKA_I_ODNOS_S_DRZAVOM",4509,0.0434351218572392
2022,"POVIJEST_I_NACIONALNI_IDENTITET",9452,0.0910509584818418
2023,"BIOETIKA_I_KULTURNI_RATOVI",12381,0.106259172481269
2023,"CRKVENO_UPRAVLJANJE_I_STRUKTURA",32565,0.279487113468421
2023,"DUHOVNOST_I_LITURGIJA",35728,0.306633366804844
2023,"KARITAS_I_SOCIJALNA_PRAVDA",3982,0.0341752705613773
2023,"POLITIKA_I_ODNOS_S_DRZAVOM",4959,0.0425603130873606
2023,"POVIJEST_I_NACIONALNI_IDENTITET",10137,0.0870001802312109
2024,"BIOETIKA_I_KULTURNI_RATOVI",10047,0.122214383028416
2024,"CRKVENO_UPRAVLJANJE_I_STRUKTURA",19121,0.232592934994161
2024,"DUHOVNOST_I_LITURGIJA",27559,0.335235013623978
2024,"KARITAS_I_SOCIJALNA_PRAVDA",2954,0.035933242506812
2024,"POLITIKA_I_ODNOS_S_DRZAVOM",3631,0.0441684507590502
2024,"POVIJEST_I_NACIONALNI_IDENTITET",7647,0.0930201440249124
2025,"BIOETIKA_I_KULTURNI_RATOVI",15750,0.112487947719887
2025,"CRKVENO_UPRAVLJANJE_I_STRUKTURA",29771,0.212627218512302
2025,"DUHOVNOST_I_LITURGIJA",47077,0.336228261257722
2025,"KARITAS_I_SOCIJALNA_PRAVDA",5131,0.0366460736349677
2025,"POLITIKA_I_ODNOS_S_DRZAVOM",7275,0.0519587187087098
2025,"POVIJEST_I_NACIONALNI_IDENTITET",13090,0.093489983216084
2026,"BIOETIKA_I_KULTURNI_RATOVI",7006,0.120241650362132
2026,"CRKVENO_UPRAVLJANJE_I_STRUKTURA",13402,0.230014073387567
2026,"DUHOVNOST_I_LITURGIJA",18359,0.315089417499056
2026,"KARITAS_I_SOCIJALNA_PRAVDA",1720,0.0295197885559331
2026,"POLITIKA_I_ODNOS_S_DRZAVOM",3395,0.0582672570624378
2026,"POVIJEST_I_NACIONALNI_IDENTITET",5759,0.0988398036590808
