topic,label,records,share
t01,Politička pripadnost i ideje,377,16.348656
t02,Domoljublje i državotvornost,274,11.882047
t03,HDZ i demokršćanski identitet,290,12.575889
t04,Desni centar i suradnja stranaka,212,9.193408
t05,Obitelj i nacionalni identitet,207,8.976583
t06,Europa i kršćanski korijeni,212,9.193408
t07,Izbori i konzervativna scena,151,6.548135
t08,Idejna tradicija i javne rasprave,173,7.502168
t09,Vrijednosti i svjetonazorski prijepori,335,14.52732
t10,Njemačka i međunarodni odnosi,74,3.20902
unassigned,Ostali konteksti,1,0.043365
