date,voice,platform_group,posts,era,halfyear,lit_window,political_window
2021-01-01,creators,facebook,0,pre,2021H1,FALSE,FALSE
2021-01-01,creators,other,0,pre,2021H1,FALSE,FALSE
2021-01-01,creators,video,0,pre,2021H1,FALSE,FALSE
2021-01-01,creators,web,0,pre,2021H1,FALSE,FALSE
2021-01-01,lay_media,facebook,4,pre,2021H1,FALSE,FALSE
2021-01-01,lay_media,other,0,pre,2021H1,FALSE,FALSE
2021-01-01,lay_media,video,0,pre,2021H1,FALSE,FALSE
2021-01-01,lay_media,web,2,pre,2021H1,FALSE,FALSE
2021-01-01,official,facebook,0,pre,2021H1,FALSE,FALSE
2021-01-01,official,other,0,pre,2021H1,FALSE,FALSE
2021-01-01,official,video,0,pre,2021H1,FALSE,FALSE
2021-01-01,official,web,40,pre,2021H1,FALSE,FALSE
2021-01-01,portal,facebook,3,pre,2021H1,FALSE,FALSE
2021-01-01,portal,other,0,pre,2021H1,FALSE,FALSE
2021-01-01,portal,video,0,pre,2021H1,FALSE,FALSE
2021-01-01,portal,web,12,pre,2021H1,FALSE,FALSE
2021-01-02,creators,facebook,0,pre,2021H1,FALSE,FALSE
2021-01-02,creators,other,0,pre,2021H1,FALSE,FALSE
2021-01-02,creators,video,0,pre,2021H1,FALSE,FALSE
2021-01-02,creators,web,0,pre,2021H1,FALSE,FALSE
2021-01-02,lay_media,facebook,0,pre,2021H1,FALSE,FALSE
2021-01-02,lay_media,other,0,pre,2021H1,FALSE,FALSE
2021-01-02,lay_media,video,0,pre,2021H1,FALSE,FALSE
2021-01-02,lay_media,web,10,pre,2021H1,FALSE,FALSE
2021-01-02,official,facebook,4,pre,2021H1,FALSE,FALSE
2021-01-02,official,other,0,pre,2021H1,FALSE,FALSE
2021-01-02,official,video,0,pre,2021H1,FALSE,FALSE
2021-01-02,official,web,48,pre,2021H1,FALSE,FALSE
2021-01-02,portal,facebook,4,pre,2021H1,FALSE,FALSE
2021-01-02,portal,other,0,pre,2021H1,FALSE,FALSE
2021-01-02,portal,video,0,pre,2021H1,FALSE,FALSE
2021-01-02,portal,web,26,pre,2021H1,FALSE,FALSE
2021-01-03,creators,facebook,0,pre,2021H1,FALSE,FALSE
2021-01-03,creators,other,0,pre,2021H1,FALSE,FALSE
2021-01-03,creators,video,0,pre,2021H1,FALSE,FALSE
2021-01-03,creators,web,0,pre,2021H1,FALSE,FALSE
2021-01-03,lay_media,facebook,2,pre,2021H1,FALSE,FALSE
2021-01-03,lay_media,other,0,pre,2021H1,FALSE,FALSE
2021-01-03,lay_media,video,0,pre,2021H1,FALSE,FALSE
2021-01-03,lay_media,web,6,pre,2021H1,FALSE,FALSE
2021-01-03,official,facebook,2,pre,2021H1,FALSE,FALSE
2021-01-03,official,other,0,pre,2021H1,FALSE,FALSE
2021-01-03,official,video,0,pre,2021H1,FALSE,FALSE
2021-01-03,official,web,34,pre,2021H1,FALSE,FALSE
2021-01-03,portal,facebook,0,pre,2021H1,FALSE,FALSE
2021-01-03,portal,other,0,pre,2021H1,FALSE,FALSE
2021-01-03,portal,video,0,pre,2021H1,FALSE,FALSE
2021-01-03,portal,web,20,pre,2021H1,FALSE,FALSE
2021-01-04,creators,facebook,0,pre,2021H1,FALSE,FALSE
2021-01-04,creators,other,0,pre,2021H1,FALSE,FALSE
2021-01-04,creators,video,0,pre,2021H1,FALSE,FALSE
2021-01-04,creators,web,0,pre,2021H1,FALSE,FALSE
2021-01-04,lay_media,facebook,6,pre,2021H1,FALSE,FALSE
2021-01-04,lay_media,other,0,pre,2021H1,FALSE,FALSE
2021-01-04,lay_media,video,0,pre,2021H1,FALSE,FALSE
2021-01-04,lay_media,web,20,pre,2021H1,FALSE,FALSE
2021-01-04,official,facebook,0,pre,2021H1,FALSE,FALSE
2021-01-04,official,other,0,pre,2021H1,FALSE,FALSE
2021-01-04,official,video,0,pre,2021H1,FALSE,FALSE
2021-01-04,official,web,56,pre,2021H1,FALSE,FALSE
2021-01-04,portal,facebook,6,pre,2021H1,FALSE,FALSE
2021-01-04,portal,other,0,pre,2021H1,FALSE,FALSE
2021-01-04,portal,video,0,pre,2021H1,FALSE,FALSE
2021-01-04,portal,web,32,pre,2021H1,FALSE,FALSE
2021-01-05,creators,facebook,0,pre,2021H1,FALSE,FALSE
2021-01-05,creators,other,0,pre,2021H1,FALSE,FALSE
2021-01-05,creators,video,0,pre,2021H1,FALSE,FALSE
2021-01-05,creators,web,0,pre,2021H1,FALSE,FALSE
2021-01-05,lay_media,facebook,2,pre,2021H1,FALSE,FALSE
2021-01-05,lay_media,other,0,pre,2021H1,FALSE,FALSE
2021-01-05,lay_media,video,0,pre,2021H1,FALSE,FALSE
2021-01-05,lay_media,web,18,pre,2021H1,FALSE,FALSE
2021-01-05,official,facebook,2,pre,2021H1,FALSE,FALSE
2021-01-05,official,other,0,pre,2021H1,FALSE,FALSE
2021-01-05,official,video,0,pre,2021H1,FALSE,FALSE
2021-01-05,official,web,34,pre,2021H1,FALSE,FALSE
2021-01-05,portal,facebook,2,pre,2021H1,FALSE,FALSE
2021-01-05,portal,other,0,pre,2021H1,FALSE,FALSE
2021-01-05,portal,video,0,pre,2021H1,FALSE,FALSE
2021-01-05,portal,web,10,pre,2021H1,FALSE,FALSE
2021-01-06,creators,facebook,0,pre,2021H1,FALSE,FALSE
2021-01-06,creators,other,0,pre,2021H1,FALSE,FALSE
2021-01-06,creators,video,0,pre,2021H1,FALSE,FALSE
2021-01-06,creators,web,0,pre,2021H1,FALSE,FALSE
2021-01-06,lay_media,facebook,2,pre,2021H1,FALSE,FALSE
2021-01-06,lay_media,other,0,pre,2021H1,FALSE,FALSE
2021-01-06,lay_media,video,0,pre,2021H1,FALSE,FALSE
2021-01-06,lay_media,web,2,pre,2021H1,FALSE,FALSE
2021-01-06,official,facebook,0,pre,2021H1,FALSE,FALSE
2021-01-06,official,other,0,pre,2021H1,FALSE,FALSE
2021-01-06,official,video,0,pre,2021H1,FALSE,FALSE
2021-01-06,official,web,44,pre,2021H1,FALSE,FALSE
2021-01-06,portal,facebook,2,pre,2021H1,FALSE,FALSE
2021-01-06,portal,other,0,pre,2021H1,FALSE,FALSE
2021-01-06,portal,video,0,pre,2021H1,FALSE,FALSE
2021-01-06,portal,web,18,pre,2021H1,FALSE,FALSE
2021-01-07,creators,facebook,0,pre,2021H1,FALSE,FALSE
2021-01-07,creators,other,0,pre,2021H1,FALSE,FALSE
2021-01-07,creators,video,0,pre,2021H1,FALSE,FALSE
2021-01-07,creators,web,0,pre,2021H1,FALSE,FALSE
2021-01-07,lay_media,facebook,4,pre,2021H1,FALSE,FALSE
2021-01-07,lay_media,other,0,pre,2021H1,FALSE,FALSE
2021-01-07,lay_media,video,0,pre,2021H1,FALSE,FALSE
