voice,era,platform_group,population_n,weight_basis,sample_n
lay_media,pre,web,9278,9278,483
official,pre,web,43166,43166,1947
official,pre,facebook,980,980,122
portal,pre,web,10073,25182.5,1168
portal,pre,facebook,213,532.5,102
lay_media,pre,facebook,3166,3166,216
portal,pre,other,52,130,52
creators,pre,facebook,478,478,100
creators,pre,video,2671,2671,195
official,pre,video,564,564,104
lay_media,pre,video,2483,2483,187
official,pre,other,81,81,81
lay_media,pre,other,9,9,9
portal,pre,video,8,20,8
creators,pre,web,1,1,1
creators,post,facebook,1339,1339,137
lay_media,post,facebook,13398,13398,659
official,post,web,23791,23791,1108
creators,post,video,2012,2012,166
lay_media,post,video,3636,3636,236
lay_media,post,web,13520,13520,664
portal,post,web,5364,13410,659
official,post,facebook,1731,1731,154
portal,post,facebook,1612,4030,253
official,post,video,565,565,104
official,post,other,20,20,20
lay_media,post,other,51,51,51
portal,post,other,8,20,8
portal,post,video,6,15,6
