scenario,voice,era,halfyear,platform_group,posts,interactions,interactions_observed,reach,interactions_per_post
strict,lay_media,pre,2021H1,web,2316,560889,1,6943462,242.180051813472
strict,official,pre,2021H1,web,6850,389089,0.99985401459854,5417558,56.8013138686131
strict,secular,pre,2021H1,web,2799,1141056,1,30378498,407.665594855305
strict,official,pre,2021H1,facebook,112,10340,1,477636,92.3214285714286
strict,portal,pre,2021H1,web,1801,1127084,1,18227727,625.810105496946
strict,secular,pre,2021H1,other,274,0,0.0109489051094891,29612,0
strict,portal,pre,2021H1,facebook,109,12196,1,1144949,111.889908256881
strict,lay_media,pre,2021H1,facebook,381,84661,1,5587307,222.207349081365
strict,portal,pre,2021H1,other,50,0,0,0,0
strict,creators,pre,2021H1,facebook,74,24825,1,1370188,335.472972972973
strict,creators,pre,2021H1,video,63,36198,0.968253968253968,202334,574.571428571429
strict,official,pre,2021H1,video,69,1866,1,106558,27.0434782608696
strict,lay_media,pre,2021H1,video,115,24633,1,2380251,214.2
strict,official,pre,2021H2,web,6985,510150,0.999856836077308,6926982,73.0350751610594
strict,secular,pre,2021H2,web,2164,729554,1,21648027,337.132162661738
strict,portal,pre,2021H2,web,1626,950402,1,16155198,584.50307503075
strict,lay_media,pre,2021H2,web,1762,656004,1,7955577,372.306469920545
strict,creators,pre,2021H2,video,448,83517,0.649553571428571,298190,186.421875
strict,lay_media,pre,2021H2,video,338,19826,0.99112426035503,562815,58.6568047337278
strict,lay_media,pre,2021H2,facebook,451,105472,1,6202299,233.862527716186
strict,creators,pre,2021H2,facebook,146,46547,1,2572852,318.815068493151
strict,official,pre,2021H2,video,133,2085,0.887218045112782,51980,15.6766917293233
strict,secular,pre,2021H2,other,160,0,0,0,0
strict,official,pre,2021H2,facebook,167,21494,1,914108,128.706586826347
strict,official,pre,2021H2,other,13,59,1,2350,4.53846153846154
strict,secular,pre,2021H1,facebook,87,54816,1,5689623,630.068965517241
strict,portal,pre,2021H2,facebook,28,862,1,128652,30.7857142857143
strict,secular,pre,2021H2,facebook,6,1606,1,309347,267.666666666667
strict,lay_media,pre,2021H2,other,3,32,1,696,10.6666666666667
strict,official,pre,2021H1,other,15,114,1,2672,7.6
strict,secular,pre,2021H2,video,5,40,1,927,8
strict,portal,pre,2021H2,video,3,4973,1,143020,1657.66666666667
strict,lay_media,pre,2021H1,other,4,23,1,718,5.75
strict,secular,pre,2022H1,other,61,5,0.0983606557377049,56428,0.0819672131147541
strict,official,pre,2022H1,web,7822,587405,1,7723018,75.0965226284838
