actor_group,actor_rule,posts,interactions,sources
creator,pastoral_or_creator_pattern,36712,4345866,476
creator,checked_registry,12813,5024700,2
creator,catalogue_confessional,1628,322166,2
independent,checked_registry,30882,3341452,10
independent,independent_identity_pattern,1138,16033,8
official,checked_registry,69807,3733699,17
official,church_institution_pattern,9525,571548,76
public,other_public_default,197052,13160902,10137
public,catalogue_secular,47044,12400685,43
public,checked_registry,7384,1389831,6
