period,actor_group,posts,interactions
2021.,independent,4848,390923
2021.,official,15994,974228
2021.,public,36443,6122833
2021.,creator,4866,1505938
2022.,public,33338,4719424
2022.,creator,6278,1726596
2022.,official,16589,1141542
2022.,independent,3452,348502
2023.,official,16379,922707
2023.,public,35887,3847823
2023.,creator,8230,1254330
2023.,independent,3573,424736
2024. 2. pol.,public,33555,2980741
2024. 2. pol.,official,9890,277530
2024. 2. pol.,creator,8232,1399241
2024. 2. pol.,independent,5246,683199
2025.,public,81611,7980632
2025.,creator,18736,3133693
2025.,official,13775,675210
2025.,independent,10224,1180844
2026. 1. pol.,official,6705,314030
2026. 1. pol.,public,30646,1299965
2026. 1. pol.,independent,4677,329281
2026. 1. pol.,creator,4811,672934
