year,start_date,end_date,start,end,label,kind
2021,2021-05-28,2021-05-29,147,148,nije prikupljano,missing
2021,2021-06-21,2021-06-22,171,172,nije prikupljano,missing
2021,2021-08-12,2021-08-13,223,224,nije prikupljano,missing
2021,2021-09-11,2021-09-14,253,256,nije prikupljano,missing
2021,2021-12-30,2021-12-31,363,364,nije prikupljano,missing
2022,2022-02-26,2022-02-27,56,57,nije prikupljano,missing
2022,2022-05-13,2022-05-14,132,133,nije prikupljano,missing
2022,2022-07-20,2022-07-21,200,201,nije prikupljano,missing
2022,2022-07-24,2022-07-25,204,205,nije prikupljano,missing
2022,2022-08-17,2022-08-18,228,229,nije prikupljano,missing
2022,2022-09-22,2022-09-23,264,265,nije prikupljano,missing
2022,2022-09-26,2022-09-27,268,269,nije prikupljano,missing
2022,2022-11-29,2022-11-30,332,333,nije prikupljano,missing
2023,2023-05-08,2023-05-09,127,128,nije prikupljano,missing
2023,2023-05-20,2023-05-21,139,140,nije prikupljano,missing
2024,2024-01-09,2024-05-31,8,151,nije prikupljano,missing
2024,2024-09-16,2024-09-30,259,273,nije prikupljano,missing
2025,2025-09-01,2025-09-14,243,256,nije prikupljano,missing
2026,2026-06-12,2026-12-31,162,364,izvan obuhvata,future
