arc,start_date,end_date,peak_date,peak_posts,peak_z,arc_posts,label,type,year
1,2021-04-02,2021-04-02,2021-04-02,380,3.08877637573132,380,Događaj nije prepoznat,other,2021
2,2021-04-04,2021-04-04,2021-04-04,488,4.72453337400024,488,Uskrs,liturgical,2021
3,2021-08-15,2021-08-15,2021-08-15,419,3.67946640288399,419,Velika Gospa,liturgical,2021
4,2021-12-24,2021-12-25,2021-12-25,600,6.42087396479763,1053,Božić,liturgical,2021
5,2022-04-14,2022-04-17,2022-04-17,565,6.87518835639923,1784,Uskrs,liturgical,2022
6,2022-08-15,2022-08-15,2022-08-15,497,5.68879743910191,497,Velika Gospa,liturgical,2022
7,2022-12-24,2022-12-25,2022-12-25,528,6.22965212198745,874,Božić,liturgical,2022
8,2022-12-31,2022-12-31,2022-12-31,440,4.69432269960268,440,Događaj nije prepoznat,other,2022
9,2023-01-14,2023-01-15,2023-01-14,385,3.38403581489613,748,Događaj nije prepoznat,other,2023
10,2023-04-02,2023-04-02,2023-04-02,410,3.79170471378872,410,Događaj nije prepoznat,other,2023
11,2023-04-06,2023-04-09,2023-04-09,472,4.80272358304235,1598,Uskrs,liturgical,2023
12,2023-08-15,2023-08-15,2023-08-15,491,5.11255194620073,491,Velika Gospa,liturgical,2023
13,2023-12-24,2023-12-25,2023-12-25,510,5.4223803093591,922,Božić,liturgical,2023
14,2024-08-15,2024-08-15,2024-08-15,806,4.92028977752954,806,Velika Gospa,liturgical,2024
15,2024-12-24,2024-12-25,2024-12-25,1050,7.18117275575406,1766,Božić,liturgical,2024
16,2025-04-20,2025-04-23,2025-04-21,2825,12.0268753634594,6484,Smrt pape Franje,papal,2025
17,2025-04-26,2025-04-26,2025-04-26,1320,4.70094755762699,1320,Sprovod pape Franje,papal,2025
18,2025-08-15,2025-08-15,2025-08-15,1045,3.36232287549814,1045,Velika Gospa,liturgical,2025
19,2025-12-25,2025-12-25,2025-12-25,1031,3.29417470986249,1031,Božić,liturgical,2025
20,2026-03-29,2026-03-29,2026-03-29,601,3.14490155937003,601,Događaj nije prepoznat,other,2026
21,2026-04-03,2026-04-05,2026-04-05,901,6.17010227558608,2362,Uskrs,liturgical,2026
