actor_group,primary_frame,posts,interactions
public,institutional,17365,1536760
public,identity,7045,930867
public,conflict,998,150334
public,devotional,9451,1164196
public,political,839,143939
creator,devotional,5014,987566
creator,institutional,1417,183502
official,institutional,7017,321226
creator,identity,498,89136
independent,institutional,2394,183715
independent,identity,551,39407
independent,devotional,1579,187825
official,devotional,3141,209257
official,identity,1522,131549
creator,conflict,131,12674
creator,political,139,18391
official,political,90,12157
independent,conflict,47,4274
independent,political,48,3630
official,conflict,57,2703
