category,label,catholic_posts,general_posts,catholic_share,general_share,gap
DUHOVNOST_I_LITURGIJA,Duhovnost i liturgija,53988,34390,51.377508778942,39.6216415503019,-11.7558672286401
PAPE_I_VATIKAN,Pape i Vatikan,2379,4962,2.26396779627145,5.7168533112125,3.45288551494105
POVIJEST_I_NACIONALNI_IDENTITET,Povijest i nacionalni identitet,3078,5241,2.92916892682788,6.03829669570026,3.10912776887239
POLITIKA_I_ODNOS_S_DRZAVOM,Politika i odnos s državom,1408,3737,1.33991872936116,4.30549794921425,2.96557921985309
MEDIJI_UMJETNOST_I_KULTURA,"Mediji, umjetnost i kultura",1528,3519,1.4541163483408,4.05433430111987,2.60021795277906
TEOLOGIJA_I_DOKTRINA,Teologija i nauk,1496,337,1.42366364994623,0.388266740402784,-1.03539690954345
ZLOSTAVLJANJE_I_KRIZA_POVJERENJA,Zlostavljanje i kriza povjerenja,71,377,0.0675669245629562,0.434351813447624,0.366784888884668
BIOETIKA_I_KULTURNI_RATOVI,Bioetika i kulturni prijepori,7092,6135,6.74907928169698,7.06829807825245,0.319218796555477
DIGITALNA_EVANGELIZACIJA_I_MLADI,Digitalna evangelizacija i mladi,770,476,0.732768055119384,0.548412369233605,-0.184355685885779
CRKVENO_UPRAVLJANJE_I_STRUKTURA,Crkveno upravljanje i ustroj,30388,25246,28.9186437129453,29.0865938522513,0.167950139306004
KARITAS_I_SOCIJALNA_PRAVDA,Karitas i socijalna pravda,2261,1726,2.15167347094146,1.98857090188488,-0.163102569056585
CRKVENE_FINANCIJE_I_IMOVINA,Crkvene financije i imovina,78,196,0.0742284523367688,0.22581685791972,0.151588405582951
ZNANOST_I_VJERA,Znanost i vjera,141,68,0.134182202301082,0.0783446241762293,-0.0558375781248527
ODNOS_S_DRUGIM_RELIGIJAMA_I_POGLEDIMA,Odnos s drugim religijama i pogledima,215,223,0.204604067338529,0.256924282224987,0.052320214886458
UNUTARCRKVENI_PRIJEPORI_I_IDEOLOGIJE,Unutarcrkveni prijepori i ideologije,6,11,0.00570988094898221,0.0126733950873312,0.006963514138349
GLOBALNA_CRKVA_I_MISIJE,Globalna Crkva i misije,182,152,0.173199722119127,0.175123277570395,0.00192355545126779
