peak_date,year,label,type,general_posts,catholic_posts,general_share,baseline_share,difference,above_baseline
2021-04-04,2021,Uskrs,liturgical,209,70,74.910394265233,39.9214609045537,34.9889333606793,TRUE
2021-08-15,2021,Velika Gospa,liturgical,141,72,66.1971830985916,39.9214609045537,26.2757221940378,TRUE
2021-12-25,2021,Božić,liturgical,388,148,72.3880597014925,39.9214609045537,32.4665987969388,TRUE
2022-04-17,2022,Uskrs,liturgical,576,326,63.8580931263858,39.9214609045537,23.9366322218321,TRUE
2022-08-15,2022,Velika Gospa,liturgical,207,68,75.2727272727273,39.9214609045537,35.3512663681736,TRUE
2022-12-25,2022,Božić,liturgical,366,113,76.4091858037578,39.9214609045537,36.4877248992041,TRUE
2023-04-09,2023,Uskrs,liturgical,535,259,67.3803526448363,39.9214609045537,27.4588917402826,TRUE
2023-08-15,2023,Velika Gospa,liturgical,195,70,73.5849056603774,39.9214609045537,33.6634447558236,TRUE
2023-12-25,2023,Božić,liturgical,312,104,75,39.9214609045537,35.0785390954463,TRUE
2024-08-15,2024,Velika Gospa,liturgical,274,86,76.1111111111111,51.5007667328162,24.610344378295,TRUE
2024-12-25,2024,Božić,liturgical,526,151,77.6957163958641,51.5007667328162,26.1949496630479,TRUE
2025-04-21,2025,Smrt pape Franje,papal,2443,394,86.112090236165,51.5007667328162,34.6113235033488,TRUE
2025-04-26,2025,Sprovod pape Franje,papal,460,76,85.8208955223881,51.5007667328162,34.3201287895719,TRUE
2025-08-15,2025,Velika Gospa,liturgical,316,75,80.8184143222507,51.5007667328162,29.3176475894345,TRUE
2025-12-25,2025,Božić,liturgical,356,66,84.3601895734597,51.5007667328162,32.8594228406436,TRUE
2026-04-05,2026,Uskrs,liturgical,811,237,77.3854961832061,51.5007667328162,25.8847294503899,TRUE
