era,halfyear,platform_group,outlet_type,posts,interactions,reach
2021.–2023.,2021H1,web,national,3054,1109454,28826397
2021.–2023.,2021H1,other,other,2,0,18002
2021.–2023.,2021H1,web,regional,4043,396859,8870744
2021.–2023.,2021H1,other,national,260,0,11610
2021.–2023.,2021H1,facebook,regional,152,9790,958208
2021.–2023.,2021H1,other,forums,52,0,0
2021.–2023.,2021H2,web,regional,3858,476205,9507409
2021.–2023.,2021H2,web,national,2317,673610,19702329
2021.–2023.,2021H2,web,other,57,0,114
2021.–2023.,2021H2,other,forums,837,0,0
2021.–2023.,2021H2,other,national,160,0,0
2021.–2023.,2021H1,facebook,national,79,50172,5280183
2021.–2023.,2021H1,web,other,14,0,28
2021.–2023.,2021H2,facebook,national,6,732,255185
2021.–2023.,2021H2,facebook,regional,17,1765,118058
2021.–2023.,2021H1,other,regional,16,0,157
2021.–2023.,2021H2,video,national,5,40,927
2021.–2023.,2022H1,other,national,61,5,56428
2021.–2023.,2022H1,web,national,2267,890005,24728805
2021.–2023.,2022H1,web,regional,4270,387160,8728771
2021.–2023.,2022H1,other,forums,662,0,0
2021.–2023.,2022H1,web,other,112,141,6551
2021.–2023.,2022H2,web,regional,4308,485269,9602168
2021.–2023.,2022H2,web,national,2039,882636,21674028
2021.–2023.,2022H2,other,forums,680,0,0
2021.–2023.,2022H2,web,other,224,273,12320
2021.–2023.,2022H2,video,national,18,552,13785
2021.–2023.,2022H1,facebook,national,5,4328,335942
2021.–2023.,2022H1,facebook,regional,26,1898,124559
2021.–2023.,2022H2,other,national,62,2,106
2021.–2023.,2022H2,facebook,regional,9,133,20180
2021.–2023.,2022H2,facebook,national,6,435,111535
2021.–2023.,2022H2,other,other,1,0,10022
2021.–2023.,2022H1,video,national,9,443,29028
2021.–2023.,2023H1,web,other,312,465,21624
2021.–2023.,2023H1,web,regional,4871,514378,9443395
2021.–2023.,2023H1,web,national,2700,861926,23307998
2021.–2023.,2023H1,other,forums,845,0,0
2021.–2023.,2023H1,video,national,34,1238,142853
2021.–2023.,2023H2,web,regional,4304,531624,10544962
2021.–2023.,2023H2,web,other,252,308,12232
2021.–2023.,2023H2,web,national,1870,493059,14769612
2021.–2023.,2023H2,other,forums,513,0,0
2021.–2023.,2023H2,video,national,8,237,11311
2021.–2023.,2023H2,facebook,national,10,1273,339064
2021.–2023.,2023H1,facebook,national,16,1306,487534
2021.–2023.,2023H1,facebook,regional,21,1662,107289
2021.–2023.,2023H2,facebook,regional,16,654,47792
2021.–2023.,2023H1,other,national,9,5,13893
2021.–2023.,2023H1,video,regional,1,1,813
2021.–2023.,2023H2,other,national,1,0,47
2021.–2023.,2024H1,other,forums,99,0,0
2021.–2023.,2024H1,web,regional,890,80549,1413790
2021.–2023.,2024H1,web,other,134,55,2502
2021.–2023.,2024H1,web,national,483,85984,3060705
2021.–2023.,2024H1,facebook,regional,7,893,59467
2021.–2023.,2024H1,facebook,national,2,132,118870
2024. 2. pol.–2026. 1. pol.,2024H2,web,regional,6399,470026,9396845
2024. 2. pol.–2026. 1. pol.,2024H2,web,national,3141,464092,18115257
2024. 2. pol.–2026. 1. pol.,2024H2,web,other,1431,478,114351
2021.–2023.,2024H1,video,national,1,10,445
2024. 2. pol.–2026. 1. pol.,2025H1,other,forums,1488,0,0
2024. 2. pol.–2026. 1. pol.,2025H1,web,national,5992,780456,32150859
2024. 2. pol.–2026. 1. pol.,2025H1,web,regional,7125,421095,9743756
2024. 2. pol.–2026. 1. pol.,2025H1,web,other,2201,246,439321
2024. 2. pol.–2026. 1. pol.,2025H1,facebook,regional,1968,115261,15159098
2024. 2. pol.–2026. 1. pol.,2025H1,facebook,national,2177,365874,88603566
2024. 2. pol.–2026. 1. pol.,2025H1,video,national,242,29141,1930842
2024. 2. pol.–2026. 1. pol.,2025H1,other,other,47,76721,534081
2024. 2. pol.–2026. 1. pol.,2025H1,other,national,46,64304,965086
2024. 2. pol.–2026. 1. pol.,2026H1,web,regional,6329,92619,4392805
2024. 2. pol.–2026. 1. pol.,2026H1,facebook,regional,1510,60946,9268424
2024. 2. pol.–2026. 1. pol.,2026H1,facebook,national,670,122659,32614198
2024. 2. pol.–2026. 1. pol.,2026H1,web,national,4866,124466,18018360
2024. 2. pol.–2026. 1. pol.,2026H1,video,national,4,71,3924
2024. 2. pol.–2026. 1. pol.,2026H1,other,forums,984,0,0
2024. 2. pol.–2026. 1. pol.,2026H1,web,other,880,50,222742
2024. 2. pol.–2026. 1. pol.,2026H1,other,regional,2,4,215
2024. 2. pol.–2026. 1. pol.,2026H1,other,other,36,34658,410391
2024. 2. pol.–2026. 1. pol.,2025H1,other,regional,8,23550,283146
2024. 2. pol.–2026. 1. pol.,2025H1,video,regional,1,2,165
2024. 2. pol.–2026. 1. pol.,2024H2,other,forums,1097,0,0
2024. 2. pol.–2026. 1. pol.,2024H2,other,national,10,3300,89711
2024. 2. pol.–2026. 1. pol.,2024H2,video,national,46,4197,248697
2024. 2. pol.–2026. 1. pol.,2024H2,facebook,national,148,35290,7668302
2024. 2. pol.–2026. 1. pol.,2024H2,facebook,regional,616,48547,4726305
2024. 2. pol.–2026. 1. pol.,2025H2,other,forums,1574,0,0
2024. 2. pol.–2026. 1. pol.,2025H2,web,regional,7224,447484,10611351
2024. 2. pol.–2026. 1. pol.,2025H2,facebook,regional,1463,94332,10907010
2024. 2. pol.–2026. 1. pol.,2025H2,web,national,4599,786477,29094060
2024. 2. pol.–2026. 1. pol.,2025H2,web,other,1252,40,326740
2024. 2. pol.–2026. 1. pol.,2025H2,facebook,national,770,237213,38328306
2024. 2. pol.–2026. 1. pol.,2025H2,other,other,34,23533,623758
2024. 2. pol.–2026. 1. pol.,2025H2,video,national,114,18381,1334438
2024. 2. pol.–2026. 1. pol.,2024H2,other,other,7,1148,65274
2024. 2. pol.–2026. 1. pol.,2025H2,other,national,8,9914,217023
2024. 2. pol.–2026. 1. pol.,2025H2,other,regional,4,5341,63603
2024. 2. pol.–2026. 1. pol.,2024H2,other,regional,5,12812,159178
2024. 2. pol.–2026. 1. pol.,2025H2,video,other,5,56,1424
2024. 2. pol.–2026. 1. pol.,2026H1,other,national,5,1051,50135
