date,year,index,z_secular,secular_share
2021-01-02,2021,1,3.58944561515739,42.2857142857143
2021-04-03,2021,92,3.0121908077995,36.7977528089888
2021-04-04,2021,93,6.00033334000502,44.8770491803279
2021-08-02,2021,213,4.57417440417966,51.453488372093
2021-08-15,2021,226,3.79318260598958,36.7541766109785
2021-12-24,2021,357,4.16670042251527,36.4238410596027
2021-12-25,2021,358,7.52836077124648,44
2022-04-16,2022,105,4.34262452334051,33.4020618556701
2022-04-17,2022,106,7.02705021423288,41.7699115044248
2022-08-15,2022,226,6.41035782578463,44.0643863179074
2022-12-24,2022,357,3.79848418059206,42.485549132948
2022-12-25,2022,358,7.64374260268113,47.9166666666667
2022-12-31,2022,364,5.06814498033845,41.3636363636364
2023-04-02,2023,91,4.18427623897824,40.7317073170732
2023-04-07,2023,96,3.19997846920781,36.2204724409449
2023-04-08,2023,97,3.98062842454297,43.3962264150943
2023-04-09,2023,98,5.47404573040156,43.4322033898305
2023-04-15,2023,104,3.36968498123719,44.1358024691358
2023-08-15,2023,226,5.37222182318392,41.1405295315682
2023-12-24,2023,357,3.57333279567245,36.1650485436893
2023-12-25,2023,358,5.88134135927208,42.5490196078431
2024-08-15,2024,227,6.12265991429441,45.409429280397
2024-12-24,2024,358,4.01192874114985,36.8715083798883
2024-12-25,2024,359,8.48171240192658,45.7142857142857
2025-04-20,2025,109,3.60753550226968,51.0798122065728
2025-04-21,2025,110,12.7764892658692,58.3716814159292
2025-04-22,2025,111,6.39556126206101,56.8108457069077
2025-04-23,2025,112,3.49966545799204,50.8133971291866
2025-04-26,2025,115,5.07622764358833,54.6212121212121
2025-08-15,2025,226,3.01839910659949,45.2631578947368
2025-12-25,2025,358,3.12626915087713,47.1387002909796
2026-04-03,2026,92,4.43100125818823,42.2818791946309
2026-04-04,2026,93,4.37075431852061,43.5754189944134
2026-04-05,2026,94,7.14211354323122,49.9445061043285
