era,halfyear,platform_group,whole_posts,whole_interactions,secular_posts,secular_interactions,post_share,interaction_share
2021.–2023.,2021H1,web,28339,4326737,7111,1506313,25.0926285331169,34.8140642706039
2021.–2023.,2021H1,facebook,1850,285684,231,59962,12.4864864864865,20.9889248260316
2021.–2023.,2021H1,other,615,1253,330,0,53.6585365853659,0
2021.–2023.,2021H1,video,1149,116203,0,0,0,0
2021.–2023.,2021H2,web,24066,3771224,6232,1149815,25.8954541677055,30.4891727460368
2021.–2023.,2021H2,video,3326,210492,5,40,0.150330727600722,0.0190030975048933
2021.–2023.,2021H2,facebook,1510,280618,23,2497,1.52317880794702,0.889821750564825
2021.–2023.,2021H2,other,1296,1711,997,0,76.929012345679,0
2021.–2023.,2022H1,video,3427,379598,9,443,0.262620367668515,0.116702406229748
2021.–2023.,2022H1,other,1344,4045,723,5,53.7946428571429,0.123609394313968
2021.–2023.,2022H1,web,24930,3801136,6649,1277306,26.6706778981147,33.603270180283
2021.–2023.,2022H1,facebook,1656,268535,31,6226,1.8719806763285,2.31850596756475
2021.–2023.,2022H2,web,22364,3009718,6571,1368178,29.3820425684135,45.4586775239408
2021.–2023.,2022H2,facebook,1481,208376,15,568,1.01282916948008,0.272584174761009
2021.–2023.,2022H2,other,959,1540,743,2,77.4765380604797,0.12987012987013
2021.–2023.,2022H2,video,3496,263116,18,552,0.51487414187643,0.209793399109138
2021.–2023.,2023H1,web,26297,2617032,7883,1376769,29.9768034376545,52.6080307768495
2021.–2023.,2023H1,facebook,1957,218529,37,2968,1.89064895247828,1.35817214191252
2021.–2023.,2023H1,video,4427,580834,35,1239,0.790603117235148,0.213313958893591
2021.–2023.,2023H1,other,998,1428,854,5,85.5711422845691,0.350140056022409
2021.–2023.,2023H2,web,23726,2123298,6426,1024991,27.0842114136391,48.2735348500305
2021.–2023.,2023H2,video,4241,524348,8,237,0.188634755953784,0.0451989899837513
2021.–2023.,2023H2,facebook,1852,328942,26,1927,1.40388768898488,0.585817560542588
2021.–2023.,2023H2,other,571,55185,514,0,90.0175131348511,0
2021.–2023.,2024H1,web,5332,335997,1507,166588,28.2633158289572,49.58020458516
2021.–2023.,2024H1,facebook,441,43251,9,1025,2.04081632653061,2.36988740144737
2021.–2023.,2024H1,other,124,256,99,0,79.8387096774194,0
2021.–2023.,2024H1,video,813,103990,1,10,0.1230012300123,0.00961630926050582
2024. 2. pol.–2026. 1. pol.,2024H2,web,32219,2379179,10971,934596,34.0513361680996,39.2822902354131
2024. 2. pol.–2026. 1. pol.,2024H2,other,2312,288815,1119,17260,48.3996539792388,5.97614389834323
2024. 2. pol.–2026. 1. pol.,2024H2,facebook,7957,771112,764,83837,9.6016086464748,10.8722208965753
2024. 2. pol.–2026. 1. pol.,2024H2,video,7725,1418111,46,4197,0.595469255663431,0.295957086575028
2024. 2. pol.–2026. 1. pol.,2025H1,video,10398,1789985,243,29143,2.33698788228506,1.62811420207432
2024. 2. pol.–2026. 1. pol.,2025H1,other,3122,411862,1589,164575,50.8968609865471,39.9587725985889
2024. 2. pol.–2026. 1. pol.,2025H1,web,34466,2301807,15318,1201797,44.4437996866477,52.2110237739307
2024. 2. pol.–2026. 1. pol.,2025H1,facebook,18423,2335093,4145,481135,22.499050100418,20.6045326674355
2024. 2. pol.–2026. 1. pol.,2026H1,web,32191,1046637,12075,217135,37.5104842968532,20.745970188327
2024. 2. pol.–2026. 1. pol.,2026H1,facebook,12503,1396155,2180,183605,17.435815404303,13.1507604814652
2024. 2. pol.–2026. 1. pol.,2026H1,other,1873,127886,1027,35713,54.8318206086492,27.9256525342884
2024. 2. pol.–2026. 1. pol.,2026H1,video,272,45532,4,71,1.47058823529412,0.155934287973294
2024. 2. pol.–2026. 1. pol.,2025H2,web,32732,2191860,13075,1234001,39.9456189661493,56.299261814167
2024. 2. pol.–2026. 1. pol.,2025H2,video,8071,1576743,119,18437,1.47441457068517,1.16930913915584
2024. 2. pol.–2026. 1. pol.,2025H2,facebook,13883,2132269,2233,331545,16.0844197939927,15.5489293330251
2024. 2. pol.–2026. 1. pol.,2025H2,other,3251,230760,1620,38788,49.8308212857582,16.8088056855608
