reference_group,theme,primary_frame,posts,interactions,post_share,interaction_share
confessional,spirituality,devotional,502,80311,60.7748184019371,68.6184210526316
confessional,public_morality,identity,20,1336,24.390243902439,9.59356599167026
confessional,governance,institutional,387,18926,86.3839285714286,89.6754323619995
confessional,identity,identity,16,1680,51.6129032258065,77.0288858321871
confessional,spirituality,institutional,200,17721,24.2130750605327,15.140977443609
confessional,spirituality,identity,106,14694,12.8329297820823,12.5546821599453
confessional,other,identity,17,2650,29.3103448275862,27.8215223097113
confessional,governance,identity,34,1052,7.58928571428571,4.98460080549633
confessional,public_morality,institutional,34,2210,41.4634146341463,15.8695964383168
confessional,spirituality,conflict,9,3284,1.08958837772397,2.80587833219412
confessional,public_morality,devotional,21,2562,25.609756097561,18.3972425678587
confessional,other,institutional,32,1635,55.1724137931035,17.1653543307087
confessional,identity,conflict,2,17,6.45161290322581,0.779458963778084
confessional,identity,institutional,9,394,29.0322580645161,18.0651077487391
confessional,governance,devotional,24,1093,5.35714285714286,5.17886756692727
confessional,other,devotional,7,5240,12.0689655172414,55.0131233595801
confessional,spirituality,political,9,1030,1.08958837772397,0.880041011619959
confessional,identity,devotional,3,90,9.67741935483871,4.12654745529574
confessional,public_morality,political,5,7806,6.09756097560976,56.053425247738
confessional,governance,conflict,3,34,0.669642857142857,0.161099265576878
confessional,public_morality,conflict,2,12,2.4390243902439,0.0861697544161999
confessional,other,conflict,2,0,3.44827586206897,0
confessional,abuse,institutional,1,158,100,100
confessional,identity,political,1,0,3.2258064516129,0
secular,identity,identity,189,33010,49.4764397905759,65.4155602235345
secular,spirituality,institutional,1021,125642,34.1015364061456,33.4693681838282
secular,governance,institutional,2593,359466,84.2156544332576,83.4820049652687
secular,spirituality,identity,454,81641,15.1636606546426,21.7480833470967
secular,spirituality,devotional,1420,163183,47.4281897127589,43.4697944026809
secular,public_morality,identity,214,26966,30.9248554913295,36.5541548054765
secular,spirituality,conflict,56,3745,1.87040748162993,0.997618502160397
secular,public_morality,political,49,6248,7.08092485549133,8.46956757489494
secular,governance,identity,294,48893,9.54855472556025,11.3548587871089
secular,public_morality,institutional,314,30277,45.3757225433526,41.04242917175
secular,identity,conflict,21,2227,5.49738219895288,4.41322183028814
secular,other,institutional,227,16671,48.2978723404255,19.3675430138132
secular,other,identity,182,16117,38.7234042553192,18.7239332225798
secular,governance,devotional,66,4891,2.14355310165638,1.1358806849191
secular,governance,conflict,104,16430,3.37772003897369,3.81568588289119
secular,public_morality,devotional,75,4379,10.8381502890173,5.93601735122679
secular,identity,institutional,136,11976,35.6020942408377,23.732709761801
secular,spirituality,political,43,1183,1.43620574482298,0.315135564233845
secular,governance,political,22,911,0.714517700552127,0.211569679812165
secular,public_morality,conflict,40,5900,5.78034682080925,7.99783109665176
secular,identity,political,11,514,2.87958115183246,1.01858824461971
secular,abuse,conflict,13,6,59.0909090909091,17.1428571428571
secular,other,conflict,14,1735,2.97872340425532,2.01563716207582
secular,identity,devotional,25,2735,6.54450261780105,5.41991993975665
secular,other,political,4,1242,0.851063829787234,1.4428941529096
secular,other,devotional,43,50312,9.14893617021277,58.4499924486216
secular,abuse,institutional,9,29,40.9090909090909,82.8571428571429
