outlet_type,theme,n,tone,rik,reportable
forums,public_morality,66,0.372480712840876,8.82042301005104,TRUE
forums,identity,35,0.263235957770025,7.15861028825419,TRUE
forums,spirituality,363,0.440868081309594,13.0919558193496,TRUE
forums,governance,166,0.30478754620845,5.0292039171203,TRUE
forums,other,23,0.363245834812573,7.95157285401849,TRUE
forums,abuse,2,0.19047618537415,36.0328954532151,FALSE
national,spirituality,908,0.539720511088118,1.13960008803918,TRUE
national,identity,183,0.224260178786917,11.8884451745577,TRUE
national,governance,1173,0.372942987902817,9.91364148107873,TRUE
national,public_morality,356,0.472364129572796,2.33694154471513,TRUE
national,other,179,0.561942523944178,1.10271660897932,TRUE
national,abuse,12,0.0962187148893024,22.0743111775623,FALSE
other,governance,240,0.429664525128952,-0.187962738040428,TRUE
other,other,40,0.537664891439011,-5.20901355096424,TRUE
other,public_morality,42,0.385957094383548,15.591863059759,TRUE
other,spirituality,252,0.613045668436621,2.72514327646976,TRUE
other,abuse,2,-0.333333289351858,48.6530363229325,FALSE
other,identity,30,0.362980556902329,0.298785428188976,TRUE
regional,governance,1554,0.606798041299292,-2.51632991529632,TRUE
regional,spirituality,1616,0.722417408939007,-6.19445048403519,TRUE
regional,identity,169,0.348348823158094,2.74889186888443,TRUE
regional,public_morality,296,0.603360287494495,3.63748734840609,TRUE
regional,other,287,0.697600141943025,-8.10207516554887,TRUE
regional,abuse,6,0.0749028263427163,13.5407953931212,FALSE
confessional_reference,spirituality,863,0.71436423704019,-4.30608037907411,TRUE
confessional_reference,public_morality,89,0.66993945051689,-3.3333182734899,TRUE
confessional_reference,governance,453,0.629735556978743,-12.1155909454792,TRUE
confessional_reference,identity,33,0.423165401279117,-4.80725824615757,TRUE
confessional_reference,other,61,0.61927804861011,3.99994938315546,TRUE
confessional_reference,abuse,1,0.357142844387756,36.6740415733254,FALSE
