date,label,type,review_status
2021-02-03,Sveti Vlaho,patronal,proposed
2021-02-10,Stepinčevo,commemoration,proposed
2021-04-04,Uskrs,easter,proposed
2021-05-07,Sveti Dujam,patronal,proposed
2021-06-03,Tijelovo,corpus_christi,proposed
2021-06-13,Sveti Antun Padovanski,patronal,proposed
2021-08-15,Velika Gospa,marian_feast,proposed
2021-11-01,Svi sveti,all_saints,proposed
2021-12-25,Božić,christmas,proposed
2022-02-03,Sveti Vlaho,patronal,proposed
2022-02-10,Stepinčevo,commemoration,proposed
2022-04-17,Uskrs,easter,proposed
2022-05-07,Sveti Dujam,patronal,proposed
2022-06-13,Sveti Antun Padovanski,patronal,proposed
2022-06-16,Tijelovo,corpus_christi,proposed
2022-08-15,Velika Gospa,marian_feast,proposed
2022-11-01,Svi sveti,all_saints,proposed
2022-12-25,Božić,christmas,proposed
2023-02-03,Sveti Vlaho,patronal,proposed
2023-02-10,Stepinčevo,commemoration,proposed
2023-04-09,Uskrs,easter,proposed
2023-05-07,Sveti Dujam,patronal,proposed
2023-06-08,Tijelovo,corpus_christi,proposed
2023-06-13,Sveti Antun Padovanski,patronal,proposed
2023-08-15,Velika Gospa,marian_feast,proposed
2023-11-01,Svi sveti,all_saints,proposed
2023-12-25,Božić,christmas,proposed
2024-02-03,Sveti Vlaho,patronal,proposed
2024-02-10,Stepinčevo,commemoration,proposed
2024-03-31,Uskrs,easter,proposed
2024-05-07,Sveti Dujam,patronal,proposed
2024-05-30,Tijelovo,corpus_christi,proposed
2024-06-13,Sveti Antun Padovanski,patronal,proposed
2024-08-15,Velika Gospa,marian_feast,proposed
2024-11-01,Svi sveti,all_saints,proposed
2024-12-25,Božić,christmas,proposed
2025-02-03,Sveti Vlaho,patronal,proposed
2025-02-10,Stepinčevo,commemoration,proposed
2025-04-20,Uskrs,easter,proposed
2025-05-07,Sveti Dujam,patronal,proposed
2025-06-13,Sveti Antun Padovanski,patronal,proposed
2025-06-19,Tijelovo,corpus_christi,proposed
2025-08-15,Velika Gospa,marian_feast,proposed
2025-11-01,Svi sveti,all_saints,proposed
2025-12-25,Božić,christmas,proposed
2026-02-03,Sveti Vlaho,patronal,proposed
2026-02-10,Stepinčevo,commemoration,proposed
2026-04-05,Uskrs,easter,proposed
2026-05-07,Sveti Dujam,patronal,proposed
2026-06-04,Tijelovo,corpus_christi,proposed
2026-06-13,Sveti Antun Padovanski,patronal,proposed
2026-08-15,Velika Gospa,marian_feast,proposed
2026-11-01,Svi sveti,all_saints,proposed
2026-12-25,Božić,christmas,proposed
