date,label,type,review_status
2021-05-16,Lokalni izbori,election,proposed
2021-05-30,Drugi krug lokalnih izbora,election,proposed
2021-08-05,Dan pobjede i domovinske zahvalnosti,commemoration,proposed
2021-11-18,Dan sjećanja na žrtve Domovinskog rata,commemoration,proposed
2022-05-30,Dan državnosti,commemoration,proposed
2022-08-05,Dan pobjede i domovinske zahvalnosti,commemoration,proposed
2022-11-18,Dan sjećanja na žrtve Domovinskog rata,commemoration,proposed
2023-05-30,Dan državnosti,commemoration,proposed
2023-08-05,Dan pobjede i domovinske zahvalnosti,commemoration,proposed
2023-11-18,Dan sjećanja na žrtve Domovinskog rata,commemoration,proposed
2024-04-17,Izbori za Hrvatski sabor,election,proposed
2024-05-30,Dan državnosti,commemoration,proposed
2024-06-09,Izbori za Europski parlament,election,proposed
2024-08-05,Dan pobjede i domovinske zahvalnosti,commemoration,proposed
2024-11-18,Dan sjećanja na žrtve Domovinskog rata,commemoration,proposed
2024-12-29,Prvi krug predsjedničkih izbora,election,proposed
2025-01-12,Drugi krug predsjedničkih izbora,election,proposed
2025-05-18,Lokalni izbori,election,proposed
2025-05-30,Dan državnosti,commemoration,proposed
2025-06-01,Drugi krug lokalnih izbora,election,proposed
2025-08-05,Dan pobjede i domovinske zahvalnosti,commemoration,proposed
2025-11-18,Dan sjećanja na žrtve Domovinskog rata,commemoration,proposed
2026-05-30,Dan državnosti,commemoration,proposed
2026-08-05,Dan pobjede i domovinske zahvalnosti,commemoration,proposed
2026-11-18,Dan sjećanja na žrtve Domovinskog rata,commemoration,proposed
