"domain","editorial","croatia_link","segment","evidence_url","note"
"atma.hr","TRUE","TRUE","national","https://atma.hr/o-nama/","Independent lifestyle and spirituality editorial portal based in Split. Spirituality alone is not Christian confessional classification."
"cromoda.com","TRUE","TRUE","national","https://www.cromoda.com/impressum","Zagreb publisher and editorial staff."
"dubrovnik.hr","FALSE","TRUE","institutional","https://www.dubrovnik.hr/files/Impressum2025.pdf","Official municipal website imprint."
"ebrod.net","TRUE","TRUE","regional","https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=27","AEM registered electronic publication in Slavonski Brod."
"elipso.hr","FALSE","TRUE","non_news","https://www.elipso.hr/o-nama/","Retailer website."
"femina.hr","TRUE","TRUE","national","https://www.femina.hr/clanak/index/r/16/c/52/se/site_impressum","Zagreb publisher and editors."
"geek.hr","TRUE","TRUE","national","https://geek.hr/znanost/impressum/","Technology and science editorial portal with Zagreb address."
"gospodarski.hr","TRUE","TRUE","national","https://gospodarski.hr/impressum/","Zagreb publisher with separate internet portal editor."
"grad-krk.hr","FALSE","TRUE","institutional","https://grad-krk.hr/","Official municipal website."
"hia.com.hr","TRUE","TRUE","national","https://www.hia.com.hr/impressum","Varazdin publisher and Zagreb newsroom; named journalists."
"hrturizam.hr","TRUE","TRUE","national","https://hrturizam.hr/o-nama","Croatian B2B tourism editorial portal; publisher contact in Vinkovci."
"hvs.hr","FALSE","TRUE","institutional","https://hvs.hr/","Croatian Water Polo Federation website."
"ictbusiness.info","TRUE","TRUE","national","https://www.ictbusiness.biz/about-us/","Publisher group identifies .info as Croatian and regional ICT news portal."
"ipress.hr","TRUE","TRUE","regional","https://mail.ipress.hr/41869-Kontakti","Own contact page identifies independent Istrian news portal; publisher corroborated by site terms."
"jatrgovac.com","TRUE","TRUE","national","https://jatrgovac.com/kontakt/marketing/","Croatian retail portal and magazine; Zagreb publisher."
"kckzz.hr","FALSE","TRUE","institutional","https://kckzz.hr/hr/","Official county website."
"kgz.hr","FALSE","TRUE","institutional","https://www.kgz.hr/hr/kontakti/adresar/804","Zagreb City Libraries institutional website."
"klubskascena.hr","TRUE","TRUE","national","https://www.klubskascena.hr/impressum","Split publisher and editor; electronic music journalism."
"koprivnica.hr","FALSE","TRUE","institutional","https://koprivnica.hr/","Official municipal website."
"krizevci.hr","FALSE","TRUE","institutional","https://krizevci.hr/","Official municipal website."
"lipadona.com","TRUE","TRUE","national","https://lipadona.com/o-nama/","Independent lifestyle portal with editor; Croatia address confirmed AEM registry p56."
"ljepotaizdravlje.hr","TRUE","TRUE","national","https://www.ljepotaizdravlje.hr/impressum/","Zagreb publisher and editors."
"maxportal.hr","TRUE","TRUE","political_portal","https://www.maxportal.hr/impressum/","Zagreb publisher and newsroom; political_portal is review segment judgement."
"medjimurjepress.net","TRUE","TRUE","regional","https://medjimurjepress.net/impresum/","Cakovec publisher and editor; county news scope."
"medjimurska-zupanija.hr","FALSE","TRUE","institutional","https://medjimurska-zupanija.hr/","Official county website."
"mojevrijeme.hr","TRUE","TRUE","national","https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=11","AEM registered publication with Zagreb publisher; distinct domain from explicitly excluded mirovina.hr."
"mvinfo.hr","TRUE","TRUE","national","https://mvinfo.hr/o-nama","Daily literary editorial e-zine with Zagreb company and ISSN."
"novizivot.net","TRUE","TRUE","confessional","https://www.novizivot.net/impressum/","Independent Christian news portal based in Tordinci; mission at https://www.novizivot.net/o-nama/ . Potential third confessional panel member subject to continuity."
"osijek031.com","TRUE","TRUE","regional","https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=46","AEM registry confirms Osijek publisher; own cached imprint corroborates newsroom."
"panopticum.hr","TRUE","TRUE","national","https://pmu.e-mediji.hr/Forms/Common/DownloadStatic.aspx?id=1#page=15","AEM registered electronic publication with Zagreb publisher."
