"date","posts","collected","z","dow"
"2024-01-01",150,TRUE,-1.15814970491018,"1"
"2024-01-02",151,TRUE,-1.14888379106499,"2"
"2024-01-03",125,TRUE,-1.38979755103974,"3"
"2024-01-04",171,TRUE,-0.963565514161344,"4"
"2024-01-05",146,TRUE,-1.19521336029091,"5"
"2024-01-06",295,TRUE,0.185407802641284,"6"
"2024-01-07",150,TRUE,-1.15814970491018,"7"
"2024-01-08",175,TRUE,-0.926501858780614,"1"
"2024-01-09",0,FALSE,,"2"
"2024-01-10",0,FALSE,,"3"
"2024-01-11",0,FALSE,,"4"
"2024-01-12",0,FALSE,,"5"
"2024-01-13",0,FALSE,,"6"
"2024-01-14",0,FALSE,,"7"
"2024-01-15",0,FALSE,,"1"
"2024-01-16",0,FALSE,,"2"
"2024-01-17",0,FALSE,,"3"
"2024-01-18",0,FALSE,,"4"
"2024-01-19",0,FALSE,,"5"
"2024-01-20",0,FALSE,,"6"
"2024-01-21",0,FALSE,,"7"
"2024-01-22",0,FALSE,,"1"
"2024-01-23",0,FALSE,,"2"
"2024-01-24",0,FALSE,,"3"
"2024-01-25",0,FALSE,,"4"
"2024-01-26",0,FALSE,,"5"
"2024-01-27",0,FALSE,,"6"
"2024-01-28",0,FALSE,,"7"
"2024-01-29",0,FALSE,,"1"
"2024-01-30",0,FALSE,,"2"
"2024-01-31",0,FALSE,,"3"
"2024-02-01",0,FALSE,,"4"
"2024-02-02",0,FALSE,,"5"
"2024-02-03",0,FALSE,,"6"
"2024-02-04",0,FALSE,,"7"
"2024-02-05",0,FALSE,,"1"
"2024-02-06",0,FALSE,,"2"
"2024-02-07",0,FALSE,,"3"
"2024-02-08",0,FALSE,,"4"
"2024-02-09",0,FALSE,,"5"
"2024-02-10",0,FALSE,,"6"
"2024-02-11",0,FALSE,,"7"
"2024-02-12",0,FALSE,,"1"
"2024-02-13",0,FALSE,,"2"
"2024-02-14",0,FALSE,,"3"
"2024-02-15",0,FALSE,,"4"
"2024-02-16",0,FALSE,,"5"
"2024-02-17",0,FALSE,,"6"
"2024-02-18",0,FALSE,,"7"
"2024-02-19",0,FALSE,,"1"
"2024-02-20",0,FALSE,,"2"
"2024-02-21",0,FALSE,,"3"
"2024-02-22",0,FALSE,,"4"
"2024-02-23",0,FALSE,,"5"
