"key","value","display_hr","display_en","source","scope","unit","summary"
"report_year","2025","2025","2025","report contract","annual","year",FALSE
"baseline_year","2024","2024","2024","report contract","series rule","year",FALSE
"corpus_rows","413985","413 985","413,985","data/digikat_corpus_manifest.json","all period","posts",FALSE
"corpus_span","2021-01-01 2026-06-11","od 1. siječnja 2021. do 11. lipnja 2026.","1 January 2021 to 11 lipanj 2026","data/digikat_corpus_manifest.json","all period","span",FALSE
"corpus_terms","119","119","119","data/digikat_corpus_manifest.json","inclusion rule","terms",FALSE
"corpus_threshold","0.7","0,70","0.70","data/digikat_corpus_manifest.json","inclusion rule","score",FALSE
"corpus_precision","84.5","84,5 %","84.5%","data/digikat_corpus_manifest.json","measured on hand-read samples","percent",FALSE
"corpus_sha_short","15473a615bf3","15473a615bf3","15473a615bf3","data/digikat_corpus_manifest.json","fingerprint","sha256",FALSE
"total_posts","124346","124 346","124,346","output/volume_platform.csv","2025","posts",TRUE
"collected_days","351","351","351","output/coverage.csv","2025","days",FALSE
"gap_days","14","14","14","output/coverage.csv","2025","days",FALSE
"gap_span","2025-09-01..2025-09-14","od 1. rujna 2025. do 14. rujna 2025.","01 rujan to 14 rujan 2025","output/coverage_gaps.csv","2025","span",FALSE
"gap_estimated_posts","3948","3 948","3,948","output/coverage.csv","2025","posts",FALSE
"median_day","282","282","282","output/coverage.csv","days around the gap","posts",FALSE
"web_share","54.0411432615444","54,0 %","54.0%","output/volume_platform.csv","2025","percent",TRUE
"facebook_share","25.9807311855629","26,0 %","26.0%","output/volume_platform.csv","2025","percent",FALSE
"youtube_share","14.8529104273559","14,9 %","14.9%","output/volume_platform.csv","2025","percent",FALSE
"facebook_reach_share","65.1248481856923","65,1 %","65.1%","output/volume_platform.csv","2025","percent",FALSE
"distinct_sources","5814","5 814","5,814","output/concentration.csv","2025","posts",TRUE
"sources_to_half","56","56","56","output/concentration.csv","2025","sources",TRUE
"top10_share","22.5322889357116","22,5 %","22.5%","output/concentration.csv","2025","percent",FALSE
"classified_coverage","34.5061361040966","34,5 %","34.5%","output/source_labels.csv","2025","percent",FALSE
"confessional_share_classified","62.8056028153914","62,8 %","62.8%","output/source_labels.csv","classified posts","percent",FALSE
"league_outlets","51","51","51","output/league_sources.csv","2025","posts",FALSE
"league_share","35.8805269168289","35,9 %","35.9%","output/league_sources.csv","2025","percent",FALSE
"actors_scored","875","875","875","output/actor_typology.csv","2025","actors",FALSE
"lead_theme_docs","50.4433338707077","50,4 %","50.4%","output/themes.csv","theme sample","percent",TRUE
"lead_theme_hr","Duhovnost i liturgija","Duhovnost i liturgija","spirituality and liturgy","output/themes.csv","theme sample","category",FALSE
"lead_theme_mentions","33.6228261257722","33,6 %","33.6%","output/themes.csv","theme sample","percent",FALSE
"abuse_share","0.869192586508588","0,9 %","0.9%","output/themes.csv","theme sample","percent",TRUE
"disputes_share","0.19569331857301","0,2 %","0.2%","output/themes.csv","theme sample","percent",FALSE
"theme_docs","6203","6 203","6,203","output/nlp_coverage.csv","theme sample","posts",FALSE
"theme_rate","4.9884998311164","5,0 %","5.0%","output/nlp_coverage.csv","theme sample","percent",FALSE
"tone_docs","2479","2 479","2,479","output/nlp_coverage.csv","tone sample","posts",FALSE
"tone_rate","1.99363067569524","2,0 %","2.0%","output/nlp_coverage.csv","tone sample","percent",FALSE
"tone_mean","0.611737164834153","0,61","0.61","output/tone_overall.csv","tone sample","score",FALSE
"tone_positive_share","90.4396934247681","90,4 %","90.4%","output/tone_overall.csv","tone sample","percent",TRUE
"cli_mean","76.4107556960852","76","76","output/tone_overall.csv","tone sample","per 1000 words",FALSE
"cli_confessional","70.1908701331589","70","70","output/tone_by_label.csv","tone sample","per 1000 words",FALSE
"cli_secular","95.1488291123938","95","95","output/tone_by_label.csv","tone sample","per 1000 words",FALSE
"cli_ratio","1.35557272522605","1,36×","1.36×","output/tone_by_label.csv","tone sample","ratio",TRUE
"peak_posts","2825","2 825","2,825","output/event_arcs.csv","peak day","posts",TRUE
"peak_day","2025-04-21","21. travnja 2025.","21 travanj 2025","output/event_arcs.csv","peak day","date",FALSE
"peak_z","12.0268753634594","12,0","12.0","output/event_arcs.csv","peak day","sd",FALSE
"peak_arc_posts","6484","6 484","6,484","output/event_arcs.csv","peak arc","posts",FALSE
"peak_arc_span","2025-04-20 2025-04-23","od 20. 4. 2025. do 23. 4. 2025.","20 travanj to 23 travanj 2025","output/event_arcs.csv","peak arc","span",FALSE
"arcs_n","4","4","4","output/event_arcs.csv","2025","arcs",FALSE
"web_stream_change","11.5343987460388","+11,5 %","+11.5%","output/stream_halfyear.csv","post-2024 stream","percent",TRUE
"web_stream_sources_change","-7.1608040201005","−7,2 %","−7.2%","output/stream_halfyear.csv","post-2024 stream","percent",FALSE
"facebook_stream_change","86.4240633812273","+86,4 %","+86.4%","output/stream_halfyear.csv","post-2024 stream","percent",FALSE
"facebook_stream_sources_change","33.1179321486268","+33,1 %","+33.1%","output/stream_halfyear.csv","post-2024 stream","percent",FALSE
"stream_base_label","2. polovica 2024.","2. polovica 2024.","2. polovica 2024.","output/stream_halfyear.csv","post-2024 stream","period",FALSE
"stream_report_label","2. polovica 2025.","2. polovica 2025.","2. polovica 2025.","output/stream_halfyear.csv","post-2024 stream","period",FALSE
"special_linked","108966","108 966","108,966","studies/moral-economy","study period","posts",FALSE
"special_headline","3.7267","3,73 %","3.73%","studies/moral-economy","study period","percent",FALSE
