"arc","start","end","docs","topic","topic_hr","docs_topic","share"
1,"2025-04-20","2025-04-23",329,"DUHOVNOST_I_LITURGIJA","Duhovnost i liturgija",114,0.346504559270517
1,"2025-04-20","2025-04-23",329,"CRKVENO_UPRAVLJANJE_I_STRUKTURA","Crkveno upravljanje i struktura",97,0.29483282674772
1,"2025-04-20","2025-04-23",329,"PAPE_I_VATIKAN","Pape i Vatikan",65,0.197568389057751
2,"2025-04-26","2025-04-26",65,"DUHOVNOST_I_LITURGIJA","Duhovnost i liturgija",23,0.353846153846154
2,"2025-04-26","2025-04-26",65,"CRKVENO_UPRAVLJANJE_I_STRUKTURA","Crkveno upravljanje i struktura",17,0.261538461538462
2,"2025-04-26","2025-04-26",65,"PAPE_I_VATIKAN","Pape i Vatikan",10,0.153846153846154
3,"2025-08-15","2025-08-15",52,"DUHOVNOST_I_LITURGIJA","Duhovnost i liturgija",45,0.865384615384615
3,"2025-08-15","2025-08-15",52,"CRKVENO_UPRAVLJANJE_I_STRUKTURA","Crkveno upravljanje i struktura",4,0.0769230769230769
3,"2025-08-15","2025-08-15",52,"BIOETIKA_I_KULTURNI_RATOVI","Bioetika i kulturni ratovi",1,0.0192307692307692
4,"2025-12-25","2025-12-25",60,"DUHOVNOST_I_LITURGIJA","Duhovnost i liturgija",36,0.6
4,"2025-12-25","2025-12-25",60,"CRKVENO_UPRAVLJANJE_I_STRUKTURA","Crkveno upravljanje i struktura",14,0.233333333333333
4,"2025-12-25","2025-12-25",60,"POLITIKA_I_ODNOS_S_DRZAVOM","Politika i odnos s državom",4,0.0666666666666667
