"id","name_hr","status","note"
"AR01","Volumen zabilježene rasprave","objavljeno","godišnji presjek i usporedba unutar istoga toka prikupljanja"
"AR02","Indikativni sastav izvora","indikativno","oznake izvora imaju status prijedloga; pokriveno je nešto više od trećine volumena"
"AR03","Vodeći institucionalni akteri","objavljeno","imenuju se samo odobreni institucijski mediji"
"AR04","Raspored aktera po interakcijama i dosegu","objavljeno bez kretanja","raspored za izvještajnu godinu; kretanje čeka zamrznuto referentno pravilo"
"AR05","Referentne vrijednosti angažmana","objavljeno","medijan interakcija po objavi, samo za platforme koje mjeru bilježe"
"AR06","Tematski profil","objavljeno","svih šesnaest kategorija pod jednim nazivnikom, iz tematskog uzorka"
"AR07","Ton i sukob","objavljeno","godišnja mjera tona i sukoba s intervalima pouzdanosti"
"AR08","Dani koji odudaraju","objavljeno","svih 365 dana, prag postavljen unaprijed"
"AR09","Prijenos crkvenoga glasa","u pripremi","traži zaseban dizajn mjerenja i kontrolne skupine"
"AR10","Anketa publike","u pripremi","traži instrument, uzorak i etičko odobrenje"
