"source_key","display_name","entity","label","posts","interactions","reach","platforms","rank","share_of_year","name_hr"
"hkm.hr","hkm.hr","","confessional",8397,157778,2576034,"web",1,6.7529313367539,"hkm.hr"
"bitno.net","bitno.net","Bitno.net","confessional",3695,633546,31438688,"facebook+web",2,2.97154713460827,"Bitno.net"
"net.hr","net.hr","Net.hr","secular",2207,281705,24062255,"facebook+web",3,1.77488620462259,"Net.hr"
"laudato.hr","laudato.hr","Laudato","confessional",2135,105942,1359951,"web",4,1.71698325639747,"Laudato"
"novizivot.net","novizivot.net","","confessional",2078,329041,4521663,"web",5,1.67114342238592,"novizivot.net"
"vjera u nama †","VJERA U NAMA †","","confessional",2047,52534,5000393,"facebook",6,1.64621298634455,"VJERA U NAMA †"
"pulherissimus","pulherissimus","","unclassified",1775,540306,5136993,"youtube",7,1.4274685152719,"pulherissimus"
"slobodnadalmacija.hr","slobodnadalmacija.hr","Slobodna Dalmacija","secular",1583,182453,7097583,"web",8,1.27306065333827,"Slobodna Dalmacija"
"vecernji.hr","vecernji.hr","Večernji list","secular",1491,203524,8134218,"web",9,1.1990735528284,"Večernji list"
"index.hr","index.hr","Index","secular",1392,459574,27544677,"facebook+web",10,1.11945699901887,"Index"
"radio marija hrvatska","Radio Marija Hrvatska","","confessional",1345,95889,5162095,"facebook",11,1.0816592411497,"Radio Marija Hrvatska"
"laudatotv","LaudatoTV","Laudato","confessional",1139,70023,1774077,"instagram+youtube",12,0.915992472616731,"Laudato"
"dnevnik.hr","dnevnik.hr","Dnevnik.hr","secular",1133,208690,23391175,"facebook+web",13,0.911167226931305,"Dnevnik.hr"
"tportal.hr","tportal.hr","","secular",1062,39826,6857934,"facebook+web",14,0.854068486320429,"tportal.hr"
"24sata.hr","24sata.hr","24sata","secular",1043,201514,7568598,"web",15,0.838788541649912,"24sata"
"narod.hr","narod.hr","","secular",1026,73811,2867957,"facebook+twitter+web",16,0.825117012207872,"narod.hr"
"kapljice ljubavi božje","Kapljice ljubavi Božje","","confessional",828,218086,11115414,"facebook",17,0.665883904588809,"Kapljice ljubavi Božje"
"zagrebačka nadbiskupija","Zagrebačka nadbiskupija","Zagrebačka nadbiskupija","confessional",793,123935,5398488,"facebook+youtube",18,0.637736638090489,"Zagrebačka nadbiskupija"
"vjera","VJERA","","confessional",780,228606,11575529,"facebook",19,0.627281939105399,"VJERA"
"dnevno.hr","Dnevno.hr","","secular",709,52805,6093081,"facebook+web",20,0.570183198494523,"Dnevno.hr"
"kraljica mira","Kraljica Mira","","confessional",674,76557,10426774,"facebook",21,0.542035931996204,"Kraljica Mira"
"jutarnji.hr","jutarnji.hr","Jutarnji list","secular",618,128765,5963607,"web",22,0.497000305598893,"Jutarnji list"
"telegram.hr","telegram.hr","","secular",595,221066,9193619,"facebook+web+youtube",23,0.478503530471427,"telegram.hr"
"dalmatinskiportal.hr","dalmatinskiportal.hr","","secular",489,40930,826119,"web",24,0.393257523362231,"dalmatinskiportal.hr"
"slobodna dalmacija","Slobodna Dalmacija","Slobodna Dalmacija","secular",489,68302,11809470,"facebook",25,0.393257523362231,"Slobodna Dalmacija"
"laudato","Laudato","Laudato","confessional",485,184154,11161674,"facebook",26,0.39004069290528,"Laudato"
"rtl danas","RTL Danas","RTL","secular",438,85615,11782258,"facebook",27,0.352242935036109,"RTL"
"večernji list","Večernji list","Večernji list","secular",434,64055,17886896,"facebook+youtube",28,0.349026104579158,"Večernji list"
"nova eva","Nova Eva","","confessional",418,46039,1186591,"youtube",29,0.336158782751355,"Nova Eva"
"hrana za dušu","Hrana za dušu","","confessional",399,46042,789514,"youtube",30,0.320878838080839,"Hrana za dušu"
"mnovine.hr","mnovine.hr","","secular",368,17342,445590,"web",31,0.295948402039471,"mnovine.hr"
"pod smokvom","Pod Smokvom","","confessional",344,139504,927533,"youtube",32,0.276647419297766,"Pod Smokvom"
"24sata","24sata","24sata","secular",333,97746,32861670,"facebook+youtube",33,0.267801135541151,"24sata"
"majko marijo","Majko Marijo","","confessional",302,257023,9049074,"youtube",34,0.242870699499783,"Majko Marijo"
"gospa","Gospa","","confessional",283,78661,3929894,"facebook",35,0.227590754829267,"Gospa"
"rtl","RTL","RTL","secular",258,36420,2705735,"youtube",36,0.207485564473324,"RTL"
"dijete vjere","Dijete Vjere","Dijete Vjere","confessional",237,19856,370008,"youtube",37,0.190597204574333,"Dijete Vjere"
"stopama padre pija","Stopama Padre Pija","","confessional",175,46225,543936,"youtube",38,0.140736332491596,"Stopama Padre Pija"
"božanska ljubav","BOŽANSKA LJUBAV","","confessional",151,144580,1244344,"youtube",39,0.121435349749891,"BOŽANSKA LJUBAV"
"jutarnji","Jutarnji","Jutarnji list","secular",143,37620,7463089,"facebook",40,0.11500168883599,"Jutarnji list"
"caritas.hr","caritas.hr","","confessional",88,232485,3654511,"web",41,0.0707702700529169,"caritas.hr"
"budifrajer","budiFRAjer","","confessional",75,64626,1506085,"youtube",42,0.0603155710678269,"budiFRAjer"
"bog je tu","Bog Je Tu","","confessional",47,49486,1857638,"youtube",43,0.0377977578691715,"Bog Je Tu"
"vlada republike hrvatske","Vlada Republike Hrvatske","","secular",29,1509,334427,"twitter",44,0.0233220208128931,"Vlada Republike Hrvatske"
"dnevniavaz","dnevniavaz","","secular",28,11578,302122,"instagram",45,0.0225178131986554,"dnevniavaz"
"dnevnikhr","dnevnikhr","Dnevnik.hr","secular",13,11625,275371,"tiktok",46,0.01045469898509,"Dnevnik.hr"
"trtbalkanbhsc","trtbalkanbhsc","","secular",13,16442,397090,"tiktok",47,0.01045469898509,"trtbalkanbhsc"
"hrvatska_radiotelevizija","hrvatska_radiotelevizija","","secular",10,9025,226022,"tiktok",48,0.00804207614237692,"hrvatska_radiotelevizija"
"vecernjilist","vecernjilist","Večernji list","secular",9,8688,112937,"tiktok",49,0.00723786852813922,"Večernji list"
"slobodna.dalmacija","slobodna.dalmacija","Slobodna Dalmacija","secular",8,28891,346744,"tiktok",50,0.00643366091390153,"Slobodna Dalmacija"
"hrvatski kanal","Hrvatski Kanal","","secular",5,56,1424,"youtube",51,0.00402103807118846,"Hrvatski Kanal"
