"topic","topic_hr","mentions","docs_dominant","share_of_mentions","share_of_docs","docs_ci_lower","docs_ci_upper","rank"
"DUHOVNOST_I_LITURGIJA","Duhovnost i liturgija",47077,3129,0.336228261257722,0.504433338707077,0.491992160844104,0.516869028919626,1
"CRKVENO_UPRAVLJANJE_I_STRUKTURA","Crkveno upravljanje i struktura",29771,1457,0.212627218512302,0.234886345316782,0.224502740351379,0.245598111777538,2
"BIOETIKA_I_KULTURNI_RATOVI","Bioetika i kulturni ratovi",15750,350,0.112487947719887,0.0564243108173464,0.0509519861985746,0.0624456998048995,3
"POVIJEST_I_NACIONALNI_IDENTITET","Povijest i nacionalni identitet",13090,267,0.093489983216084,0.0430436885378043,0.03826949249712,0.0483835116740038,4
"POLITIKA_I_ODNOS_S_DRZAVOM","Politika i odnos s državom",7275,202,0.0519587187087098,0.0325648879574399,0.0284290311439493,0.0372793426765388,5
"KARITAS_I_SOCIJALNA_PRAVDA","Karitas i socijalna pravda",5131,93,0.0366460736349677,0.0149927454457521,0.0122548114247344,0.0183310284231492,6
"MEDIJI_UMJETNOST_I_KULTURA","Mediji, umjetnost i kultura",5098,189,0.0364103846016498,0.0304691278413671,0.0264739993224027,0.0350454484279583,7
"PAPE_I_VATIKAN","Pape i Vatikan",4458,288,0.0318394457736671,0.0464291471868451,0.0414677304973291,0.0519520004024617,8
"TEOLOGIJA_I_DOKTRINA","Teologija i doktrina",4304,98,0.0307395636181838,0.015798807028857,0.0129818626487752,0.0192151026106958,9
"DIGITALNA_EVANGELIZACIJA_I_MLADI","Digitalna evangelizacija i mladi",2254,39,0.0160982751848016,0.0062872803482186,0.00460283113262682,0.00858285427011329,10
"GLOBALNA_CRKVA_I_MISIJE","Globalna Crkva i misije",1525,10,0.0108916901760526,0.0016121231662099,0.000875930202959709,0.00296522781257369,11
"ZLOSTAVLJANJE_I_KRIZA_POVJERENJA","Zlostavljanje i kriza povjerenja",1217,5,0.00869192586508588,0.000806061583104949,0.000344348926419062,0.00188568367752697,12
"ODNOS_S_DRUGIM_RELIGIJAMA_I_POGLEDIMA","Odnos s drugim religijama i pogledima",1174,28,0.00838481591258079,0.00451394486538772,0.00312498021445061,0.00651622928279729,13
"CRKVENE_FINANCIJE_I_IMOVINA","Crkvene financije i imovina",1003,5,0.00716351819447916,0.000806061583104949,0.000344348926419062,0.00188568367752697,14
"ZNANOST_I_VJERA","Znanost i vjera",614,5,0.00438524443809592,0.000806061583104949,0.000344348926419062,0.00188568367752697,15
"UNUTARCRKVENI_PRIJEPORI_I_IDEOLOGIJE","Unutarcrkveni prijepori i ideologije",274,0,0.0019569331857301,0,5.42101086242752e-20,0.000618907192358673,16
