"bundle","sub_token","n"
"katolicka_skola","sjemeniste",13489
"katolicka_skola","kat_skola",4645
"katolicka_skola","kat_sveuciliste",4573
"katolicka_skola","hks",1197
"katolicka_skola","uciteljska",268
"katolicka_skola","kat_uciliste",3
"odgoj_vrijednosti","vrijednost",60698
"odgoj_vrijednosti","odgoj",27455
"odgoj_vrijednosti","kurikul",1910
"odgoj_vrijednosti","krscanski_korijen",1
"redovi_orders","samostan",39477
"redovi_orders","franjevci",35839
"redovi_orders","casne_sestre",11662
"redovi_orders","isusovci",10095
"redovi_orders","dominikanci",5242
"redovi_orders","salezijanci",3340
"redovi_orders","jezuiti",966
