"ym","corpus_posts","observed"
"2021-01",7978,TRUE
"2021-02",4868,TRUE
"2021-03",5091,TRUE
"2021-04",5086,TRUE
"2021-05",4383,TRUE
"2021-06",4547,TRUE
"2021-07",4259,TRUE
"2021-08",4740,TRUE
"2021-09",4495,TRUE
"2021-10",4908,TRUE
"2021-11",5536,TRUE
"2021-12",6260,TRUE
"2022-01",5210,TRUE
"2022-02",4519,TRUE
"2022-03",5122,TRUE
"2022-04",6572,TRUE
"2022-05",5047,TRUE
"2022-06",4887,TRUE
"2022-07",3454,TRUE
"2022-08",4714,TRUE
"2022-09",4239,TRUE
"2022-10",5239,TRUE
"2022-11",4640,TRUE
"2022-12",6014,TRUE
"2023-01",5606,TRUE
"2023-02",5014,TRUE
"2023-03",5968,TRUE
"2023-04",6741,TRUE
"2023-05",4995,TRUE
"2023-06",5355,TRUE
"2023-07",3775,TRUE
"2023-08",5249,TRUE
"2023-09",4940,TRUE
"2023-10",5112,TRUE
"2023-11",4778,TRUE
"2023-12",6536,TRUE
"2024-01",1363,TRUE
"2024-02",0,FALSE
"2024-03",0,FALSE
"2024-04",0,FALSE
"2024-05",0,FALSE
"2024-06",5347,TRUE
"2024-07",7667,TRUE
"2024-08",8271,TRUE
"2024-09",4240,TRUE
"2024-10",8013,TRUE
"2024-11",9136,TRUE
"2024-12",12886,TRUE
"2025-01",7830,TRUE
"2025-02",9899,TRUE
"2025-03",10784,TRUE
"2025-04",17327,TRUE
"2025-05",10565,TRUE
"2025-06",10004,TRUE
"2025-07",9402,TRUE
"2025-08",10391,TRUE
"2025-09",4664,TRUE
"2025-10",10335,TRUE
"2025-11",10336,TRUE
"2025-12",12809,TRUE
