"metric","value","display","source"
"official_corpus_n",413985,"413,985","analysis_input_manifest.json"
"corpus_2021_2025_n",367146,"367,146","corpus_month_coverage.csv"
"education_strand_n",117180,"117,180","slice.rds"
"observed_months",56,"56","corpus_month_coverage.csv"
"unobserved_months",4,"4","corpus_month_coverage.csv"
"document_overlap_share",0.309660351595835,"31.0%","slice.rds"
"local_overlap_share",0.0983017579791773,"9.8%","slice.rds"
"overlap_removed_share",0.682549743702806,"68.3%","slice.rds"
"stepinac_n",7384,"7,384","candidate_sites_of_memory.csv"
"stepinac_local_share",0.232,"23.2%","candidate_sites_of_memory.csv"
"foil_local_share",0.09,"9.0%","candidate_sites_of_memory.csv"
"stepinac_foil_ratio",2.57777777777778,"2.6 times","candidate_sites_of_memory.csv"
"stepinac_cv",0.75,"0.75","paper_temporal_pooled.csv"
"stepinac_february_peak_years",4,"4","paper_temporal_pooled.csv"
"stepinac_february_eligible_years",4,"4","paper_temporal_pooled.csv"
"stepinac_source_coverage",0.374,"37.4%","confessional_secular_by_entity.csv"
"stepinac_nonconf_share",0.302,"30.2%","confessional_secular_by_entity.csv"
"affect_unique_posts",5526,"5,526","affect_run_metrics.csv"
"affect_token_coverage",0.543391952976225,"54.3%","affect_run_metrics.csv"
"web_share_strand",0.840723672981737,"84.1%","slice.rds"
"value_token_n",25878,"25,878","bundle_subtoken_counts.csv"
"upbringing_token_n",17458,"17,458","bundle_subtoken_counts.csv"
"curriculum_token_n",775,"775","bundle_subtoken_counts.csv"
"christian_roots_token_n",1,"1","bundle_subtoken_counts.csv"
