"metric","value"
"education_strand_n",117180
"stepinac_n",7384
"stepinac_genuine_share",0.232
"document_overlap_share",0.309660351595835
"local_overlap_share",0.0983017579791773
"overlap_removed_share",0.682549743702806
"stepinac_confessional_share",0.698
"stepinac_non_confessional_share",0.302
"stepinac_source_classified_coverage",0.374
"stepinac_february_peak_years",4
"stepinac_february_eligible_years",4
"stepinac_pooled_monthly_cv",0.75
"observed_months",56
"unobserved_months",4
"official_corpus_n",413985
"corpus_2021_2025_n",367146
