"month","total_posts","observed_periods","mean_monthly_posts","posts","share","entity","label","is_peak","peak_label"
1,434,5,86.8,434,0.052556689170779,"stepinac","Alojzije Stepinac",FALSE,""
2,1770,4,442.5,1770,0.267930126245043,"stepinac","Alojzije Stepinac",TRUE,"26.8%"
3,511,4,127.75,511,0.0773515788198965,"stepinac","Alojzije Stepinac",FALSE,""
4,578,4,144.5,578,0.0874935666495111,"stepinac","Alojzije Stepinac",FALSE,""
5,636,4,159,636,0.0962731979049983,"stepinac","Alojzije Stepinac",FALSE,""
6,455,5,91,455,0.0550997547758167,"stepinac","Alojzije Stepinac",FALSE,""
7,388,5,77.6,388,0.046986164512125,"stepinac","Alojzije Stepinac",FALSE,""
8,403,5,80.6,403,0.0488026399442947,"stepinac","Alojzije Stepinac",FALSE,""
9,434,5,86.8,434,0.052556689170779,"stepinac","Alojzije Stepinac",FALSE,""
10,760,5,152,760,0.0920347552299355,"stepinac","Alojzije Stepinac",FALSE,""
11,499,5,99.8,499,0.0604280827101813,"stepinac","Alojzije Stepinac",FALSE,""
12,516,5,103.2,516,0.0624867548666404,"stepinac","Alojzije Stepinac",FALSE,""
1,758,5,151.6,758,0.05591826196009,"vjeronauk","Religious instruction",FALSE,""
2,718,4,179.5,718,0.0662092877429826,"vjeronauk","Religious instruction",FALSE,""
3,1333,4,333.25,1333,0.122920585740105,"vjeronauk","Religious instruction",TRUE,"12.3%"
4,934,4,233.5,934,0.0861274021614843,"vjeronauk","Religious instruction",FALSE,""
5,845,4,211.25,845,0.0779204013131201,"vjeronauk","Religious instruction",FALSE,""
6,1060,5,212,1060,0.0781970417911549,"vjeronauk","Religious instruction",FALSE,""
7,821,5,164.2,821,0.0605658219910737,"vjeronauk","Religious instruction",FALSE,""
8,1054,5,210.8,1054,0.0777544170262993,"vjeronauk","Religious instruction",FALSE,""
9,1206,5,241.2,1206,0.0889675777359743,"vjeronauk","Religious instruction",FALSE,""
10,1463,5,292.6,1463,0.107926671830622,"vjeronauk","Religious instruction",FALSE,""
11,1110,5,222,1110,0.0818855814982848,"vjeronauk","Religious instruction",FALSE,""
12,1296,5,259.2,1296,0.0956069492088082,"vjeronauk","Religious instruction",FALSE,""
1,1404,5,280.8,1404,0.0665655224729755,"katolicka_skola","Catholic schools",FALSE,""
2,1260,4,315,1260,0.0746728617485303,"katolicka_skola","Catholic schools",FALSE,""
3,1488,4,372,1488,0.0881850938744548,"katolicka_skola","Catholic schools",FALSE,""
4,1546,4,386.5,1546,0.0916224160819268,"katolicka_skola","Catholic schools",FALSE,""
5,1390,4,347.5,1390,0.0823772046273469,"katolicka_skola","Catholic schools",FALSE,""
6,2004,5,400.8,2004,0.0950123269486061,"katolicka_skola","Catholic schools",FALSE,""
7,1543,5,308.6,1543,0.0731556988431633,"katolicka_skola","Catholic schools",FALSE,""
8,1376,5,275.2,1376,0.0652380049307794,"katolicka_skola","Catholic schools",FALSE,""
9,1495,5,299,1495,0.0708799544851128,"katolicka_skola","Catholic schools",FALSE,""
10,2264,5,452.8,2264,0.107339275554713,"katolicka_skola","Catholic schools",TRUE,"10.7%"
11,2048,5,409.6,2048,0.0970984259434857,"katolicka_skola","Catholic schools",FALSE,""
12,1853,5,370.6,1853,0.0878532144889058,"katolicka_skola","Catholic schools",FALSE,""
1,3130,5,626,3130,0.0728567770768837,"odgoj_vrijednosti","Upbringing and values",FALSE,""
2,2676,4,669,2676,0.0778613160773725,"odgoj_vrijednosti","Upbringing and values",FALSE,""
3,2982,4,745.5,2982,0.0867647401131258,"odgoj_vrijednosti","Upbringing and values",FALSE,""
4,3164,4,791,3164,0.0920602406834105,"odgoj_vrijednosti","Upbringing and values",FALSE,""
5,2730,4,682.5,2730,0.0794325085542701,"odgoj_vrijednosti","Upbringing and values",FALSE,""
6,3477,5,695.4,3477,0.0809338702544168,"odgoj_vrijednosti","Upbringing and values",FALSE,""
7,3111,5,622.2,3111,0.072414515490794,"odgoj_vrijednosti","Upbringing and values",FALSE,""
8,3289,5,657.8,3289,0.076557808244687,"odgoj_vrijednosti","Upbringing and values",FALSE,""
9,2867,5,573.4,2867,0.0667349456483788,"odgoj_vrijednosti","Upbringing and values",FALSE,""
10,3983,5,796.6,3983,0.0927119945997533,"odgoj_vrijednosti","Upbringing and values",FALSE,""
11,3562,5,712.4,3562,0.0829124089290286,"odgoj_vrijednosti","Upbringing and values",FALSE,""
12,5102,5,1020.4,5102,0.118758874327879,"odgoj_vrijednosti","Upbringing and values",TRUE,"11.9%"
1,1031,5,206.2,1031,0.0450858204875916,"rituali","Catholic rituals",FALSE,""
2,1318,4,329.5,1318,0.0720454793921504,"rituali","Catholic rituals",FALSE,""
3,1349,4,337.25,1349,0.0737400240516016,"rituali","Catholic rituals",FALSE,""
4,1413,4,353.25,1413,0.0772384388324041,"rituali","Catholic rituals",FALSE,""
5,1362,4,340.5,1362,0.0744506395539521,"rituali","Catholic rituals",FALSE,""
6,2938,5,587.6,2938,0.12847928282497,"rituali","Catholic rituals",FALSE,""
7,1989,5,397.8,1989,0.0869793374877009,"rituali","Catholic rituals",FALSE,""
8,3238,5,647.6,3238,0.141598338252979,"rituali","Catholic rituals",TRUE,"14.2%"
9,1576,5,315.2,1576,0.0689187711818082,"rituali","Catholic rituals",FALSE,""
10,2184,5,436.8,2184,0.0955067235159069,"rituali","Catholic rituals",FALSE,""
11,1543,5,308.6,1543,0.0674756750847272,"rituali","Catholic rituals",FALSE,""
12,1566,5,313.2,1566,0.0684814693342079,"rituali","Catholic rituals",FALSE,""
