"entity","stream","n","n_months","peakedness_cv","modal_peak_month","years_peaking_that_month","n_years","eligible_years_modal_month"
"stepinac","original_dta",5193,39,0.75,2,3,4,3
"stepinac","filtered_religious",2191,18,0.81,2,1,2,1
"vjeronauk","original_dta",8280,39,0.34,3,2,4,3
"vjeronauk","filtered_religious",4318,18,0.29,10,1,2,2
"katolicka_skola","original_dta",12951,39,0.29,4,1,4,3
"katolicka_skola","filtered_religious",6720,18,0.27,10,1,2,2
"odgoj_vrijednosti","original_dta",23649,39,0.27,12,2,4,3
"odgoj_vrijednosti","filtered_religious",16424,18,0.28,12,2,2,2
"redovi_orders","original_dta",39887,39,0.25,6,2,4,4
"redovi_orders","filtered_religious",25581,18,0.24,10,1,2,2
"rituali","original_dta",12929,39,0.42,6,2,4,4
"rituali","filtered_religious",8578,18,0.31,8,2,2,2
"strossmayer","original_dta",1601,39,0.44,5,1,4,3
"strossmayer","filtered_religious",859,18,0.35,3,1,2,1
