"FROM","total_posts","total_interactions","total_reach","stepinac_share","typology"
"hkm.hr",23192,1492682,20322228,0.0574767161090031,"Divovi"
"laudato.hr",4121,261786,3274860,0.0555690366415918,"Divovi"
"djos.hr",2805,11642,202908,0.0221033868092692,"Divovi"
"slobodnadalmacija.hr",2034,370145,10755189,0.0368731563421829,"Divovi"
"narod.hr",1788,191927,3472029,0.135906040268456,"Divovi"
"redovnistvo.hr",1624,1639,37917,0.0264778325123153,"Specijalizirani akteri"
"smn.hr",1329,68850,904659,0.0316027088036117,"Divovi"
"vecernji.hr",1257,380397,12285717,0.0739856801909308,"Divovi"
"bitno.net",1213,274068,4850802,0.0502885408079143,"Divovi"
"direktno.hr",1114,74034,1629066,0.0861759425493716,"Divovi"
"novilist.hr",1080,111014,2210940,0.0222222222222222,"Divovi"
"index.hr",1023,700829,20646879,0.0361681329423265,"Divovi"
"dnevno.hr",1013,1066160,20657571,0.0868706811451135,"Divovi"
"radio-medjugorje.com",996,87387,1064115,0.0180722891566265,"Divovi"
"novizivot.net",897,286253,3696318,0,"Divovi"
"croativ.net",877,43696,910977,0.120866590649943,"Divovi"
"glas-slavonije.hr",871,6848,143136,0.0505166475315729,"Divovi"
"crovijesti.com",856,0,256800,0.0280373831775701,"Megafoni"
"glasistre.hr",818,30794,690870,0.0378973105134474,"Divovi"
"prigorski.hr",809,30697,505764,0.0444993819530284,"Divovi"
"jutarnji.hr",773,287610,9513576,0.0582147477360931,"Divovi"
"hrt.hr",768,17409,726237,0.0481770833333333,"Divovi"
"24sata.hr",764,313394,8043126,0.0772251308900524,"Divovi"
"net.hr",750,114596,4624200,0.0373333333333333,"Divovi"
"biskupija-varazdinska.hr",694,13018,177904,0.0677233429394813,"Divovi"
"ssmi.hr",675,620,14004,0.0251851851851852,"Specijalizirani akteri"
"dalmatinskiportal.hr",631,141019,4047066,0.0380348652931854,"Divovi"
"hrvatskonebo.org",626,29170,533682,0.0830670926517572,"Divovi"
"dalmacijadanas.hr",616,87980,1484784,0.0227272727272727,"Divovi"
"kamenjar.com",569,41300,842562,0.173989455184534,"Divovi"
"vjeraidjela.com",564,10196,194490,0.0656028368794326,"Divovi"
"nacional.hr",552,31244,608742,0.0778985507246377,"Divovi"
"vjeronauk.hr",541,407,5877,0.0406654343807763,"Specijalizirani akteri"
"tportal.hr",526,29949,1426185,0.0456273764258555,"Divovi"
"7dnevno.hr",525,6417,143694,0.118095238095238,"Divovi"
"zg-nadbiskupija.hr",501,51310,637810,0.235528942115768,"Divovi"
"dragovoljac.com",495,1613,52974,0.258585858585859,"Specijalizirani akteri"
"infokiosk.net",493,0,1479,0.0628803245436105,"Specijalizirani akteri"
"034portal.hr",490,26860,624828,0.036734693877551,"Divovi"
"hrvatski-fokus.hr",482,2343,85437,0.128630705394191,"Specijalizirani akteri"
"pozeski.hr",463,19828,323430,0.019438444924406,"Divovi"
"dnevnik.hr",454,201857,4429059,0.0484581497797357,"Divovi"
"ofm.hr",444,15169,238131,0.00225225225225225,"Divovi"
"glas-koncila.hr",433,84806,2818092,0.136258660508083,"Divovi"
"sestre-sv-kriza.hr",416,2162,30618,0.0264423076923077,"Specijalizirani akteri"
"telegram.hr",415,212136,4202394,0.0746987951807229,"Divovi"
"zagreb.info",404,93762,1565676,0.051980198019802,"Divovi"
"unicath.hr",383,3056,55725,0.216710182767624,"Specijalizirani akteri"
"sibenik.in",371,37718,535563,0.0107816711590297,"Divovi"
"dulist.hr",370,32101,458727,0.0135135135135135,"Divovi"
"znet.hr",348,2347,172953,0.0431034482758621,"Megafoni"
"pozega.eu",345,29161,376911,0.0202898550724638,"Divovi"
"ferata.hr",343,42143,529374,0.0408163265306122,"Divovi"
"057info.hr",342,17067,368049,0.0175438596491228,"Divovi"
"ofmconv.hr",342,811,13635,0.0204678362573099,"Specijalizirani akteri"
"magicus.info",341,1467,56615,0.00293255131964809,"Specijalizirani akteri"
"dubrovnikinsider.hr",324,9659,174861,0.00617283950617284,"Divovi"
"maxportal.hr",324,81122,1384452,0.160493827160494,"Divovi"
"hteam.org",313,4971,134742,0.0766773162939297,"Megafoni"
"tomislavnews.com",305,77221,892005,0.0327868852459016,"Divovi"
