rank,posts,total_interactions,mean_interactions,actor_type
1,5965,1620448,271.659346186086,Lay Influencers
2,1522,589626,387.402102496715,Lay Influencers
3,1840,383278,208.303260869565,Lay Influencers
4,1319,177424,134.514025777104,Lay Influencers
5,901,77612,86.1398446170921,Lay Influencers
6,327,73222,223.920489296636,Lay Influencers
7,72,49649,689.569444444445,Lay Influencers
8,260,41580,159.923076923077,Lay Influencers
9,274,38917,142.032846715328,Charismatic Communities
10,63,31661,502.555555555556,Charismatic Communities
11,258,27348,106,Charismatic Communities
12,62,27166,438.161290322581,Lay Influencers
13,82,26214,319.682926829268,Lay Influencers
14,110,23425,212.954545454545,Lay Influencers
15,97,22648,233.484536082474,Lay Influencers
16,85,19960,234.823529411765,Lay Influencers
17,20,18387,919.35,Charismatic Communities
18,32,16312,509.75,Lay Influencers
19,41,6145,149.878048780488,Charismatic Communities
20,22,6047,274.863636363636,Lay Influencers
21,35,5955,170.142857142857,Lay Influencers
22,2,4519,2259.5,Charismatic Communities
23,43,4326,100.604651162791,Lay Influencers
24,2,4120,2060,Charismatic Communities
25,43,3995,92.9069767441861,Lay Influencers
26,23,3592,156.173913043478,Lay Influencers
27,50,3205,64.1,Lay Influencers
28,14,3136,224,Lay Influencers
29,16,2658,166.125,Lay Influencers
30,11,2646,240.545454545455,Lay Influencers
31,26,2213,85.1153846153846,Individual Priests
32,30,2199,73.3,Lay Influencers
33,46,2034,44.2173913043478,Lay Influencers
34,10,1738,173.8,Individual Priests
35,7,1638,234,Charismatic Communities
36,2,1608,804,Charismatic Communities
37,1,1142,1142,Charismatic Communities
38,3,1037,345.666666666667,Lay Influencers
39,1,659,659,Individual Priests
40,10,604,60.4,Individual Priests
41,2,570,285,Lay Influencers
42,84,544,6.47619047619048,Individual Priests
43,7,461,65.8571428571429,Individual Priests
44,3,347,115.666666666667,Lay Influencers
45,1,148,148,Individual Priests
46,3,122,40.6666666666667,Lay Influencers
47,2,102,51,Lay Influencers
48,224,90,0.401785714285714,Charismatic Communities
49,6,70,11.6666666666667,Lay Influencers
50,13,61,4.69230769230769,Individual Priests
51,1,50,50,Lay Influencers
52,5,48,9.6,Individual Priests
53,1,45,45,Lay Influencers
54,1,41,41,Individual Priests
55,2,40,20,Lay Influencers
56,3,40,13.3333333333333,Individual Priests
57,3,39,13,Charismatic Communities
58,10,23,2.3,Individual Priests
59,3,23,7.66666666666667,Individual Priests
60,3,19,6.33333333333333,Charismatic Communities
61,1,19,19,Individual Priests
62,1,4,4,Charismatic Communities
63,6,4,0.666666666666667,Individual Priests
64,1,1,1,Individual Priests
65,1,0,0,Lay Influencers
66,1,0,0,Individual Priests
