term,estimate,std_error,statistic,p,ci_low,ci_high,min_posts,sources,priest_sources,charismatic_sources,ratio
log(posts),0.115697550788037,0.116381758724248,0.994121003637415,0.324028078276125,-0.116946270003986,0.348341371580059,1,66,17,14,1.12265627427483
priest,-1.66040927503544,0.572830641653997,-2.89860414980797,0.00517651437761634,-2.80548141178573,-0.515337138285143,1,66,17,14,0.190061176886245
charismatic,0.233799082093448,0.746387263735941,0.313240985548438,0.755148933885946,-1.25820779879118,1.72580596297807,1,66,17,14,1.26339062890547
log(posts),0.00753997039835911,0.127857650178197,0.0589716015259984,0.953283764786893,-0.251294310433881,0.266374251230599,5,42,9,7,1.0075684675527
priest,-2.25942531143261,0.675227281540337,-3.34617005740406,0.00185498764174963,-3.62635147949702,-0.892499143368213,5,42,9,7,0.104410471020414
charismatic,-0.348793968733284,0.910145208911559,-0.383228923602648,0.703685643477596,-2.19128661796628,1.49369868049972,5,42,9,7,0.70553847828272
log(posts),-0.0846059431589201,0.111514912282978,-0.758696226601747,0.453419406178281,-0.31148473809236,0.14227285177452,10,37,6,6,0.918874301773768
priest,-2.27415282838809,0.757825763260885,-3.00089141678495,0.00509542394602001,-3.81596093654358,-0.732344720232598,10,37,6,6,0.102884031956981
charismatic,-0.570178019793144,1.02114999365766,-0.55836852894727,0.580361883724649,-2.64772330287995,1.50736726329367,10,37,6,6,0.565424772938437
log(posts),-0.09528533137452,0.140478668979755,-0.678290391463291,0.503580316323849,-0.384043370963774,0.193472708214734,20,30,2,6,0.909113498853209
priest,-2.09119050381661,1.68320559882302,-1.24238566297478,0.22518367734502,-5.55106916348584,1.36868815585262,20,30,2,6,0.123539973426274
charismatic,-0.58283936462704,1.03509209326963,-0.563079718622887,0.578204571266118,-2.71050163404925,1.54482290479517,20,30,2,6,0.558310865761987
