day,web_rows,text_rows,text_fraction,reason,mask_version,input_digest
2021-05-28,9865,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2021-05-29,5570,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2021-06-21,8675,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2021-06-22,6474,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2021-08-12,8217,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2021-08-13,14818,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2021-08-14,10948,5464,0.499086591158202,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2021-09-11,5849,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2021-09-12,5567,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2021-09-13,9049,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2021-09-14,8795,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2021-12-30,8193,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2021-12-31,7081,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2022-02-26,6997,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2022-02-27,6906,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2022-05-13,9257,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
2022-05-14,6407,0,0,nonnull_full_text_below_90pct,mask_v1+2ac830fd666d,74f473e129d7a1613574b12a565374384bb28aafd8d4641c2d59ae4066e9d604
