month,stream,n_total,n_infl,share
2024-07,backfill,7393,15,0.202894630055458
2024-08,backfill,8271,14,0.169266110506589
2024-09,backfill,4240,9,0.212264150943396
2024-10,backfill,8013,21,0.262074129539498
2024-11,backfill,9136,10,0.109457092819615
2024-12,backfill,12886,34,0.263852242744063
2025-01,backfill,7830,21,0.268199233716475
2025-02,backfill,9899,22,0.222244671178907
2025-03,backfill,10784,24,0.222551928783383
2025-04,backfill,17327,20,0.115426790558089
2025-05,backfill,10565,13,0.123047799337435
2025-06,backfill,10004,11,0.109956017592963
2025-07,backfill,9402,26,0.276536907041055
2025-08,backfill,10391,27,0.259840246367048
2025-09,backfill,4664,9,0.192967409948542
2025-10,backfill,10335,20,0.19351717464925
2025-11,backfill,10336,13,0.12577399380805
2025-12,backfill,12809,37,0.288859395737372
2026-01,backfill,7811,59,0.755345026245039
2026-02,backfill,7372,24,0.32555615843733
2026-03,backfill,9032,23,0.254650132860939
2026-04,backfill,10261,58,0.565247051944255
2026-05,backfill,8854,32,0.361418567878925
2026-06,backfill,3509,4,0.113992590481619
2021-01,monitoring,7978,10,0.125344697919278
2021-02,monitoring,4868,6,0.123253903040263
2021-03,monitoring,5091,9,0.176782557454331
2021-04,monitoring,5086,12,0.235941801022415
2021-05,monitoring,4383,11,0.250969655487109
2021-06,monitoring,4547,9,0.19793270288102
2021-07,monitoring,4259,2,0.0469593801361822
2021-08,monitoring,4740,2,0.0421940928270042
2021-09,monitoring,4495,14,0.311457174638487
2021-10,monitoring,4908,13,0.264873675631622
2021-11,monitoring,5536,5,0.0903179190751445
2021-12,monitoring,6260,10,0.159744408945687
2022-01,monitoring,5210,27,0.518234165067178
2022-02,monitoring,4519,49,1.08431068820536
2022-03,monitoring,5122,26,0.50761421319797
2022-04,monitoring,6572,63,0.95861229458308
2022-05,monitoring,5047,26,0.515157519318407
2022-06,monitoring,4887,28,0.572948639246982
2022-07,monitoring,3454,10,0.289519397799653
2022-08,monitoring,4714,54,1.14552397114977
2022-09,monitoring,4239,21,0.495399858457183
2022-10,monitoring,5239,33,0.629891200610804
2022-11,monitoring,4640,18,0.387931034482759
2022-12,monitoring,6014,113,1.87894911872298
2023-01,monitoring,5606,39,0.695683196575098
2023-02,monitoring,5014,23,0.458715596330275
2023-03,monitoring,5968,33,0.552949061662198
2023-04,monitoring,6741,47,0.697225930870791
2023-05,monitoring,4995,12,0.24024024024024
2023-06,monitoring,5355,16,0.298786181139122
2023-07,monitoring,3775,4,0.105960264900662
2023-08,monitoring,5249,30,0.571537435702039
2023-09,monitoring,4940,15,0.303643724696356
2023-10,monitoring,5112,16,0.312989045383412
2023-11,monitoring,4778,11,0.230221850146505
2023-12,monitoring,6536,44,0.673194614443085
2024-01,monitoring,1363,12,0.880410858400587
2024-06,monitoring,5347,67,1.25303908733869
2024-07,monitoring,274,0,0
