FROM,posts,infl,pct
hkm.hr,56500,153,0.27
laudato.hr,11979,10,0.08
novizivot.net,7496,13,0.17
VJERA U NAMA †,5326,0,0
LaudatoTV,4064,0,0
Radio Marija Hrvatska,3481,0,0
Hrana za dušu,3457,1,0.03
Laudato,2515,0,0
biskupija-varazdinska.hr,2482,2,0.08
Svjedočanstva & Vjera,2416,2,0.08
Zagrebačka nadbiskupija,2386,0,0
vjeraidjela.com,1306,5,0.38
VJERA,1298,0,0
glas-koncila.hr,1256,11,0.88
zg-nadbiskupija.hr,912,3,0.33
Kršćanska proročka crkva Isus je Kralj!,877,0,0
Vjera-Ufanje-Ljubav,797,0,0
Sisačka biskupija,565,0,0
vjeraufanjeljubav.com.hr,520,0,0
biskupijakrk.hr,515,0,0
zupa-zabok.org,458,0,0
Župa Šurkovac,442,0,0
Sveta Mati Slobode - Župa Duha Svetoga,435,0,0
Antemurale - Hrvatski katolički portal,373,0,0
Hrana za dušu TV,327,0,0
Duhovna Obnova,326,0,0
pszupanija.hr,306,2,0.65
Radio Marija u BiH,306,0,0
Požeška biskupija,287,0,0
MARIJA MAJKA ISUSOVA,274,0,0
zupa-svkriz.hr,273,1,0.37
Hrvatsko katoličko sveučilište (Universitas Studiorum Catholica Croatica),250,0,0
medjimurska-zupanija.hr,249,2,0.8
zupa-sv-nikole-varazdin.hr,234,0,0
caritas.hr,225,8,3.56
Emmanuel Crkva Zagreb,224,0,0
Hrvatska katolička mreža,209,0,0
isusovci.hr,206,0,0
VJERA UFANJE LJUBAV,206,0,0
zupa-duhasvetoga-jarun.hr,188,0,0
zupanjac.net,178,2,1.12
Duhovniportal.com,166,0,0
zupa-sv-marka-krizevcanina.hr,159,0,0
Virovitičko-podravska županija,155,0,0
sibensko-kninska-zupanija.hr,149,0,0
Svjedočanstvo Ljubavi,140,0,0
Varazdinska Biskupija,133,0,0
varazdinska-zupanija.hr,127,1,0.79
Župa sv. Vida - Petruševec,126,0,0
Susret hrvatske katoličke mladeži Požega 2026.,108,0,0
zupa-preobrazenja-gospodnjeg.hr,99,0,0
zadarska-zupanija.hr,93,1,1.08
zupa-petrusevec.hr,82,0,0
zagrebacka-zupanija.hr,82,0,0
Hrvatski katolički radio,80,0,0
Župa svetog Petra apostola - Zadar (Ploča),79,0,0
Riječka nadbiskupija,75,0,0
Zupa Tramosnica,73,0,0
KATOLIČKA OBITELJ,72,0,0
Katolička Tiskovna Agencija,71,0,0
dubrovacka-biskupija.hr,69,0,0
Šibenska biskupija,68,0,0
Isusove Riječi,67,0,0
Crkva Svemogućeg Boga,67,0,0
Dubrovacka Biskupija,66,0,0
Župa Uznesenja BDM - Stenjevec,66,0,0
Katolička obitelj,62,0,0
Zadarska županija,60,0,0
zadarskanadbiskupija.hr,53,0,0
pozeska-biskupija.hr,52,0,0
laudatotv,51,0,0
ri-nadbiskupija.hr,47,0,0
Sisačko-moslavačka županija,47,0,0
Splitsko-makarska nadbiskupija,42,0,0
zupa-kraljice-svete-krunice.hr,37,0,0
KES Duhovni kutak,34,0,0
sibenska-biskupija.hr,33,0,0
Katoličke molitve,32,0,0
Crkva,31,0,0
Župa sv. Ilije proroka Metković,30,0,0
Baptistička crkva Belica,30,0,0
Mladi Sisačke biskupije,29,0,0
Beogradska Nadbiskupija i Metropolija,28,0,0
zupakristakraljatrnje.hr,27,0,0
Radio Marija u Bosni i Hercegovini,27,0,0
Crkva Svemogućeg Boga-HR,27,0,0
Zupanjac Net,27,0,0
Župa Rovišće,24,0,0
Katolički bogoslovni fakultet u Splitu,23,0,0
Varaždinska županija,22,0,0
slunj-crkva.hr,21,0,0
VJERA TV - Hrana za dušu,21,0,0
Hrvatska katolička misija London,20,0,0
Šibensko-kninska županija - Službene stranice,19,0,0
Evanđeoska pentekostna crkva Jelenovac,18,0,0
Hrišćanska Evanđeoska Crkva Beč,18,0,0
Turistička zajednica Zagrebačke županije,17,0,0
Hrana za dušu 2,17,0,0
Vjera i Razum,17,0,0
Bazilika Srca Isusova,17,0,0
"Župa Bezgrešnog začeća BDM, Malešnica - Oranice",17,0,0
Hrvatski Crveni križ Društvo Crvenog križa Osječko-baranjske županije,17,0,0
VjeraVsFilozofija,17,0,0
SSRF Duhovnost,16,0,0
Župa Majke Božje Lurdske - Zagreb,16,0,0
vrhbosanska-nadbiskupija.org,15,0,0
DUHOVNI TRENUTAK ZA TEBE,14,0,0
Turistička zajednica Požeško-slavonske županije,14,0,0
Vojnik Sreće - Duhovne poruke i inspiracija,14,0,0
crvenikrizzupanja.hr,13,0,0
DOSTI Međimurske županije,13,0,0
vjera.hr,13,0,0
zupa-kompolje.hr,12,0,0
Susret hrvatske katoličke mladeži Bjelovar 2022.,12,0,0
Duhovna Biblioteka,12,0,0
Zvona ZG Nadbiskupije,11,0,0
HDZ Karlovačke županije,11,0,0
Hrvatsko katoličko sveučilište,11,0,0
Zvona ZG Nadbiskupije HR,11,0,0
zupagospavangrada-sibenik.hr,10,0,0
Župa i samostan sv. Ante Padovanskog Šubićevac,10,0,0
SMnadbiskupija,10,0,0
Lepota Duhovnog Razvoja,9,0,0
Župa Velike Gospe,8,0,0
caritaszgvideo,8,0,0
Duhovne Pjesme,8,0,0
BIBLIJA I DUHOVNOST,8,0,0
Isusovi učenici,8,0,0
Vukovarsko-srijemska županija,8,0,0
Župa Krapanj Brodarica,7,0,0
Domovinski pokret Splitsko-dalmatinska županija,7,0,0
Duhovni Kompas,7,0,0
Vjera24,7,0,0
Baptistička crkva - SEZ Umag,7,0,0
Katolička osnovna škola Svetoga Josipa Čakovec,7,0,0
HKM Mittelbaden,6,0,0
Duhovni rast,6,0,0
Crveni Križ Županja,6,0,0
Biskup Jasmin Milić,6,0,0
