year,stream,register,N
2021,monitoring,devotional,1
2021,monitoring,institution,8
2021,monitoring,justice,2
2021,monitoring,other,1
2022,monitoring,charity,34
2022,monitoring,crl,46
2022,monitoring,devotional,13
2022,monitoring,disputed,3
2022,monitoring,institution,106
2022,monitoring,justice,1
2022,monitoring,other,4
2023,monitoring,charity,11
2023,monitoring,crl,34
2023,monitoring,devotional,5
2023,monitoring,disputed,2
2023,monitoring,institution,37
2023,monitoring,justice,5
2024,backfill,charity,12
2024,backfill,crl,1
2024,backfill,disputed,2
2024,backfill,institution,5
2024,backfill,justice,4
2024,monitoring,crl,60
2024,monitoring,institution,4
2025,backfill,charity,26
2025,backfill,crl,13
2025,backfill,devotional,4
2025,backfill,disputed,3
2025,backfill,institution,16
2025,backfill,justice,2
2025,backfill,other,2
2026,backfill,charity,4
2026,backfill,crl,40
2026,backfill,devotional,3
2026,backfill,disputed,2
2026,backfill,institution,3
2026,backfill,justice,1
