rid,n,infl,link,foreign,register,coding_source,note
6270,1,1,1,0,cost_relig_life,corpus_v1_addendum,All Saints flowers and votive lights became more expensive
27960,1,1,0,0,none,corpus_v1_addendum,school sacraments and cooking-oil prices are merely adjacent
122817,1,1,1,1,institution,corpus_v1_addendum,Bosnian mission directors discuss inflation during their annual report
126853,1,1,0,0,none,corpus_v1_addendum,bishop attends a civic reception but does not enter the inflation statement
126881,1,1,0,0,none,corpus_v1_addendum,local inflation statement is unrelated to the religious element
126890,1,1,0,0,none,corpus_v1_addendum,bishop attends a civic reception but does not enter the inflation statement
126895,1,1,0,0,none,corpus_v1_addendum,bishop attends a civic reception but does not enter the inflation statement
192949,1,1,1,0,cost_relig_life,corpus_v1_addendum,cathedral admission and votive-light charges
199434,1,0,0,0,none,corpus_v1_addendum,the rising price of remaining is a metaphor for committed love
200589,1,1,0,0,none,corpus_v1_addendum,misija is used idiomatically and creates no religious connection
204217,1,0,0,0,none,corpus_v1_addendum,the rising price of remaining is a metaphor for committed love
204225,1,0,0,0,none,corpus_v1_addendum,the rising price of remaining is a metaphor for committed love
208733,1,0,0,0,none,corpus_v1_addendum,inflation of false information is metaphorical
209681,1,0,0,0,none,corpus_v1_addendum,the rising price of remaining is a metaphor for committed love
209784,1,0,0,0,none,corpus_v1_addendum,the rising price of remaining is a metaphor for committed love
233408,1,1,1,1,other,corpus_v1_addendum,Bosnian Christmas household spending and food prices
276728,1,1,0,0,none,corpus_v1_addendum,liturgical explainer and cigarette-price feed item are juxtaposed
276818,1,1,0,0,none,corpus_v1_addendum,liturgical explainer and cigarette-price feed item are juxtaposed
289141,1,1,0,0,none,corpus_v1_addendum,inflation discussion and a distant devotional widget are unrelated
293764,1,1,1,0,devotional,corpus_v1_addendum,Lenten reflection connects consumer restraint to inflation
294825,1,1,1,0,devotional,corpus_v1_addendum,Lenten reflection connects consumer restraint to inflation
294826,1,1,1,0,devotional,corpus_v1_addendum,Lenten reflection connects consumer restraint to inflation
379558,1,1,1,0,other,corpus_v1_addendum,literal price inflation is contrasted with an inflation of theologians
410552,1,0,0,0,none,corpus_v1_addendum,an expensive garment in a biblical story is not a cost-of-living claim
452615,1,1,1,1,charity,corpus_v1_addendum,historical mission relief responds to rising rice prices in India
453156,1,1,1,1,charity,corpus_v1_addendum,historical mission relief responds to rising rice prices in India
455037,1,0,0,0,none,corpus_v1_addendum,inflation of words is metaphorical
455950,1,1,1,0,other,corpus_v1_addendum,rising fair prices are discussed by participants in the Assumption pilgrimage
455951,1,1,1,0,other,corpus_v1_addendum,rising fair prices are discussed by participants in the Assumption pilgrimage
554841,1,1,1,0,devotional,corpus_v1_addendum,Lenten commentary connects consumer restraint to inflation
591997,1,0,0,0,none,corpus_v1_addendum,hyperinflation of news and information is metaphorical
675354,1,1,1,0,devotional,corpus_v1_addendum,a Marian invocation explicitly asks for lower inflation
