month,n_total_june,n_infl_june,n_total,n_infl,d_total,d_infl
2021-01,12860,41,7978,10,-4882,-31
2021-02,7077,43,4868,6,-2209,-37
2021-03,7185,39,5091,9,-2094,-30
2021-04,7027,28,5086,12,-1941,-16
2021-05,6502,20,4383,11,-2119,-9
2021-06,6255,24,4547,9,-1708,-15
2021-07,6153,17,4259,2,-1894,-15
2021-08,6828,32,4740,2,-2088,-30
2021-09,6408,24,4495,14,-1913,-10
2021-10,7241,52,4908,13,-2333,-39
2021-11,8174,45,5536,5,-2638,-40
2021-12,8678,49,6260,10,-2418,-39
2022-01,7552,119,5210,27,-2342,-92
2022-02,6226,92,4519,49,-1707,-43
2022-03,7265,83,5122,26,-2143,-57
2022-04,8857,144,6572,63,-2285,-81
2022-05,7350,106,5047,26,-2303,-80
2022-06,6943,112,4887,28,-2056,-84
2022-07,5191,57,3454,10,-1737,-47
2022-08,6709,112,4714,54,-1995,-58
2022-09,6164,111,4239,21,-1925,-90
2022-10,7405,110,5239,33,-2166,-77
2022-11,6880,79,4640,18,-2240,-61
2022-12,7993,187,6014,113,-1979,-74
2023-01,7136,90,5606,39,-1530,-51
2023-02,6318,55,5014,23,-1304,-32
2023-03,7427,88,5968,33,-1459,-55
2023-04,8427,109,6741,47,-1686,-62
2023-05,6550,59,4995,12,-1555,-47
2023-06,7069,45,5355,16,-1714,-29
2023-07,4970,24,3775,4,-1195,-20
2023-08,6862,67,5249,30,-1613,-37
2023-09,6634,41,4940,15,-1694,-26
2023-10,6950,54,5112,16,-1838,-38
2023-11,6758,49,4778,11,-1980,-38
2023-12,8735,86,6536,44,-2199,-42
2024-01,1911,25,1363,12,-548,-13
2024-06,8477,106,5347,67,-3130,-39
2024-07,436,1,274,0,-162,-1
