name,value,note
n_corpus,413 985,""
n_tagged,1 486,""
n_candidates,761,""
n_linked,560,""
n_foreign,85,""
n_core,475,""
pct_tagged,0.36,""
pct_core_of_corpus,0.11,""
pct_core_of_tagged,32.0,""
pct_candidates_surviving,74,""
n_prior_coded,729,""
n_addendum_coded,32,""
n_prior_domestic,465,""
n_addendum_domestic,10,""
resp_publicvoice_2021,8,""
resp_publicvoice_2022,98,""
resp_publicvoice_2023,35,""
resp_publicvoice_2024,8,""
resp_publicvoice_2025,15,""
resp_publicvoice_2026,3,""
peak_year_publicvoice,2022,""
peak_n_publicvoice,98,""
resp_repricing_2021,1,""
resp_repricing_2022,42,""
resp_repricing_2023,32,""
resp_repricing_2024,60,""
resp_repricing_2025,11,""
resp_repricing_2026,38,""
peak_year_repricing,2024,""
peak_n_repricing,60,""
resp_charitableresponse_2021,0,""
resp_charitableresponse_2022,30,""
resp_charitableresponse_2023,10,""
resp_charitableresponse_2024,4,""
resp_charitableresponse_2025,17,""
resp_charitableresponse_2026,2,""
peak_year_charitableresponse,2022,""
peak_n_charitableresponse,30,""
resp_normativeresponse_2021,2,""
resp_normativeresponse_2022,1,""
resp_normativeresponse_2023,5,""
resp_normativeresponse_2024,3,""
resp_normativeresponse_2025,2,""
resp_normativeresponse_2026,0,""
peak_year_normativeresponse,2023,""
peak_n_normativeresponse,5,""
anchor_2022_share,30.0,""
anchor_2023_share,47.8,""
anchor_2022_voice,98,""
anchor_2022_repricing,42,""
anchor_2023_voice,35,""
anchor_2023_repricing,32,""
reg_n_crl,184,""
reg_pct_crl,38.7,""
reg_n_institution,167,""
reg_pct_institution,35.2,""
reg_n_charity,63,""
reg_pct_charity,13.3,""
reg_n_devotional,31,""
reg_pct_devotional,6.5,""
reg_n_justice,13,""
reg_pct_justice,2.7,""
reg_n_disputed,9,""
reg_pct_disputed,1.9,""
reg_n_other,8,""
reg_pct_other,1.7,""
n_secular,399,""
n_catholic,73,""
pct_secular,84,""
pct_catholic,15,""
macro_economic_object,351,""
macro_economic_object_pct,74,""
r_monitoring_headline,0.48,""
r_monitoring_food,0.44,""
r_monitoring_energy,0.24,""
r_backfill_headline,0.15,""
r_backfill_food,-0.31,""
r_backfill_energy,0.32,""
months_monitoring,37,""
hicpmin_monitoring,0.0,""
hicpmax_monitoring,12.9,""
hicpsd_monitoring,4.03,""
thr_below_monitoring,0.28,""
thr_above_monitoring,0.55,""
thr_ratio_monitoring,1.96,""
months_backfill,24,""
hicpmin_backfill,3.0,""
hicpmax_backfill,5.4,""
hicpsd_backfill,0.60,""
thr_below_backfill,0.32,""
thr_above_backfill,0.22,""
thr_ratio_backfill,0.69,""
rob_mon_levelsneweywest_t,4.33,""
rob_mon_firstdifferences_t,0.46,""
rob_mon_negativebinomialvolumeoffset_t,3.98,""
rob_bac_levelsneweywest_t,0.61,""
rob_bac_firstdifferences_t,0.77,""
rob_bac_negativebinomialvolumeoffset_t,0.76,""
agree_isitaboutthecostofliving,0.967,""
kappa_isitaboutthecostofliving,0.483,""
agree_isreligiongenuinelylinked,0.914,""
kappa_isreligiongenuinelylinked,0.332,""
agree_domesticorforeigninflation,0.955,""
kappa_domesticorforeigninflation,0.831,""
agree_whatthepostisabout,0.696,""
kappa_whatthepostisabout,0.619,""
n_reannotated,120,""
n_disputed,10,""
n_disputed_resolved,10,""
v2_object_own_n,85,""
v2_object_household_n,74,""
v2_object_both_n,5,""
v2_object_other_n,3,""
v2_direct_own_n,83,""
v2_direct_household_n,75,""
v2_direct_own_pct,49.7,""
v2_own_peak_month,2022-10,""
v2_own_peak_n,18,""
v2_household_peak_month,2022-02,""
v2_household_peak_n,27,""
v2_household_own_lag_months,8,""
v2_own_repricing_lag_months,20,""
v2_direct_own_before_repricing_n,71,""
v2_named_units,29,""
v2_own_speech_units,20,""
v2_repricing_units,13,""
v2_matched_units,4,""
v2_matched_units_over_year,3,""
v2_median_matched_lag_days,669,""
v2_min_matched_lag_days,1,""
v2_max_matched_lag_days,1 505,""
v2_agree_object,0.944,""
v2_kappa_object,0.897,""
v2_agree_voice,0.956,""
v2_kappa_voice,0.643,""
v2_agree_unit,0.946,""
v2_kappa_unit,0.931,""
v2_voice_peak_month,2022-02,""
v2_repricing_first_month,2021-11,""
v2_repricing_peak_month,2024-06,""
v2_hicp_peak_month,2022-11,""
v2_voice_repricing_lag_months,28,""
v2_hicp_repricing_lag_months,19,""
v2_price_gap,25.7,""
v2_repricing_peak_share_all,29.9,""
v2_repricing_peak_share_2024,91.7,""
span_first,2021-01,""
span_last,2026-06,""
vol_min_monitoring,3 454,""
vol_max_monitoring,7 978,""
hicp_peak,12.9,""
hicp_peak_month,2022-11,""
n_2024_monitoring_core,63,""
n_2024_backfill_core,15,""
