month,public_voice,repricing,hicp_headline,price_gap_from_2021
2021-01,0,0,0,0
2021-02,0,0,0.7,0
2021-03,1,0,1.6,0
2021-04,0,0,2.1,0
2021-05,0,0,2.4,0
2021-06,0,0,2.2,0
2021-07,0,0,2.7,0
2021-08,0,0,3.1,0
2021-09,0,0,3.5,0
2021-10,4,0,3.9,0
2021-11,1,0,4.7,0
2021-12,2,0,5.2,0
2022-01,6,0,5.5,5.5
2022-02,31,0,6.3,6.3
2022-03,2,1,7.3,7.3
2022-04,24,0,9.6,9.6
2022-05,3,0,10.7,10.7
2022-06,7,0,12.1,12.1
2022-07,1,0,12.7,12.7
2022-08,3,0,12.6,12.6
2022-09,1,0,12.5,12.5
2022-10,19,3,12.7,12.7
2022-11,0,0,12.9,12.9
2022-12,9,42,12.7,12.7
2023-01,8,11,12.5,18.7
2023-02,3,3,11.7,18.7
2023-03,2,0,10.6,18.7
2023-04,3,3,8.9,19.4
2023-05,0,1,8.2,19.8
2023-06,0,2,8.3,21.4
2023-07,0,1,8,21.7
2023-08,1,3,8.4,22.1
2023-09,2,0,7.4,20.8
2023-10,0,3,6.7,20.3
2023-11,0,0,5.5,19.1
2023-12,18,7,5.4,18.8
2024-01,0,5,4.8,24.4
2024-02,0,0,4.8,24.4
2024-03,0,0,4.9,24.5
2024-04,0,0,4.7,25
2024-05,0,0,4.3,24.9
2024-06,4,55,3.5,25.7
2024-07,0,0,3.3,25.7
2024-08,0,0,3,25.7
2024-09,0,0,3.1,24.6
2024-10,0,0,3.6,24.6
2024-11,4,1,4,23.9
2024-12,1,0,4.5,24.1
2025-01,0,1,5.1,30.7
2025-02,1,0,4.7,30.3
2025-03,1,0,4.3,29.8
2025-04,0,0,4,30
2025-05,0,2,4.3,30.3
2025-06,0,1,4.3,31.1
2025-07,1,0,4.5,31.4
2025-08,0,0,4.6,31.5
2025-09,1,0,4.6,30.3
2025-10,1,0,4,29.6
2025-11,1,2,4.3,29.2
2025-12,10,7,3.8,28.8
2026-01,0,31,3.6,35.4
2026-02,0,0,3.9,35.4
2026-03,1,1,4.6,35.8
2026-04,1,5,5.4,37
2026-05,1,3,4.9,36.7
2026-06,0,0,4.2,36.6
