rid,in_june,in_rebuild
1258,TRUE,TRUE
2209,FALSE,TRUE
6270,FALSE,TRUE
7497,FALSE,TRUE
8382,TRUE,TRUE
9515,FALSE,TRUE
11689,TRUE,TRUE
11740,TRUE,TRUE
13350,TRUE,TRUE
13372,TRUE,TRUE
16381,FALSE,TRUE
18441,TRUE,TRUE
21256,TRUE,TRUE
22782,FALSE,TRUE
25336,FALSE,TRUE
26128,TRUE,TRUE
27234,TRUE,TRUE
27394,TRUE,TRUE
27960,FALSE,TRUE
28202,TRUE,TRUE
28611,TRUE,TRUE
28805,TRUE,TRUE
29411,TRUE,TRUE
30132,TRUE,TRUE
31514,FALSE,TRUE
32800,TRUE,TRUE
33591,FALSE,TRUE
33659,TRUE,TRUE
34156,TRUE,TRUE
36345,FALSE,TRUE
43168,FALSE,TRUE
44155,TRUE,TRUE
46120,TRUE,TRUE
46864,TRUE,TRUE
48572,TRUE,TRUE
49086,FALSE,TRUE
49177,TRUE,TRUE
49731,FALSE,TRUE
49897,TRUE,TRUE
52373,FALSE,TRUE
52567,TRUE,TRUE
54046,TRUE,TRUE
54919,TRUE,TRUE
54993,TRUE,TRUE
54997,TRUE,TRUE
55362,FALSE,TRUE
59691,FALSE,TRUE
59692,FALSE,TRUE
61147,TRUE,TRUE
63015,TRUE,TRUE
63155,TRUE,TRUE
63197,TRUE,TRUE
64924,FALSE,TRUE
65467,FALSE,TRUE
66943,TRUE,TRUE
67164,FALSE,TRUE
69219,TRUE,TRUE
69225,FALSE,TRUE
70917,FALSE,TRUE
71160,FALSE,TRUE
72814,TRUE,TRUE
72820,FALSE,TRUE
73775,TRUE,TRUE
73990,FALSE,TRUE
74033,TRUE,TRUE
74047,TRUE,TRUE
78803,TRUE,TRUE
80751,TRUE,TRUE
82451,FALSE,TRUE
83495,TRUE,TRUE
83580,FALSE,TRUE
83595,FALSE,TRUE
86429,TRUE,TRUE
86514,FALSE,TRUE
86529,FALSE,TRUE
90014,TRUE,TRUE
90627,TRUE,TRUE
91119,TRUE,TRUE
91177,FALSE,TRUE
91428,TRUE,TRUE
91557,TRUE,TRUE
92819,TRUE,TRUE
93088,TRUE,TRUE
93309,TRUE,TRUE
93416,FALSE,TRUE
93979,TRUE,TRUE
95653,FALSE,TRUE
95727,TRUE,TRUE
95746,TRUE,TRUE
99005,TRUE,TRUE
99304,TRUE,TRUE
99388,TRUE,TRUE
99921,TRUE,TRUE
99940,TRUE,TRUE
100023,TRUE,TRUE
100737,FALSE,TRUE
100745,FALSE,TRUE
100829,FALSE,TRUE
100831,FALSE,TRUE
100832,FALSE,TRUE
100833,FALSE,TRUE
100834,FALSE,TRUE
100835,FALSE,TRUE
100838,FALSE,TRUE
100839,FALSE,TRUE
100842,FALSE,TRUE
100843,FALSE,TRUE
100847,FALSE,TRUE
100849,FALSE,TRUE
100855,FALSE,TRUE
101209,FALSE,TRUE
102054,FALSE,TRUE
102537,FALSE,TRUE
103331,TRUE,TRUE
103332,TRUE,TRUE
103333,TRUE,TRUE
103977,FALSE,TRUE
104489,TRUE,TRUE
104834,FALSE,TRUE
105512,TRUE,TRUE
105514,TRUE,TRUE
105634,TRUE,TRUE
106549,FALSE,TRUE
106835,FALSE,TRUE
107022,FALSE,TRUE
107096,TRUE,TRUE
108538,TRUE,TRUE
108539,TRUE,TRUE
109314,TRUE,TRUE
109315,TRUE,TRUE
109316,TRUE,TRUE
109319,TRUE,TRUE
109321,TRUE,TRUE
109325,TRUE,TRUE
109328,TRUE,TRUE
109333,TRUE,TRUE
109339,TRUE,TRUE
109726,TRUE,TRUE
109935,TRUE,TRUE
110519,TRUE,TRUE
110542,TRUE,TRUE
110685,TRUE,TRUE
111396,FALSE,TRUE
111541,TRUE,TRUE
112820,FALSE,TRUE
114146,TRUE,TRUE
114381,TRUE,TRUE
114526,TRUE,TRUE
115291,TRUE,TRUE
115580,FALSE,TRUE
115592,FALSE,TRUE
115595,FALSE,TRUE
115919,TRUE,TRUE
115940,TRUE,TRUE
115942,TRUE,TRUE
115951,TRUE,TRUE
115952,TRUE,TRUE
115953,TRUE,TRUE
115961,TRUE,TRUE
115977,TRUE,TRUE
116803,TRUE,TRUE
117070,TRUE,TRUE
117151,TRUE,TRUE
117771,TRUE,TRUE
118014,TRUE,TRUE
118157,TRUE,TRUE
118966,TRUE,TRUE
119019,TRUE,TRUE
119507,TRUE,TRUE
119646,TRUE,TRUE
119743,TRUE,TRUE
119767,TRUE,TRUE
119819,TRUE,TRUE
