month,n_total_june,n_infl_june,n_total,n_infl,d_total,d_infl
2021-01,12860,41,12860,39,0,-2
2021-02,7077,43,7077,44,0,1
2021-03,7185,39,7185,36,0,-3
2021-04,7027,28,7027,28,0,0
2021-05,6502,20,6502,23,0,3
2021-06,6255,24,6255,22,0,-2
2021-07,6153,17,6153,15,0,-2
2021-08,6828,32,6828,32,0,0
2021-09,6408,24,6408,25,0,1
2021-10,7241,52,7241,50,0,-2
2021-11,8174,45,8174,46,0,1
2021-12,8678,49,8678,53,0,4
2022-01,7552,119,7552,119,0,0
2022-02,6226,92,6226,89,0,-3
2022-03,7265,83,7265,77,0,-6
2022-04,8857,144,8857,127,0,-17
2022-05,7350,106,7350,104,0,-2
2022-06,6943,112,6943,108,0,-4
2022-07,5191,57,5191,56,0,-1
2022-08,6709,112,6709,110,0,-2
2022-09,6164,111,6164,111,0,0
2022-10,7405,110,7405,110,0,0
2022-11,6880,79,6880,78,0,-1
2022-12,7993,187,7993,184,0,-3
2023-01,7136,90,7136,89,0,-1
2023-02,6318,55,6318,55,0,0
2023-03,7427,88,7427,88,0,0
2023-04,8427,109,8427,109,0,0
2023-05,6550,59,6550,59,0,0
2023-06,7069,45,7069,45,0,0
2023-07,4970,24,4970,23,0,-1
2023-08,6862,67,6862,67,0,0
2023-09,6634,41,6634,44,0,3
2023-10,6950,54,6950,54,0,0
2023-11,6758,49,6758,51,0,2
2023-12,8735,86,8735,86,0,0
2024-01,1911,25,1911,25,0,0
2024-06,8477,106,8477,105,0,-1
2024-07,436,1,436,1,0,0
