DATE,FROM,SOURCE_TYPE,data_source,TITLE,context
2026-01-10,bloombergadria.com,web,filtered_religious,Sedam savjeta koji će unaprijediti vaša putovanja u 2026. godini,ney  odustaju od fiksnih jelovnika kako bi se prilagodili budžetima gostiju uslijed rasta troškova života (i objedovanja). Sada možete svratiti na čašu vina i nevjerojatno ukusan sendvič sa somom
2022-01-28,hrt.hr,web,original_dta,Računi za plin višestruko veći - neprofitne organizacije i poduzetnici traže pom,"estra Katarina Maglica, samostan blažene Hozane Kotorske.  One koji imaju fiksne ugovore, poskupljenje još nije zahvatilo. U Kući svetog Franje potpisali su ga na 3 godine, ali uskoro is"
2026-05-27,jutarnji.hr,web,filtered_religious,80 godina Žitoproizvoda: Tvrtka uz čije su proizvode odrasle generacije i dalje ,"strije U vremenu kada domaća prehrambena industrija prolazi kroz snažne tržišne pritiske, rast cijena sirovina i promjene navika potrošača, malo je kompanija koje se mogu pohvaliti kontinuit"
2025-01-15,jutarnji.hr,web,filtered_religious,"Ćipe optužio SDSS-ovku za ratne zločine, HDZ -ovka ispričala vic pa dobila dvije","vdje poziva."" 10:20 - Zastupnica SDSS-a Dragana Jeckov pitala je ministra Antu Šušnjara o inflaciji. ""Inflacija je jedna od nuspojava rasta plaća i BDP. Vlada je svjesna pritisaka i poduzi"
2026-01-27,hrt.hr,web,filtered_religious,Napetosti u Iranu rastu: SAD razmatra vojni udar,"snagom, poručio je glasnogovornik iranskog ministarstva vanjskih poslova Esmaeil Baghaei. Inflacija i sankcije potresaju iransko gospodarstvo Četiri desetljeća sankcija izazvala su tešku g"
2026-01-02,net.hr,web,filtered_religious,"Trump zaprijetio zbog nereda u Iranu: 'Ako budu ubijali prosvjednike, naoružani ", stižemo u spas' Iran se već petog dana suočava s prosvjedima koji su izbili zbog rastuće inflacije i kolapsa valute te osiromašili Irance i uzdrmali gospodarstvo Kopirano Američki predsje
2024-11-18,035portal.hr,web,filtered_religious,Nedjeljom svi u parno kupalište!,"og kupatila godišnje od 300 kr., stiju razloga što je od gore navedenog vremena sve duplo poskupilo, daklem sam primoran slavno poglavarstvo odnosno zastupstvo smierno zamoliti, da bi mi"
2026-03-21,radnickaprava.org,web,filtered_religious,Mala škola socijalizma: Politička desnica kao reakcionarno krilo buržoaske ideol,"adnim satima i stalnim preseljenjima. Kada se društvena solidarnost mjeri isključivo kroz kupovnu moć, zajednica se pretvara u tržište, a vrijednosti u robu. Kapitalizam, a ne feminizam ili m"
2025-01-03,kepesujsag.com,web,filtered_religious,„2024. je na koncu bila je i bolja od očekivanoga“ - analiza događanja iz prošle,"zini Europske unije odvijaju dva vrlo ozbiljna sukoba, odnosno ratovi. Posljedica toga je inflacija, koja će vjerojatno nastaviti rasti i ove godine, a s time i poskupljenja. Dodatno, u sv"
2025-02-22,tportal.hr,web,filtered_religious,"Dok Ameri i Rusi čerupaju Ukrajinu, Nijemci glume Balkance: Spremite novac u zla","e uvijek smiješan. Recimo, pitali Trumpa zašto je u prvom mjesecu njegova mandata porasla inflacija u SAD-u, na što će on mrtav hladan: 'Nisam imao ništa s tim. Ovi ljudi koji vode državu "
2025-04-18,sportcom.hr,web,filtered_religious,"Predsjednik Ivan Komak donio odluku da Zrinski neće igrati protiv Opatije, proči"," ili izbačeni iz stanova ili se snalaze kod drugih suigrača. Molbe za pokrivanje osnovnih troškova života tj. stan, hrana i doprinose državi, su odbijene. Već mjesecima svakodnevno slušamo priče "
2026-04-08,slobodnadalmacija.hr,web,filtered_religious,"Jedno pitanje Sandre Benčić zapalilo sabornicu: ‘Premijeru, rekorder ste - ali n","oja je posebno zahtjevna, piše Dnevnik.hr. Sandra Benčić (Možemo!) upitala je premijera o inflaciji poručivši mu da je rekorder. ""Dolazite nam na aktualac kao rekorder, no neću vam čestita"
2022-01-27,direktno.hr,web,original_dta,TOMAŠEVIĆEV UDAR NA CRKVU Pučkoj kuhinji i zagrebačkim samostanima računi za pli,EV UDAR NA CRKVU Pučkoj kuhinji i zagrebačkim samostanima računi za plin i pet puta veći! Poskupljenje plina za industriju uzbudilo je hrvatske poduzetnike . Najgore je u Zagrebu gdje su
2026-03-19,prigorski.hr,web,filtered_religious,Skupština Međimurske županije jednoglasna u svim odlukama - od prihvaćanja kandi,"jer je to u interesu svih građana Međimurja.“ Vijećnik Dejan Drabić potaknuo je i pitanje poskupljenja energenata koje sve teže pogađa građane i gospodarstvo, te se interesirao za aktivn"
2025-12-20,istrain.hr,web,filtered_religious,Blagdani i putovanja - vrijeme pojačanog opreza: Policija upozorava građane na z,"nim mjestima poput otirača, tegli za cvijeće ili ispod kamena. 14:08Prije 8 min20.12.2025 Inflacija bi, unatoč očekivanom usporavanju, i dalje ostala povišena, što ekonomisti povezuju s na"
2025-02-18,net.hr,web,filtered_religious,Što je i gdje se nalazi raj? 'Cijela je zapadnjačka tradicija krenula krivim put,"pakla, to je još uvijek nepoznanica. POGLEDAJTE GALERIJU POGLEDAJTE VIDEO: Građani protiv poskupljenja, šutnja upozorenja ispred HNB-a: 'Moramo biti uporni'"
2025-11-01,totalinfo.hr,web,filtered_religious,S NAJMILIJIMA U MISLIMA: Diljem zemlje obilježava se blagdan Svih svetih,"njih predstavlja blagdan Svih svetih te kako ga obilježavaju. Osvrnuli su se građani i na poskupljenja, a uglavnom se slažu da, iako bi cijene mogle biti niže, ne radi se o velikom iznos"
2022-11-05,slobodnadalmacija.hr,web,original_dta,"Split je ‘eksplodirao‘, zgrade na poljima nicale su preko noći, gradili su se ne","setim godinama stanogradnja se usporava. Politička i ekonomska kriza, zbog koje dolazi do inflacije, uzrokuje da urbanistički planovi ostaju na papiru, nerealizirani ili samo djelomično iz"
2026-04-26,akademija-art.hr,web,filtered_religious,"Istrijani briljirali u Dubrovniku, ponijeli titule prvaka i viceprvaka - Akademi","cajem globalnih kretanja, istaknuo je i predsjednik Klastera Darko Markotić. „Smirivanjem inflacije stabiliziralo se tržište, ali zbog trgovinskih i carinskih ratova dolazi do pojave viško"
2025-05-16,vzaktualno.hr,web,filtered_religious,NAJBOLJA ANALIZA REALIZIRANIH OBEĆANJA U MANDATU GRADONAČELNIKA NEVENA BOSILJA: ,irovljenicima i drugim skupinama koje trebaju podršku zajednice u uvjetima enormnog skoka inflacije koja je ugrozila životni standard brojnih obitelji. To su samo neke okolnosti za koje bi
2022-02-14,index.hr,web,original_dta,"Sastali se Bozanić i Tomašević, razgovarali o nastavku suradnje","nom području, poput brige za građane koji su pogođeni posljedicama potresa i pandemije te poskupljenjem životnih troškova, navodi se u priopćenju Tiskovnog ureda Nadbiskupije. Razgovaral"
2025-03-08,Kutinanews,facebook,filtered_religious,poruka svakom djetetu u Americi je da si savršen upravo onakav kakvim te je Bog ,"ećemo dopustiti da se to dogodi! TRUMP ZAHVALIO ELONU MASKU: - Kako bismo dodatno suzbili inflaciju, nećemo samo smanjivati troškove energije, već ćemo I okončati besramno rasipanje porezn"
2026-01-18,Novi list,facebook,filtered_religious,Poskupljenje i u crkvi... Poskupjele crkvene pristojbe. Vjenčanje stoji 100 eura,"Poskupljenje i u crkvi... Poskupjele crkvene pristojbe. Vjenčanje stoji 100 eura, sprovod 80, a "
2023-04-15,kastela.com,web,original_dta,"Počinje sezona pričesti i krizmi: ""Stolac kreće od 40 eura pa na gore""","anu u Zagrebu Jelena Ljubić. Na proslavi u prosjeku 15 do 20 ljudi. Stolac, odnosno meni, poskupio je 10 posto u odnosu na lani. –  Cijena stolca za tri slijeda po osobi iznosi nekakvih "
2026-05-07,jutarnji.hr,web,filtered_religious,Eksplozije u Iranu: ‘Napali su nas i Ujedinjeni Arapski Emirati‘; SAD: ‘Odgovori,"lnih poslovnih rezultata, cijena dionice AMD-a skočila je gotovo 19 posto. Dionica Intela poskupila je, pak, 4,5 posto, pa je PHLX indeks sektora proizvođača čipova skočio 4,5 posto, na "
2025-05-28,poslovni.hr,web,filtered_religious,Kako se snaći u svijetu globalnih promjena? Prijavite se na konferenciju Kvaka24,". Ove godine fokus je na traženju prilike za razvoj unutar globalnih promjena na tržištu. Inflacija i fluktuacija cijena na tržištu, Trumpovo uvođenje carina i društveno-političke globalne"
2021-03-11,croativ.net,web,original_dta,(Video) Tuga Tarle: Jesu li ‘Budini i Matini’ diplomati uvjeravali strance da je,"du dolara znajući kako će gradske nekretnine višestruko pojeftiniti, a ruralne višestruko poskupjeti kada domaćinstva postanu energetski neovisna. Kako bi on i drugi upućeni u privilegir"
2026-05-27,novilist.hr,web,filtered_religious,"Oporba kandidata Žigmana dočekala kritikama, uz propitivanje rada Vlade i HNB-a","igman dočekana je u srijedu kritikama oporbe da je ta institucija zakazala u borbi protiv inflacije i da u postojećem ekonomskom modelu ne može ništa napraviti, a problematizirana […] Naja"
2026-03-18,prigorski.hr,web,filtered_religious,Bula: Vlada provodi socijalnu i pravednu antiinflacijsku politiku,Bula: Vlada provodi socijalnu i pravednu antiinflacijsku politiku Državni tajnik u Ministarstvu financija Matej Bula izjavio je u srijedu kako 
2026-05-01,nacional.hr,web,filtered_religious,OTROVNA POLITIKA Atentat ko naručen,"bog sveopćeg kaosa koji je ratom u Iranu izazvao u svijetu, divljanja cijena energenata i troškova života, a osobito zbog iživljavanja agenata imigracijsko-carinske agencije ICE nad vlastitim gra"
