hid,h_infl,h_link,h_foreign,h_register
H01,0,0,0,none
H02,1,0,1,none
H03,1,1,0,cost_relig_life
H04,1,0,0,none
H05,1,0,0,none
H06,1,1,0,institution
H07,1,0,0,none
H08,1,1,0,institution
H09,1,0,0,none
H10,1,1,0,institution
H11,1,0,0,none
H12,1,0,0,none
H13,0,0,1,none
H14,1,1,1,institution
H15,1,0,0,none
H16,1,0,0,none
H17,1,1,0,institution
H18,1,0,1,none
H19,1,1,0,institution
H20,1,1,0,institution
H21,1,1,0,institution
H22,0,0,0,none
H23,0,0,1,none
H24,1,1,0,institution
H25,1,1,0,charity
H26,1,0,1,none
H27,1,0,0,none
H28,1,0,0,none
H29,1,1,0,cost_relig_life
H30,1,1,0,charity
H31,1,0,0,none
H32,0,0,0,none
H33,0,0,0,none
H34,1,1,0,institution
H35,1,1,0,justice
H36,1,0,0,none
H37,1,0,0,none
H38,1,0,0,none
H39,1,0,0,none
H40,1,0,1,none
H41,1,0,0,none
H42,1,1,0,institution
H43,1,0,1,none
H44,1,0,0,none
H45,1,0,1,none
H46,1,0,0,none
H47,0,0,0,none
H48,1,0,1,none
H49,1,1,0,cost_relig_life
H50,1,1,0,cost_relig_life
H51,1,1,0,cost_relig_life
H52,1,0,1,none
H53,1,1,0,justice
H54,1,1,0,institution
H55,0,0,0,none
H56,0,0,0,none
H57,0,0,0,none
H58,1,0,0,none
H59,1,0,0,none
H60,1,0,0,none
H61,0,0,1,none
H62,1,0,0,none
H63,1,0,1,none
H64,1,1,1,institution
H65,1,1,0,devotional
H66,1,0,0,none
H67,1,1,0,devotional
H68,1,0,0,none
H69,1,0,0,none
H70,1,1,0,institution
H71,1,0,0,none
H72,0,0,0,none
H73,1,0,0,none
H74,1,0,0,none
H75,1,1,0,institution
H76,1,1,0,cost_relig_life
H77,1,0,0,none
H78,1,0,1,none
H79,1,1,0,charity
H80,1,0,1,none
