month,hicp_headline,hicp_food,hicp_energy,source
2021-01,0,-0.6,-5.7,prc_hicp_minr
2021-02,0.7,-0.3,-1.8,prc_hicp_minr
2021-03,1.6,-0.5,4.9,prc_hicp_minr
2021-04,2.1,-0.2,12.1,prc_hicp_minr
2021-05,2.4,-0.4,13.4,prc_hicp_minr
2021-06,2.2,0,10.1,prc_hicp_minr
2021-07,2.7,1.8,10,prc_hicp_minr
2021-08,3.1,2.5,10.1,prc_hicp_minr
2021-09,3.5,3,12.2,prc_hicp_minr
2021-10,3.9,3.7,14.4,prc_hicp_minr
2021-11,4.7,5.6,15.6,prc_hicp_minr
2021-12,5.2,8.1,12.4,prc_hicp_minr
2022-01,5.5,9.4,11.9,prc_hicp_minr
2022-02,6.3,10.1,12.3,prc_hicp_minr
2022-03,7.3,10.8,15.9,prc_hicp_minr
2022-04,9.6,12.7,23.1,prc_hicp_minr
2022-05,10.7,14.9,25.4,prc_hicp_minr
2022-06,12.1,16.7,25.8,prc_hicp_minr
2022-07,12.7,17.9,24.2,prc_hicp_minr
2022-08,12.6,18.8,19.3,prc_hicp_minr
2022-09,12.5,18.5,18.5,prc_hicp_minr
2022-10,12.7,19.4,19,prc_hicp_minr
2022-11,12.9,19.1,20.3,prc_hicp_minr
2022-12,12.7,18.8,14.7,prc_hicp_minr
2023-01,12.5,17.2,12.6,prc_hicp_minr
2023-02,11.7,16.9,11,prc_hicp_minr
2023-03,10.6,17.3,4.3,prc_hicp_minr
2023-04,8.9,15.6,-2.3,prc_hicp_minr
2023-05,8.2,15.2,-7,prc_hicp_minr
2023-06,8.3,14.8,-7.2,prc_hicp_minr
2023-07,8,12.9,-5.7,prc_hicp_minr
2023-08,8.4,11.1,1.4,prc_hicp_minr
2023-09,7.4,10.6,2.8,prc_hicp_minr
2023-10,6.7,8.9,-0.7,prc_hicp_minr
2023-11,5.5,7.9,-4.1,prc_hicp_minr
2023-12,5.4,6.6,-0.5,prc_hicp_minr
2024-01,4.8,6.5,-0.1,prc_hicp_minr
2024-02,4.8,5.6,1.1,prc_hicp_minr
2024-03,4.9,4.5,2.1,prc_hicp_minr
2024-04,4.7,4.3,2.1,prc_hicp_minr
2024-05,4.3,2.9,3,prc_hicp_minr
2024-06,3.5,1.8,0.7,prc_hicp_minr
2024-07,3.3,1.8,0.7,prc_hicp_minr
2024-08,3,2.3,-3.6,prc_hicp_minr
2024-09,3.1,3.5,-6.8,prc_hicp_minr
2024-10,3.6,5.1,-4.4,prc_hicp_minr
2024-11,4,5.1,0.2,prc_hicp_minr
2024-12,4.5,5.4,2.4,prc_hicp_minr
2025-01,5.1,5.5,5.1,prc_hicp_minr
2025-02,4.7,5.4,4.2,prc_hicp_minr
2025-03,4.3,5.1,2.2,prc_hicp_minr
2025-04,4,4.8,1.4,prc_hicp_minr
2025-05,4.3,6.1,1.4,prc_hicp_minr
2025-06,4.3,6.1,2.9,prc_hicp_minr
2025-07,4.5,7.1,2.6,prc_hicp_minr
2025-08,4.6,6.5,2.8,prc_hicp_minr
2025-09,4.6,5.7,4.7,prc_hicp_minr
2025-10,4,4.4,3.9,prc_hicp_minr
2025-11,4.3,4.1,5,prc_hicp_minr
2025-12,3.8,2.9,3.6,prc_hicp_minr
2026-01,3.6,2.2,3.1,prc_hicp_minr
2026-02,3.9,3,3.9,prc_hicp_minr
2026-03,4.6,3.4,10.8,prc_hicp_minr
2026-04,5.4,2.9,17.5,prc_hicp_minr
2026-05,4.9,1.5,16.9,prc_hicp_minr
2026-06,4.2,0.7,12.9,prc_hicp_minr
