month,stream,n_total,n_infl,share,hicp_headline,hicp_food,hicp_energy,source
2021-01,monitoring,7978,10,0.125344697919278,0,-0.6,-5.7,prc_hicp_minr
2021-02,monitoring,4868,6,0.123253903040263,0.7,-0.3,-1.8,prc_hicp_minr
2021-03,monitoring,5091,9,0.176782557454331,1.6,-0.5,4.9,prc_hicp_minr
2021-04,monitoring,5086,12,0.235941801022415,2.1,-0.2,12.1,prc_hicp_minr
2021-05,monitoring,4383,11,0.250969655487109,2.4,-0.4,13.4,prc_hicp_minr
2021-06,monitoring,4547,9,0.19793270288102,2.2,0,10.1,prc_hicp_minr
2021-07,monitoring,4259,2,0.0469593801361822,2.7,1.8,10,prc_hicp_minr
2021-08,monitoring,4740,2,0.0421940928270042,3.1,2.5,10.1,prc_hicp_minr
2021-09,monitoring,4495,14,0.311457174638487,3.5,3,12.2,prc_hicp_minr
2021-10,monitoring,4908,13,0.264873675631622,3.9,3.7,14.4,prc_hicp_minr
2021-11,monitoring,5536,5,0.0903179190751445,4.7,5.6,15.6,prc_hicp_minr
2021-12,monitoring,6260,10,0.159744408945687,5.2,8.1,12.4,prc_hicp_minr
2022-01,monitoring,5210,27,0.518234165067178,5.5,9.4,11.9,prc_hicp_minr
2022-02,monitoring,4519,49,1.08431068820536,6.3,10.1,12.3,prc_hicp_minr
2022-03,monitoring,5122,26,0.50761421319797,7.3,10.8,15.9,prc_hicp_minr
2022-04,monitoring,6572,63,0.95861229458308,9.6,12.7,23.1,prc_hicp_minr
2022-05,monitoring,5047,26,0.515157519318407,10.7,14.9,25.4,prc_hicp_minr
2022-06,monitoring,4887,28,0.572948639246982,12.1,16.7,25.8,prc_hicp_minr
2022-07,monitoring,3454,10,0.289519397799653,12.7,17.9,24.2,prc_hicp_minr
2022-08,monitoring,4714,54,1.14552397114977,12.6,18.8,19.3,prc_hicp_minr
2022-09,monitoring,4239,21,0.495399858457183,12.5,18.5,18.5,prc_hicp_minr
2022-10,monitoring,5239,33,0.629891200610804,12.7,19.4,19,prc_hicp_minr
2022-11,monitoring,4640,18,0.387931034482759,12.9,19.1,20.3,prc_hicp_minr
2022-12,monitoring,6014,113,1.87894911872298,12.7,18.8,14.7,prc_hicp_minr
2023-01,monitoring,5606,39,0.695683196575098,12.5,17.2,12.6,prc_hicp_minr
2023-02,monitoring,5014,23,0.458715596330275,11.7,16.9,11,prc_hicp_minr
2023-03,monitoring,5968,33,0.552949061662198,10.6,17.3,4.3,prc_hicp_minr
2023-04,monitoring,6741,47,0.697225930870791,8.9,15.6,-2.3,prc_hicp_minr
2023-05,monitoring,4995,12,0.24024024024024,8.2,15.2,-7,prc_hicp_minr
2023-06,monitoring,5355,16,0.298786181139122,8.3,14.8,-7.2,prc_hicp_minr
2023-07,monitoring,3775,4,0.105960264900662,8,12.9,-5.7,prc_hicp_minr
2023-08,monitoring,5249,30,0.571537435702039,8.4,11.1,1.4,prc_hicp_minr
2023-09,monitoring,4940,15,0.303643724696356,7.4,10.6,2.8,prc_hicp_minr
2023-10,monitoring,5112,16,0.312989045383412,6.7,8.9,-0.7,prc_hicp_minr
2023-11,monitoring,4778,11,0.230221850146505,5.5,7.9,-4.1,prc_hicp_minr
2023-12,monitoring,6536,44,0.673194614443085,5.4,6.6,-0.5,prc_hicp_minr
2024-06,monitoring,5347,67,1.25303908733869,3.5,1.8,0.7,prc_hicp_minr
2024-07,backfill,7393,15,0.202894630055458,3.3,1.8,0.7,prc_hicp_minr
2024-08,backfill,8271,14,0.169266110506589,3,2.3,-3.6,prc_hicp_minr
2024-09,backfill,4240,9,0.212264150943396,3.1,3.5,-6.8,prc_hicp_minr
2024-10,backfill,8013,21,0.262074129539498,3.6,5.1,-4.4,prc_hicp_minr
2024-11,backfill,9136,10,0.109457092819615,4,5.1,0.2,prc_hicp_minr
2024-12,backfill,12886,34,0.263852242744063,4.5,5.4,2.4,prc_hicp_minr
2025-01,backfill,7830,21,0.268199233716475,5.1,5.5,5.1,prc_hicp_minr
2025-02,backfill,9899,22,0.222244671178907,4.7,5.4,4.2,prc_hicp_minr
2025-03,backfill,10784,24,0.222551928783383,4.3,5.1,2.2,prc_hicp_minr
2025-04,backfill,17327,20,0.115426790558089,4,4.8,1.4,prc_hicp_minr
2025-05,backfill,10565,13,0.123047799337435,4.3,6.1,1.4,prc_hicp_minr
2025-06,backfill,10004,11,0.109956017592963,4.3,6.1,2.9,prc_hicp_minr
2025-07,backfill,9402,26,0.276536907041055,4.5,7.1,2.6,prc_hicp_minr
2025-08,backfill,10391,27,0.259840246367048,4.6,6.5,2.8,prc_hicp_minr
2025-09,backfill,4664,9,0.192967409948542,4.6,5.7,4.7,prc_hicp_minr
2025-10,backfill,10335,20,0.19351717464925,4,4.4,3.9,prc_hicp_minr
2025-11,backfill,10336,13,0.12577399380805,4.3,4.1,5,prc_hicp_minr
2025-12,backfill,12809,37,0.288859395737372,3.8,2.9,3.6,prc_hicp_minr
2026-01,backfill,7811,59,0.755345026245039,3.6,2.2,3.1,prc_hicp_minr
2026-02,backfill,7372,24,0.32555615843733,3.9,3,3.9,prc_hicp_minr
2026-03,backfill,9032,23,0.254650132860939,4.6,3.4,10.8,prc_hicp_minr
2026-04,backfill,10261,58,0.565247051944255,5.4,2.9,17.5,prc_hicp_minr
2026-05,backfill,8854,32,0.361418567878925,4.9,1.5,16.9,prc_hicp_minr
2026-06,backfill,3509,4,0.113992590481619,4.2,0.7,12.9,prc_hicp_minr
