mdate,linked,incidental
2021-01-01,10,31
2021-02-01,6,37
2021-03-01,6,33
2021-04-01,5,23
2021-05-01,2,18
2021-06-01,9,15
2021-07-01,4,13
2021-08-01,7,25
2021-09-01,3,21
2021-10-01,10,42
2021-11-01,6,39
2021-12-01,15,34
2022-01-01,52,67
2022-02-01,47,45
2022-03-01,28,55
2022-04-01,70,74
2022-05-01,31,75
2022-06-01,24,88
2022-07-01,16,41
2022-08-01,37,75
2022-09-01,42,69
2022-10-01,44,66
2022-11-01,36,43
2022-12-01,85,102
2023-01-01,37,53
2023-02-01,26,29
2023-03-01,34,54
2023-04-01,43,66
2023-05-01,8,51
2023-06-01,8,37
2023-07-01,8,16
2023-08-01,20,47
2023-09-01,16,25
2023-10-01,13,41
2023-11-01,8,41
2023-12-01,41,45
2024-01-01,7,18
2024-06-01,73,33
2024-07-01,28,145
2024-08-01,33,79
2024-09-01,22,57
2024-10-01,33,149
2024-11-01,64,157
2024-12-01,78,206
2025-01-01,55,134
2025-02-01,74,189
2025-03-01,63,163
2025-04-01,47,103
2025-05-01,16,103
2025-06-01,54,119
2025-07-01,39,141
2025-08-01,45,97
2025-09-01,36,80
2025-10-01,64,176
2025-11-01,60,165
2025-12-01,101,211
2026-01-01,150,265
2026-02-01,65,155
2026-03-01,136,340
2026-04-01,154,289
2026-05-01,151,267
2026-06-01,53,70
