rid,register,response,date,year,month,stream,otype,object,voice,unit,object_agree_n,voice_agree_n,unit_agree_n,coding_source_v2
6270,crl,Repricing,2021-11-02,2021,2021-11,monitoring,Secular/other,,,none,,,1,corpus_v1_addendum
11689,justice,Normative response,2021-05-05,2021,2021-05,monitoring,Catholic,,,vatican,,,3,prior_three_run_majority
11740,justice,Normative response,2021-05-05,2021,2021-05,monitoring,Catholic,,,vatican,,,3,prior_three_run_majority
13350,institution,Public voice,2021-12-04,2021,2021-12,monitoring,Catholic,own,sector,diocese,3,3,3,prior_three_run_majority
13372,institution,Public voice,2021-12-04,2021,2021-12,monitoring,Secular/other,own,sector,diocese,3,3,3,prior_three_run_majority
46120,institution,Public voice,2021-10-16,2021,2021-10,monitoring,Secular/other,own,sector,diocese,3,3,3,prior_three_run_majority
54046,institution,Public voice,2021-11-19,2021,2021-11,monitoring,Secular/other,own,sector,order,3,3,3,prior_three_run_majority
63015,institution,Public voice,2021-10-22,2021,2021-10,monitoring,Secular/other,household,sector,diocese,2,2,3,prior_three_run_majority
63155,institution,Public voice,2021-10-21,2021,2021-10,monitoring,Catholic,household,sector,diocese,2,3,3,prior_three_run_majority
63197,institution,Public voice,2021-10-21,2021,2021-10,monitoring,Catholic,household,sector,diocese,2,2,3,prior_three_run_majority
73775,institution,Public voice,2021-03-25,2021,2021-03,monitoring,Secular/other,own,outside,vatican,3,2,3,prior_three_run_majority
83495,other,,2021-12-28,2021,2021-12,monitoring,Secular/other,,,none,,,3,prior_three_run_majority
90014,devotional,,2021-11-01,2021,2021-11,monitoring,Catholic,,,none,,,3,prior_three_run_majority
90627,other,,2022-01-01,2022,2022-01,monitoring,Catholic,,,parish,,,3,prior_three_run_majority
91428,institution,Public voice,2022-05-02,2022,2022-05,monitoring,Secular/other,own,sector,diocese,3,3,3,prior_three_run_majority
93309,institution,Public voice,2022-02-03,2022,2022-02,monitoring,Catholic,household,sector,diocese,3,3,3,prior_three_run_majority
99304,institution,Public voice,2022-02-04,2022,2022-02,monitoring,Secular/other,household,sector,diocese,3,3,3,prior_three_run_majority
99388,institution,Public voice,2022-02-04,2022,2022-02,monitoring,Catholic,household,sector,diocese,3,3,3,prior_three_run_majority
99921,institution,Public voice,2022-06-05,2022,2022-06,monitoring,Catholic,household,sector,vatican,3,3,3,prior_three_run_majority
99940,institution,Public voice,2022-06-05,2022,2022-06,monitoring,Catholic,household,sector,vatican,3,3,3,prior_three_run_majority
100023,institution,Public voice,2022-06-05,2022,2022-06,monitoring,Catholic,own,outside,parish,3,2,3,prior_three_run_majority
105634,institution,Public voice,2022-03-06,2022,2022-03,monitoring,Secular/other,own,sector,parish,3,3,2,prior_three_run_majority
107096,institution,Public voice,2022-10-07,2022,2022-10,monitoring,Catholic,own,sector,diocese,3,3,3,prior_three_run_majority
108538,institution,Public voice,2022-04-07,2022,2022-04,monitoring,Secular/other,other,outside,none,3,3,2,prior_three_run_majority
110519,charity,Charitable response,2022-02-09,2022,2022-02,monitoring,Secular/other,,,caritas,,,3,prior_three_run_majority
110542,devotional,,2022-02-09,2022,2022-02,monitoring,Catholic,,,parish,,,3,prior_three_run_majority
111541,institution,Public voice,2022-06-09,2022,2022-06,monitoring,Catholic,own,sector,order,3,3,3,prior_three_run_majority
114381,institution,Public voice,2022-05-10,2022,2022-05,monitoring,Secular/other,both,outside,conference,3,2,3,prior_three_run_majority
115919,charity,Charitable response,2022-12-10,2022,2022-12,monitoring,Secular/other,,,caritas,,,3,prior_three_run_majority
115940,charity,Charitable response,2022-12-10,2022,2022-12,monitoring,Secular/other,,,caritas,,,3,prior_three_run_majority
115942,charity,Charitable response,2022-12-10,2022,2022-12,monitoring,Secular/other,,,caritas,,,3,prior_three_run_majority
115951,charity,Charitable response,2022-12-10,2022,2022-12,monitoring,Catholic,,,caritas,,,3,prior_three_run_majority
115952,charity,Charitable response,2022-12-10,2022,2022-12,monitoring,Catholic,,,caritas,,,3,prior_three_run_majority
115953,charity,Charitable response,2022-12-10,2022,2022-12,monitoring,Secular/other,,,caritas,,,3,prior_three_run_majority
115961,charity,Charitable response,2022-12-10,2022,2022-12,monitoring,Secular/other,,,caritas,,,3,prior_three_run_majority
115977,charity,Charitable response,2022-12-10,2022,2022-12,monitoring,Catholic,,,caritas,,,3,prior_three_run_majority
