rid,object,voice,unit,object_agree_n,voice_agree_n,unit_agree_n,coding_source_v2
6270,,,none,,,1,corpus_v1_addendum
11689,,,vatican,,,3,prior_three_run_majority
11740,,,vatican,,,3,prior_three_run_majority
13350,own,sector,diocese,3,3,3,prior_three_run_majority
13372,own,sector,diocese,3,3,3,prior_three_run_majority
46120,own,sector,diocese,3,3,3,prior_three_run_majority
54046,own,sector,order,3,3,3,prior_three_run_majority
63015,household,sector,diocese,2,2,3,prior_three_run_majority
63155,household,sector,diocese,2,3,3,prior_three_run_majority
63197,household,sector,diocese,2,2,3,prior_three_run_majority
73775,own,outside,vatican,3,2,3,prior_three_run_majority
83495,,,none,,,3,prior_three_run_majority
90014,,,none,,,3,prior_three_run_majority
90627,,,parish,,,3,prior_three_run_majority
91428,own,sector,diocese,3,3,3,prior_three_run_majority
93309,household,sector,diocese,3,3,3,prior_three_run_majority
99304,household,sector,diocese,3,3,3,prior_three_run_majority
99388,household,sector,diocese,3,3,3,prior_three_run_majority
99921,household,sector,vatican,3,3,3,prior_three_run_majority
99940,household,sector,vatican,3,3,3,prior_three_run_majority
100023,own,outside,parish,3,2,3,prior_three_run_majority
105634,own,sector,parish,3,3,2,prior_three_run_majority
107096,own,sector,diocese,3,3,3,prior_three_run_majority
108538,other,outside,none,3,3,2,prior_three_run_majority
110519,,,caritas,,,3,prior_three_run_majority
110542,,,parish,,,3,prior_three_run_majority
111541,own,sector,order,3,3,3,prior_three_run_majority
114381,both,outside,conference,3,2,3,prior_three_run_majority
115919,,,caritas,,,3,prior_three_run_majority
115940,,,caritas,,,3,prior_three_run_majority
115942,,,caritas,,,3,prior_three_run_majority
115951,,,caritas,,,3,prior_three_run_majority
115952,,,caritas,,,3,prior_three_run_majority
115953,,,caritas,,,3,prior_three_run_majority
115961,,,caritas,,,3,prior_three_run_majority
115977,,,caritas,,,3,prior_three_run_majority
116803,,,caritas,,,3,prior_three_run_majority
117151,,,caritas,,,3,prior_three_run_majority
117771,own,sector,order,3,3,3,prior_three_run_majority
118966,,,none,,,3,prior_three_run_majority
119019,,,none,,,3,prior_three_run_majority
119646,,,none,,,3,prior_three_run_majority
119743,,,order,,,2,prior_three_run_majority
119767,,,order,,,2,prior_three_run_majority
119819,,,none,,,3,prior_three_run_majority
119843,,,none,,,3,prior_three_run_majority
119901,,,none,,,3,prior_three_run_majority
119902,,,none,,,3,prior_three_run_majority
119903,,,none,,,3,prior_three_run_majority
119922,household,sector,diocese,3,3,3,prior_three_run_majority
119933,household,sector,diocese,3,3,3,prior_three_run_majority
119934,,,none,,,3,prior_three_run_majority
119957,household,sector,diocese,3,3,3,prior_three_run_majority
119963,,,diocese,,,3,prior_three_run_majority
119975,household,sector,diocese,3,3,3,prior_three_run_majority
119997,household,sector,diocese,3,3,3,prior_three_run_majority
120003,household,sector,diocese,3,3,3,prior_three_run_majority
120026,household,sector,diocese,3,3,3,prior_three_run_majority
121719,,,caritas,,,3,prior_three_run_majority
121740,,,caritas,,,3,prior_three_run_majority
121781,,,caritas,,,3,prior_three_run_majority
121853,,,caritas,,,3,prior_three_run_majority
121896,,,caritas,,,3,prior_three_run_majority
123603,own,outside,order,3,3,3,prior_three_run_majority
125229,own,sector,diocese,3,3,3,prior_three_run_majority
125232,own,sector,diocese,3,3,3,prior_three_run_majority
125311,own,sector,diocese,3,3,3,prior_three_run_majority
125313,own,sector,diocese,3,3,3,prior_three_run_majority
125323,own,sector,diocese,3,3,3,prior_three_run_majority
125481,household,sector,diocese,3,3,3,prior_three_run_majority
125515,household,sector,diocese,3,3,3,prior_three_run_majority
125621,household,sector,diocese,3,3,3,prior_three_run_majority
126396,,,diocese,,,2,prior_three_run_majority
126528,,,caritas,,,3,prior_three_run_majority
126577,,,caritas,,,3,prior_three_run_majority
126601,,,caritas,,,3,prior_three_run_majority
127308,household,sector,diocese,3,3,3,prior_three_run_majority
127422,household,sector,diocese,3,3,3,prior_three_run_majority
127446,household,sector,diocese,3,3,3,prior_three_run_majority
127448,household,sector,diocese,3,3,3,prior_three_run_majority
127452,household,sector,diocese,3,3,3,prior_three_run_majority
127462,household,sector,diocese,3,3,3,prior_three_run_majority
127469,household,sector,diocese,3,3,3,prior_three_run_majority
127479,household,sector,diocese,3,3,3,prior_three_run_majority
127480,household,sector,diocese,3,3,3,prior_three_run_majority
127487,household,sector,diocese,3,3,3,prior_three_run_majority
127489,household,sector,diocese,3,3,3,prior_three_run_majority
127493,household,sector,diocese,3,3,3,prior_three_run_majority
127502,household,sector,diocese,3,3,3,prior_three_run_majority
127504,household,sector,diocese,3,3,3,prior_three_run_majority
127507,household,sector,diocese,3,3,3,prior_three_run_majority
127509,household,sector,diocese,3,3,3,prior_three_run_majority
127512,household,sector,diocese,3,3,3,prior_three_run_majority
127514,household,sector,diocese,3,3,3,prior_three_run_majority
127515,household,sector,diocese,3,3,3,prior_three_run_majority
127517,household,sector,diocese,3,3,3,prior_three_run_majority
127519,household,sector,diocese,3,3,3,prior_three_run_majority
127521,household,sector,diocese,3,3,3,prior_three_run_majority
127528,household,sector,diocese,3,3,3,prior_three_run_majority
130384,,,caritas,,,3,prior_three_run_majority
130671,,,caritas,,,3,prior_three_run_majority
130672,,,caritas,,,3,prior_three_run_majority
133944,household,sector,diocese,3,3,3,prior_three_run_majority
135410,,,diocese,,,3,prior_three_run_majority
